seed,method,t,L2_rel_err
0,weighted_ess,0.0,0.21708568852733326
0,weighted_ess,0.052000000000000005,0.2184931377097959
0,weighted_ess,0.10400000000000001,0.21954306532250836
0,weighted_ess,0.156,0.20549790498006798
0,weighted_ess,0.21,0.2045949853419712
0,weighted_ess,0.262,0.19750762080234727
0,weighted_ess,0.314,0.2230654591985415
0,weighted_ess,0.368,0.18620063014408048
0,weighted_ess,0.42,0.1412752821964093
0,weighted_ess,0.47200000000000003,0.11259121645302413
0,weighted_ess,0.526,0.10143773632841037
0,weighted_ess,0.578,0.09862973694495626
0,weighted_ess,0.63,0.07632066538709296
0,weighted_ess,0.684,0.06126432420680773
0,weighted_ess,0.736,0.057170659300459295
0,weighted_ess,0.788,0.05756081827119796
0,weighted_ess,0.842,0.058371770277215414
0,weighted_ess,0.894,0.05018136160951685
0,weighted_ess,0.9460000000000001,0.05113987930148982
0,weighted_ess,1.0,0.0434885159342721
1,weighted_ess,0.0,0.2208396308585149
1,weighted_ess,0.052000000000000005,0.22072318582851044
1,weighted_ess,0.10400000000000001,0.21836058409548764
1,weighted_ess,0.156,0.21442237443169743
1,weighted_ess,0.21,0.19839726445323497
1,weighted_ess,0.262,0.1769431126454838
1,weighted_ess,0.314,0.19057622862237034
1,weighted_ess,0.368,0.181673137231176
1,weighted_ess,0.42,0.13789150857801213
1,weighted_ess,0.47200000000000003,0.11284691133036646
1,weighted_ess,0.526,0.09932384238760043
1,weighted_ess,0.578,0.08920504723657424
1,weighted_ess,0.63,0.0886549937607461
1,weighted_ess,0.684,0.08040816812643688
1,weighted_ess,0.736,0.07557577426161707
1,weighted_ess,0.788,0.07645827277416682
1,weighted_ess,0.842,0.06827435382656137
1,weighted_ess,0.894,0.07164280082948177
1,weighted_ess,0.9460000000000001,0.0577948598277993
1,weighted_ess,1.0,0.06627597293424398
2,weighted_ess,0.0,0.2241674198144159
2,weighted_ess,0.052000000000000005,0.22438486281354275
2,weighted_ess,0.10400000000000001,0.2206711573391972
2,weighted_ess,0.156,0.208206940941082
2,weighted_ess,0.21,0.2008937818424519
2,weighted_ess,0.262,0.19125454332996156
2,weighted_ess,0.314,0.18590396933646547
2,weighted_ess,0.368,0.1589237715540399
2,weighted_ess,0.42,0.12332713079689896
2,weighted_ess,0.47200000000000003,0.10382399170239937
2,weighted_ess,0.526,0.09671087154054869
2,weighted_ess,0.578,0.08146252826051717
2,weighted_ess,0.63,0.08602857133662516
2,weighted_ess,0.684,0.07831176731156438
2,weighted_ess,0.736,0.06099953024702818
2,weighted_ess,0.788,0.05410828607628661
2,weighted_ess,0.842,0.048670980973496175
2,weighted_ess,0.894,0.05363851690742347
2,weighted_ess,0.9460000000000001,0.0598314912734805
2,weighted_ess,1.0,0.0696185564575399
3,weighted_ess,0.0,0.22290360179149474
3,weighted_ess,0.052000000000000005,0.21590812457451386
3,weighted_ess,0.10400000000000001,0.2270584486363856
3,weighted_ess,0.156,0.22471183843052933
3,weighted_ess,0.21,0.23448717149342874
3,weighted_ess,0.262,0.20772774691412935
3,weighted_ess,0.314,0.2201320252377332
3,weighted_ess,0.368,0.1972326068349344
3,weighted_ess,0.42,0.17708594267756173
3,weighted_ess,0.47200000000000003,0.18078315213383184
3,weighted_ess,0.526,0.16381615966630494
3,weighted_ess,0.578,0.15371926507356493
3,weighted_ess,0.63,0.13877781767689193
3,weighted_ess,0.684,0.12451148285776419
3,weighted_ess,0.736,0.11477610656707954
3,weighted_ess,0.788,0.11733005633222697
3,weighted_ess,0.842,0.1263583412206471
3,weighted_ess,0.894,0.11702814790172664
3,weighted_ess,0.9460000000000001,0.11806288476318709
3,weighted_ess,1.0,0.11592751283249188
4,weighted_ess,0.0,0.21875641577382887
4,weighted_ess,0.052000000000000005,0.21311291690665662
4,weighted_ess,0.10400000000000001,0.2165212211386251
4,weighted_ess,0.156,0.21998856353016075
4,weighted_ess,0.21,0.217834765093747
4,weighted_ess,0.262,0.20648617565481645
4,weighted_ess,0.314,0.21617858914683627
4,weighted_ess,0.368,0.19088868967735328
4,weighted_ess,0.42,0.16065211479142805
4,weighted_ess,0.47200000000000003,0.142726983245088
4,weighted_ess,0.526,0.12739517646462045
4,weighted_ess,0.578,0.1326805813762338
4,weighted_ess,0.63,0.1345974160957623
4,weighted_ess,0.684,0.10851931991632265
4,weighted_ess,0.736,0.09954031796798767
4,weighted_ess,0.788,0.08755950093061941
4,weighted_ess,0.842,0.08342740282682429
4,weighted_ess,0.894,0.08022291314642438
4,weighted_ess,0.9460000000000001,0.07607942741531004
4,weighted_ess,1.0,0.076027948602107
5,weighted_ess,0.0,0.21921801572529834
5,weighted_ess,0.052000000000000005,0.20829390870491687
5,weighted_ess,0.10400000000000001,0.21036677852127345
5,weighted_ess,0.156,0.21092581256619017
5,weighted_ess,0.21,0.2098410841217628
5,weighted_ess,0.262,0.1902600407142679
5,weighted_ess,0.314,0.1923470325861388
5,weighted_ess,0.368,0.17525814577265572
5,weighted_ess,0.42,0.15549032377288766
5,weighted_ess,0.47200000000000003,0.12350648236064557
5,weighted_ess,0.526,0.11730728528574895
5,weighted_ess,0.578,0.10684088446393171
5,weighted_ess,0.63,0.0974712064709339
5,weighted_ess,0.684,0.08738786173497241
5,weighted_ess,0.736,0.08040012511082836
5,weighted_ess,0.788,0.06886963731292328
5,weighted_ess,0.842,0.07131904547658942
5,weighted_ess,0.894,0.07408148999373156
5,weighted_ess,0.9460000000000001,0.062454458518599855
5,weighted_ess,1.0,0.06529571379169463
6,weighted_ess,0.0,0.21209622977378886
6,weighted_ess,0.052000000000000005,0.21315120144454922
6,weighted_ess,0.10400000000000001,0.22294764851498428
6,weighted_ess,0.156,0.2262674377607768
6,weighted_ess,0.21,0.225875806168791
6,weighted_ess,0.262,0.20761610068999314
6,weighted_ess,0.314,0.21406156870153925
6,weighted_ess,0.368,0.18882403136848716
6,weighted_ess,0.42,0.16891398574434338
6,weighted_ess,0.47200000000000003,0.15086605700099023
6,weighted_ess,0.526,0.12645129022771395
6,weighted_ess,0.578,0.11525651292589194
