N0,policy,seed,L2_rel_err,peak_height_err,global_nESS,local_nESS_B,max_w_over_mean_w,N_local_B,n_resamples,runtime_s
20000,ess,0,0.059748678004152025,19.610002485959967,0.5566270291248236,0.882451925423742,3.1022759652141048,9229,2,2.5875966548919678
20000,ess,1,0.05126342738721601,24.3591237205884,0.561773162527448,0.8839420964504953,3.1198207334853327,9253,2,2.0553531646728516
20000,ess,2,0.05238801207816794,7.145575035462798,0.5543608457375636,0.8816545119344459,3.1444555654762367,9151,2,2.072164297103882
20000,ess,3,0.13020161534579128,95.24553648778533,0.5571865431792525,0.8817096781282557,3.06716126273822,9452,2,1.9617316722869873
20000,always,0,0.08664994308390049,49.36727236952635,1.0,1.0,1.0,16531,500,2.7572035789489746
20000,always,1,0.032981056901534106,12.456205122906454,1.0000000000000007,1.0000000000000009,0.9999999999999998,16744,500,2.568512201309204
20000,always,2,0.11230151483168757,78.38935767003267,1.0000000000000004,1.0000000000000004,0.9999999999999999,16467,500,2.6586740016937256
20000,always,3,0.0523731607394778,31.454357437424733,0.9999999999999996,0.9999999999999996,1.0,16797,500,2.5083634853363037
131072,ess,0,0.031118206577544247,13.224267141357245,0.5567744735645515,0.8828792632028002,3.1384786260187467,60113,2,6.508469343185425
131072,ess,1,0.0268742435793413,5.0616749872131095,0.5610909784772399,0.8818438129656689,3.1146775456498283,60993,2,6.0892579555511475
131072,ess,2,0.019526182432109043,0.9990014701301106,0.5578711436934516,0.8827115358777736,3.123582028910649,60511,2,6.158008813858032
131072,ess,3,0.03597435887524192,13.44647615440067,0.5593951002306368,0.8823565909203842,3.1117327549186715,61050,2,6.339149236679077
131072,always,0,0.049350365757702776,26.281700386758416,1.0000000000000013,1.0000000000000016,0.9999999999999999,108764,500,9.66422700881958
131072,always,1,0.022200601730609178,4.286547720783915,1.0000000000000038,1.0000000000000038,1.0000000000000002,109037,500,9.598237752914429
131072,always,2,0.04579166240083901,26.407164129270313,0.9999999999999988,0.9999999999999984,1.0000000000000002,108847,500,9.625960111618042
131072,always,3,0.047835868397459444,23.568351073021745,0.9999999999999996,0.9999999999999993,0.9999999999999998,109628,500,10.204198837280273
