step,t,N,K,L,h_eff,xc_x,xc_y,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,N_0.99,R50_over_heff,peak_PK_u,S_L2,Mcore_0.01,Mcore_0.02,Mcore_0.04
0,0.0,640000,10,0.41490349164291596,0.0414903491642916,0.00012082466108854868,-1.3034377545203137e-05,0.011906992344677193,0.10911916579903455,0.09081195830488176,0.138301163880972,0.16555001297111677,0.23454289233317754,320000,512000,576000,633600,2.1887489532876354,842.9826318505375,114.89176102139481,0.26296112258250814,1.0434505474587223,3.9544306653209396
20,1.9999999999999998e-05,640000,10,0.4149016562558876,0.04149016562558876,0.00012642301980383863,-1.2688618346650936e-05,0.011898407757401334,0.10907982287023267,0.09062581630563626,0.13830055208529587,0.16570175517566582,0.23481168691072735,320000,512000,576000,633600,2.184272223048043,851.9925253832923,115.0867209152569,0.2644337441388783,1.051942665100457,3.9823613875067614
40,3.9999999999999996e-05,640000,10,0.4144957612216149,0.04144957612216149,0.00011844506649569855,-2.011475917492616e-05,0.011888760645180258,0.10903559347836952,0.09043469227996401,0.1381652537405383,0.16575912397590561,0.23523427512574765,320000,512000,576000,633600,2.1818001712112096,857.6555022417497,115.28236529711735,0.26850799711150264,1.057833151325938,4.005579720712198
60,5.9999999999999995e-05,640000,10,0.4144686372993413,0.04144686372993413,0.00012206295438493196,-9.634232261407345e-06,0.011882897377358485,0.10900870321840585,0.0902759433949471,0.13815621243311377,0.1657911373979915,0.2356447880615628,320000,512000,576000,633600,2.178112775508927,866.5368474869649,115.4710689939046,0.2674771620220435,1.0596002971935823,4.047500347683537
80,7.999999999999999e-05,640000,10,0.41450760379218354,0.041450760379218354,0.00011062866478866606,-1.0326418622935149e-05,0.011876843733925058,0.1089809328916075,0.09004913817833463,0.13816920126406118,0.16589277804366825,0.23619433580349644,320000,512000,576000,633600,2.17243634023856,874.6761105050389,115.66752198856402,0.27282768701018856,1.0672579292867075,4.083285051503334
100,9.999999999999999e-05,640000,10,0.41449680399312366,0.041449680399312364,0.00011132472823290882,-4.484652486245333e-06,0.011867091088940563,0.10893617897163717,0.08987477209636313,0.13816560133104122,0.16598451449734383,0.23653180124850925,320000,512000,576000,633600,2.1682862504738183,884.0511430056354,115.8844226695046,0.2734167356327367,1.0918997966633026,4.1068960837904696
120,0.00011999999999999999,640000,10,0.41424474991778737,0.04142447499177874,8.856304465944933e-05,-1.0198392783147224e-05,0.011856348495348116,0.10888686098583297,0.08965814652466411,0.13808158330592912,0.1660238132888635,0.23696059951723833,320000,512000,576000,633600,2.1643761699444113,892.072114235675,116.10771929055828,0.2774419012201486,1.098477506281756,4.141109991283471
140,0.00014,640000,10,0.4140159359837798,0.04140159359837798,8.17380841778924e-05,-1.7936126762203215e-05,0.01184810373632234,0.10884899510938234,0.08944620822862107,0.13800531199459326,0.16614223341121442,0.23754712179842177,320000,512000,576000,633600,2.16045326893227,896.9414522993385,116.30985369452537,0.2803871443328891,1.1073132356199773,4.163199314629024
160,0.00015999999999999999,640000,10,0.4137789960392916,0.04137789960392916,8.104637857452966e-05,-4.467209632095418e-06,0.011837843170568088,0.10880185279014365,0.0892588141205954,0.1379263320130972,0.16623521371603164,0.2379737006850785,320000,512000,576000,633600,2.1571615518183425,906.6703124222507,116.52426285266934,0.2863758053287946,1.1209104413237958,4.186466735219674
180,0.00017999999999999998,640000,10,0.4136710484617169,0.04136710484617169,7.619754501239957e-05,-1.5309296659959144e-06,0.011831411429104014,0.1087722916422377,0.08914092608017449,0.13789034948723897,0.16628562705102848,0.2385925641043752,320000,512000,576000,633600,2.1548746621658736,914.6203203249797,116.72861257401667,0.2809271055702248,1.128568073416921,4.222545963350743
