tag,t,method,recon,Kg,Kl,local_type,S_L2,peak,S_core,umin,mass,R05,R08,N
base,6e-05,global_fourier,P_K,5,,,240.28869574676227,2154.23642005526,224.092121176874,-420.4620557587696,31.464137440303958,0.021795445231770415,0.04340491996297692,20000
base,6e-05,global_fourier,P_K,8,,,337.6646703185072,4979.8248549610435,328.6817708079103,-806.4694851952885,31.380181519086328,0.021795445231770415,0.04340491996297692,20000
base,6e-05,global_fourier,P_K,16,,,447.45366759675915,12543.726288228008,445.1224890815185,-1210.7554818924714,31.401453856384293,0.021795445231770415,0.04340491996297692,20000
base,6e-05,global_fourier,P_K,32,,,479.01282830536155,19953.14932678782,478.88830980868676,-252.0173571511627,31.414217433091117,0.021795445231770415,0.04340491996297692,20000
base,6e-05,hybrid_spectrum,Kg8+Kl24,8,24,spectrum,486.0229435538344,21907.997671828733,480.8637507194852,-383.06075581245767,33.27924075582645,0.021795445231770415,0.04340491996297692,20000
base,6e-05,hybrid_spectrum,Kg8+Kl32,8,32,spectrum,486.46980679577445,22125.59752612414,481.31313105553363,-383.06075581245767,33.279248489205855,0.021795445231770415,0.04340491996297692,20000
base,6e-05,hybrid_spectrum,Kg8+Kl40,8,40,spectrum,487.2753078358721,23146.076340883163,482.1241728406595,-383.06075581245767,33.27926288210547,0.021795445231770415,0.04340491996297692,20000
base,6e-05,hybrid_blob,Kg8+blob,8,,blob,534.4422686734966,36215.42063446709,529.6001550327492,-383.06075581245767,33.27918365379446,0.021795445231770415,0.04340491996297692,20000
base,0.00012,global_fourier,P_K,5,,,252.87222934003395,2271.6771695931343,222.82990809714133,-462.82556690989986,31.46819916869544,0.0223499043266656,0.027386214626843396,20000
base,0.00012,global_fourier,P_K,8,,,373.38809516507143,5546.476142963793,351.5793899327831,-972.3673368052216,31.37529992334464,0.0223499043266656,0.027386214626843396,20000
base,0.00012,global_fourier,P_K,16,,,502.72427924661906,12581.02298175768,492.7032378298044,-2595.109464936135,31.41311102076316,0.0223499043266656,0.027386214626843396,20000
base,0.00012,global_fourier,P_K,32,,,972.0960960570136,40960.55037108256,959.1639404407041,-14246.993446338594,31.415463849787024,0.0223499043266656,0.027386214626843396,20000
base,0.00012,hybrid_spectrum,Kg8+Kl24,8,24,spectrum,1601.9546392322095,179413.24295166467,1597.8594106075298,-20658.39553725832,27.794460722157503,0.0223499043266656,0.027386214626843396,20000
base,0.00012,hybrid_spectrum,Kg8+Kl32,8,32,spectrum,1645.5182831760812,221851.44217319734,1641.7804040589385,-9170.784284730165,27.794805020065226,0.0223499043266656,0.027386214626843396,20000
base,0.00012,hybrid_spectrum,Kg8+Kl40,8,40,spectrum,1653.8552210565324,240108.04387577221,1650.1644860819529,-3547.446089345919,27.79483845074804,0.0223499043266656,0.027386214626843396,20000
base,0.00012,hybrid_blob,Kg8+blob,8,,blob,1659.839591141315,253653.2965311171,1656.172985290478,-728.0584349623275,27.794860626226843,0.0223499043266656,0.027386214626843396,20000
base,0.0002,global_fourier,P_K,5,,,261.9520294293141,2354.7255193974493,223.23709810031528,-512.6080095242538,31.468920347338447,0.01105254769360431,0.025112703029205125,20000
base,0.0002,global_fourier,P_K,8,,,414.7994969714415,6188.770421513396,381.55927236357184,-1315.470313191667,31.373433736892352,0.01105254769360431,0.025112703029205125,20000
base,0.0002,global_fourier,P_K,16,,,719.3579741855746,21352.10996160476,694.1175550595782,-4521.949698654588,31.40717421052026,0.01105254769360431,0.025112703029205125,20000
base,0.0002,global_fourier,P_K,32,,,1293.328463111949,77976.96505380937,1271.702574529686,-15608.785662588409,31.396949155264032,0.01105254769360431,0.025112703029205125,20000
base,0.0002,hybrid_spectrum,Kg8+Kl24,8,24,spectrum,2153.1583365502347,350772.72706259525,2147.8590625728166,-26328.202667464677,25.316208287572277,0.01105254769360431,0.025112703029205125,20000
base,0.0002,hybrid_spectrum,Kg8+Kl32,8,32,spectrum,2180.8817684862574,390777.9073528467,2175.7861979674594,-6580.900046383643,25.31644415664966,0.01105254769360431,0.025112703029205125,20000
base,0.0002,hybrid_spectrum,Kg8+Kl40,8,40,spectrum,2184.693284895981,405901.353656161,2179.628207033882,-2558.2300206859427,25.31640305803072,0.01105254769360431,0.025112703029205125,20000
base,0.0002,hybrid_blob,Kg8+blob,8,,blob,2182.780432567816,410127.73296009615,2177.7145133389536,-1146.0162979091874,25.316414593188433,0.01105254769360431,0.025112703029205125,20000
