step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,20000,5,31.41592653589793,31.41592653589793,0.0004308475087704266,-8.1606508870843e-05,0.41486609808825015,0.08297321961765003,0.011948969950259555,0.10931134410599641,0.09070379061509105,0.13828869936275004,0.16591277052554618,0.23335709056682952,10000,16000,18000,1.0931694712229363,824.7007082736369,426.6210147433958,114.7173016100369,114.7173016100369,0.00015,1.0664124389341614,0,0
10,9.999999999999999e-06,20000,5,31.41592653589793,31.41592653589793,0.00033527538167071354,-0.00010001088890989072,0.36966468960119847,0.0739329379202397,0.009625964542414404,0.09811199999191945,0.07724876484523946,0.1232215632003995,0.15201180519044538,0.22673937101068392,10000,16000,18000,1.044849116216333,1166.6289502489458,423.961685680995,133.1554198594797,133.1554198594797,0.00125,1.1698077748128672,0,0
20,1.9999999999999998e-05,20000,5,31.41592653589793,31.41592653589793,0.00023247103694964708,-0.00012229580077848174,0.3197748898812427,0.06395497797624854,0.007488489344615012,0.08653605806029653,0.0638383301073193,0.10659162996041423,0.13616422661720687,0.21668151365802638,10000,16000,18000,0.9981760939864204,1722.4993422038167,425.09944199788225,159.5383140711074,159.5383140711074,0.007,1.294467714053868,0,0
30,2.9999999999999997e-05,20000,5,31.41592653589793,31.414355739571135,-2.2699714964808973e-05,-0.0001415483059303433,0.2673649762663841,0.053472995253276825,0.00559738042353632,0.07481564290665636,0.05125160678570388,0.08912165875546137,0.11828830842092852,0.2063955282073266,10000,16000,18000,0.9584577512994876,2668.8647819673843,417.46128787385885,197.60390550341177,197.60390550341177,0.029151457572878643,1.4289117201283823,0,0
40,3.9999999999999996e-05,20000,5,31.41592653589793,31.414355739571135,-0.0003556982012930152,-0.0001585831276506258,0.21530866122066622,0.04306173224413325,0.004054454579301332,0.06367459916875277,0.04005414390544847,0.07176955374022208,0.09877095149366741,0.19705724389477972,10000,16000,18000,0.9301563550292491,4342.465046155704,430.5293970307162,251.97043614283305,251.97043614283305,0.09495474773738687,1.5829126758065653,0,0
50,4.9999999999999996e-05,20000,5,31.41592653589793,31.414355739571135,-0.000899018385520405,-0.0004431782056328821,0.16736442037361085,0.03347288407472217,0.002913042361931299,0.05397260751465783,0.030476358079540255,0.05578814012453695,0.07888230674730574,0.18974078653543933,10000,16000,18000,0.9104790017946255,7516.492947421077,441.4867937003953,332.13224665020465,332.13224665020465,0.2344117205860293,1.756174482970843,0,0
60,5.9999999999999995e-05,20000,5,31.41592653589793,31.414355739571135,-0.0015016557601367658,-0.001314795037270611,0.1302156734986868,0.026043134699737357,0.0021723588798845624,0.04660857088438308,0.021796308314896443,0.04340522449956226,0.062334385813193394,0.20026387586726416,10000,16000,18000,0.8369310594210556,13891.47777760455,443.7091920114897,458.6684663255574,458.6684663255574,0.41172058602930145,1.9930300460567707,0,0
70,7e-05,20000,5,31.41592653589793,31.414355739571135,-0.0020111094006097533,-0.001965619948600082,0.09278612359495977,0.018557224718991953,0.0017172692767879786,0.04143994783765996,0.015844482458736705,0.03092870786498659,0.04986637709644067,0.20596176078427308,10000,16000,18000,0.853817459165704,26474.162086833454,515.5145987920743,636.176083150578,636.176083150578,0.6288314415720786,2.256126606254544,0,0
80,7.999999999999999e-05,20000,5,31.41592653589793,31.412784943244343,-0.0022063199251493677,-0.0018653127895759732,0.07850569722192885,0.01570113944438577,0.0015849548584499944,0.03981149153762007,0.018595868253241325,0.026168565740642948,0.035287423746754074,0.19251725934410027,10000,16000,18000,1.184364250703513,24951.66842937695,516.9862989588797,699.1490154440046,699.1490154440046,0.7211721172117211,2.781925808475039,0,0
90,8.999999999999999e-05,20000,5,31.41592653589793,31.412784943244343,-0.00295238101045413,-0.003500550149729043,0.08167401887874913,0.016334803775749827,0.0016621115012055952,0.04076900171951228,0.0229336490753285,0.027224672959583043,0.02996067740303848,0.18654347281969338,10000,16000,18000,1.4039745680554256,23828.482176048314,520.1230079128214,734.9336008265238,734.9336008265238,0.7012201220122012,2.315914105222198,0,0
100,9.999999999999999e-05,20000,5,31.41592653589793,31.414355739571135,-0.004310895893758537,-0.005065451815752853,0.08125724007348657,0.016251448014697314,0.0017169764655522216,0.04143641472849963,0.024071296985374475,0.02708574669116219,0.029172460581965903,0.1856663324795078,10000,16000,18000,1.4811785979689396,31154.628382022976,529.143798332204,843.4155439981344,843.4155439981344,0.7035351767588379,2.3169791805051623,0,0
110,0.00010999999999999999,20000,5,31.41592653589793,31.414355739571135,-0.005185842819427575,-0.006780487142920812,0.07876548779940465,0.01575309755988093,0.001686069954850871,0.04106178216846988,0.023712369241001736,0.026255162599801547,0.028125632178611963,0.18250381360877507,10000,16000,18000,1.5052512149350876,35995.45916129516,535.8770285179997,918.0544175503032,918.0544175503032,0.7219360968048403,2.171001722463423,0,0
120,0.00011999999999999999,20000,5,31.41592653589793,31.414355739571135,-0.005500533922652161,-0.008456158340667277,0.08215902785882227,0.016431805571764456,0.001661383997370889,0.04076007847601485,0.022350145132957494,0.027386342619607425,0.03040351193423391,0.18183845226367942,10000,16000,18000,1.3601758513600477,33126.657618104175,486.97050268241213,894.1975167148044,894.1975167148044,0.7002850142507125,2.0282569565598556,0,0
130,0.00013,20000,5,31.41592653589793,31.41592653589793,-0.005605337505627264,-0.011476082541873815,0.08255330618765651,0.016510661237531303,0.001578913040979802,0.03973553876544021,0.01833442504991087,0.027517768729218836,0.030772402231860653,0.18071621066114288,10000,16000,18000,1.1104597681547645,29560.617312788974,514.6292954583015,846.0763211287983,846.0763211287983,0.69855,1.9941328755948122,0,0
140,0.00014,20000,5,31.41592653589793,31.41592653589793,-0.002548202338634037,-0.013031822398722526,0.08329630258682597,0.016659260517365194,0.001504414772488095,0.0387867860551515,0.013602624425432596,0.027765434195608656,0.03058657290673096,0.1772193360773618,10000,16000,18000,0.8165203018017254,52762.687103735334,517.8391448605142,1077.2355218177229,1077.2355218177229,0.6939,1.957058287322743,0,0
150,0.00015,20000,5,31.41592653589793,31.41592653589793,0.0007463776895887751,-0.013438387978674311,0.08228254093690901,0.016456508187381803,0.0014891699400457954,0.03858976470575838,0.012197541319801011,0.027427513645636337,0.030593635557024684,0.17570046498693284,10000,16000,18000,0.7411986298012845,61859.09226241125,532.9551517229653,1212.0654787593198,1212.0654787593198,0.7012,1.6867892385399514,0,0
160,0.00015999999999999999,20000,5,31.41592653589793,31.414355739571135,0.0003238555165420574,-0.015159617366581743,0.07988495426737695,0.01597699085347539,0.001462768573977995,0.03824615763678745,0.011789776239929144,0.02662831808912565,0.030881280568596254,0.17364189977828504,10000,16000,18000,0.7379221999970399,66839.3441743645,554.8733756727082,1262.114655407127,1262.114655407127,0.7159857992899645,1.7416885062930756,0,0
170,0.00016999999999999999,20000,5,31.41592653589793,31.414355739571135,-0.0014799257177235067,-0.01496370331982916,0.08108796054292072,0.016217592108584145,0.0014429548221490582,0.03798624517044371,0.012019425355443404,0.027029320180973572,0.03238274102756192,0.16976459226717466,10000,16000,18000,0.7411350140617604,63871.905844425026,515.2549003675679,1228.0025869718645,1228.0025869718645,0.7110855542777139,1.6576761652707988,0,0
180,0.00017999999999999998,20000,5,31.41592653589793,31.41592653589793,-0.0026940690411381006,-0.01468137907482625,0.08100074176211389,0.016200148352422776,0.0014716038115454005,0.038361488651320615,0.012254884169428402,0.027000247254037962,0.03239734570842358,0.17343053365952762,10000,16000,18000,0.7564674040528556,62839.140074832874,490.8889204406055,1206.3349444976925,1206.3349444976925,0.71245,1.2376864681923168,0,0
190,0.00018999999999999998,20000,5,31.41592653589793,31.41592653589793,-0.002332773725177252,-0.016421990649181643,0.08006637080924595,0.016013274161849188,0.0014749709372709654,0.03840535037297493,0.012029707974091856,0.02668879026974865,0.03302534520917048,0.1726848459783308,10000,16000,18000,0.7512334986902319,63570.61675048501,491.7436114002702,1204.9603479394377,1204.9603479394377,0.71865,1.5406264385830495,0,0
200,0.00019999999999999998,20000,5,31.41592653589793,31.41749733222473,0.0008983113083031664,-0.018302572860854776,0.07533887013231161,0.015067774026462321,0.0014009648458886055,0.037429464942590425,0.011052742761425177,0.025112956710770535,0.033719829119405804,0.16652343376872683,10000,16000,18000,0.7335352084530955,72335.09508139943,497.60872643529717,1274.5378414273493,1274.5378414273493,0.7472126393680316,1.8537541842723326,0,0
