method,resolution,seed_group,q,q_set,window_start,window_end,quantity,alpha,beta,T_est,R2_fit,n_points,valid_fit,invalid_reason
LDG,80,-,0.1,"0.1,0.2,0.3",4e-05,9e-05,Rq2,7.375947862771501e-05,0.4496581123572975,0.0001640345778285567,0.3429315305481766,101,False,R2<0.9 (curved)
LDG,80,-,0.1,"0.1,0.2,0.3",5e-05,0.0001,Rq2,4.7823633369219565e-05,0.10937751621369177,0.0004372345891982602,0.6411417533219095,101,False,R2<0.9 (curved)
LDG,80,-,0.1,"0.1,0.2,0.3",6e-05,0.00011,Rq2,5.548793947053176e-05,0.20738171088987545,0.00026756428632222616,0.8209977220993545,101,False,R2<0.9 (curved)
LDG,80,-,0.1,"0.1,0.2,0.3",7e-05,0.00012,Rq2,6.20126207723931e-05,0.2760282686749873,0.00022466039826308726,0.9427828927935576,101,True,
LDG,80,-,0.2,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00026087395286042886,2.844478816972836,9.171239079152549e-05,0.7534234610029698,101,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.0001351749169234799,1.0962510107281296,0.0001233065380105755,0.5245347720134348,101,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.1,0.2,0.3",6e-05,0.00011,Rq2,6.143680173463556e-05,0.21288702591908656,0.00028858875485435296,0.1906735077576569,101,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.1,0.2,0.3",7e-05,0.00012,Rq2,4.19569311879018e-05,0.00524545307263982,0.00799872396280663,0.6362340815078227,101,False,R2<0.9 (curved)
LDG,80,-,0.3,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0004346833186207479,4.608232874168735,9.432755038430194e-05,0.7632926870791215,101,False,R2<0.9 (curved)
LDG,80,-,0.3,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.0002439479544308533,1.952658591147646,0.00012493118640236875,0.675072959430791,101,False,R2<0.9 (curved)
LDG,80,-,0.3,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00014814899710096683,0.8054349675607547,0.0001839366343252186,0.5394431432653215,101,False,R2<0.9 (curved)
LDG,80,-,0.3,"0.1,0.2,0.3",7e-05,0.00012,Rq2,0.0001112284868527249,0.41749493909870744,0.0002664187668785786,0.9191677007891614,101,True,
LDG,80,-,0.2,"0.2,0.3",4e-05,9e-05,Rq2,0.00026087395286042886,2.844478816972836,9.171239079152549e-05,0.7534234610029698,101,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.2,0.3",5e-05,0.0001,Rq2,0.0001351749169234799,1.0962510107281296,0.0001233065380105755,0.5245347720134348,101,False,R2<0.9 (curved)
