method,resolution,quantity,q_set,window_set,T_median,T_p10,T_p90,T_min,T_max,relative_spread,n,valid_quote,decision
LDG,80,T_core,"0.1,0.2,0.3",2/12 valid,0.0002455395825708329,0.0002288362351246364,0.00026224293001702947,0.00022466039826308726,0.0002664187668785786,0.1360542139178556,2,False,unstable/insufficient
LDG,80,T_core,"0.2,0.3",1/8 valid,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0,1,False,unstable/insufficient
LDG,80,T_core,0.2,0/4 valid,nan,nan,nan,nan,nan,nan,0,False,unstable/insufficient
LDG,80,T_core,0.3,1/4 valid,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0002664187668785786,0.0,1,False,unstable/insufficient
LDG,80,T_L2,-,def,nan,nan,nan,nan,nan,nan,0,False,secondary
LDG,80,T_peak,-,def,nan,nan,nan,nan,nan,nan,0,False,secondary
LDG,160,T_core,"0.1,0.2,0.3",2/12 valid,0.0001234414806571973,0.00011461524474022619,0.0001322677165741684,0.00011240868576098341,0.00013447427555341118,0.14300275515135744,2,False,unstable/insufficient
LDG,160,T_core,"0.2,0.3",2/8 valid,0.0001234414806571973,0.00011461524474022619,0.0001322677165741684,0.00011240868576098341,0.00013447427555341118,0.14300275515135744,2,False,unstable/insufficient
LDG,160,T_core,0.2,1/4 valid,0.00011240868576098341,0.00011240868576098341,0.00011240868576098341,0.00011240868576098341,0.00011240868576098341,0.0,1,False,unstable/insufficient
LDG,160,T_core,0.3,1/4 valid,0.00013447427555341118,0.00013447427555341118,0.00013447427555341118,0.00013447427555341118,0.00013447427555341118,0.0,1,False,unstable/insufficient
LDG,160,T_L2,-,def,nan,nan,nan,nan,nan,nan,0,False,secondary
LDG,160,T_peak,-,def,nan,nan,nan,nan,nan,nan,0,False,secondary
LDG,320,T_core,"0.1,0.2,0.3",4/12 valid,0.00012151808852177488,0.0001134255780341212,0.00012233517392469398,0.00011030331097902551,0.00012233940165776055,0.07331909182373512,4,True,quotable
LDG,320,T_core,"0.2,0.3",3/8 valid,0.0001223253092142053,0.00011270771062606147,0.0001223365831690495,0.00011030331097902551,0.00012233940165776055,0.07871529289271441,3,True,quotable
LDG,320,T_core,0.2,1/4 valid,0.0001223253092142053,0.0001223253092142053,0.0001223253092142053,0.0001223253092142053,0.0001223253092142053,0.0,1,False,unstable/insufficient
LDG,320,T_core,0.3,2/4 valid,0.00011632135631839303,0.00011150692004689902,0.00012113579258988704,0.00011030331097902551,0.00012233940165776055,0.08277820039023638,2,False,unstable/insufficient
LDG,320,T_L2,-,def,0.00012187795730076943,0.00012187795730076943,0.00012187795730076943,0.00012187795730076943,0.00012187795730076943,0.0,1,False,secondary
LDG,320,T_peak,-,def,0.00012108622108850158,0.00012108622108850158,0.00012108622108850158,0.00012108622108850158,0.00012108622108850158,0.0,1,False,secondary
particle,80000,T_core,"0.1,0.2,0.3",3/12 valid,0.00015046897536227343,0.00013932332931483523,0.00016151189620969216,0.00013653691780297566,0.00016427262642154682,0.14746273669661866,3,True,quotable
particle,80000,T_core,"0.2,0.3",3/8 valid,0.00015046897536227343,0.00013932332931483523,0.00016151189620969216,0.00013653691780297566,0.00016427262642154682,0.14746273669661866,3,True,quotable
particle,80000,T_core,0.2,1/4 valid,0.00015046897536227343,0.00015046897536227343,0.00015046897536227343,0.00015046897536227343,0.00015046897536227343,0.0,1,False,unstable/insufficient
particle,80000,T_core,0.3,2/4 valid,0.00015040477211226126,0.0001393104886648328,0.00016149905555968972,0.00013653691780297566,0.00016427262642154682,0.14752568408065875,2,False,unstable/insufficient
particle,80000,T_L2,-,def,0.00012489838101885557,0.00012489838101885557,0.00012489838101885557,0.00012489838101885557,0.00012489838101885557,0.0,1,False,secondary
particle,320000,T_core,"0.1,0.2,0.3",7/12 valid,0.00012915462308462573,0.00011532758852562846,0.00013357826843561643,0.00010709861043540335,0.0001348738963770169,0.14130876211863985,7,True,quotable
particle,320000,T_core,"0.2,0.3",7/8 valid,0.00012915462308462573,0.00011532758852562846,0.00013357826843561643,0.00010709861043540335,0.0001348738963770169,0.14130876211863985,7,True,quotable
particle,320000,T_core,0.2,3/4 valid,0.00013271451647468277,0.00012986660176263714,0.00013444202039655006,0.00012915462308462573,0.0001348738963770169,0.03447564558460154,3,True,quotable
particle,320000,T_core,0.3,4/4 valid,0.00012320370425224585,0.00011121309948051591,0.00012968072231504232,0.00010709861043540335,0.00013143224562775483,0.1498950291033134,4,True,quotable
particle,320000,T_L2,-,def,nan,nan,nan,nan,nan,nan,0,False,secondary
