method,resolution,seed_group,q,q_set,window_start,window_end,quantity,alpha,beta,T_est,R2_fit,n_points,valid_fit,invalid_reason
LDG,80,-,0.1,"0.1,0.2,0.3",7e-05,0.000115,Rq2,6.242222591598424e-05,0.280786824802171,0.00022231180526352675,0.9245827419475616,90,True,
LDG,80,-,0.1,"0.1,0.2,0.3",8e-05,0.000118,Rq2,6.813975775280651e-05,0.33566847664368443,0.00020299719066302902,0.9696807795293384,76,True,
LDG,80,-,0.1,"0.1,0.2,0.3",9e-05,0.00012,Rq2,6.274746587194358e-05,0.2847115236611594,0.00022038962478603615,0.9603402478849716,61,True,
LDG,80,-,0.2,"0.1,0.2,0.3",7e-05,0.000115,Rq2,4.1854311365643605e-05,0.004049548653076599,0.01033554969980303,0.4863515231472919,90,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.1,0.2,0.3",8e-05,0.000118,Rq2,4.2256230954189025e-05,0.008045230166944903,0.0052523333798211785,0.846332409467331,76,False,R2<0.9 (curved)
LDG,80,-,0.2,"0.1,0.2,0.3",9e-05,0.00012,Rq2,4.2636621946659704e-05,0.011591992926606638,0.003678109727689496,0.9829446042644204,61,False,T absurdly far
LDG,80,-,0.3,"0.1,0.2,0.3",7e-05,0.000115,Rq2,0.00010993310013420367,0.40238022613043184,0.00027320701415026486,0.8859775125130863,90,False,R2<0.9 (curved)
LDG,80,-,0.3,"0.1,0.2,0.3",8e-05,0.000118,Rq2,0.00012205124104296396,0.5210319695702632,0.00023424904453296676,0.9600813381163299,76,True,
LDG,80,-,0.3,"0.1,0.2,0.3",9e-05,0.00012,Rq2,0.0001281374878775992,0.5763447679013524,0.0002223278409278998,0.9717553102152386,61,True,
LDG,80,ens,-1,,7e-05,0.000115,L2,2.3186360649613808e-06,0.00873558056746255,0.00026542438101911773,0.84875089481923,90,False,R2<0.9 (curved)
LDG,80,ens,-1,,8e-05,0.000118,L2,1.9618824590400386e-06,0.005186207469888489,0.00037828846424499516,0.934232815623659,76,True,
LDG,80,ens,-1,,9e-05,0.00012,L2,1.7923552319616398e-06,0.0035879393564890467,0.0004995500352368098,0.9670586173814456,61,True,
LDG,80,ens,-2,,7e-05,0.000115,peak,2.3107339083330754e-05,0.0660231073974093,0.0003499886629728287,0.8375849013745795,90,False,R2<0.9 (curved)
LDG,80,ens,-2,,8e-05,0.000118,peak,2.0451343372022413e-05,0.03959485386995142,0.000516515187534079,0.9469921074082706,76,True,
LDG,80,ens,-2,,9e-05,0.00012,peak,1.9292642803457467e-05,0.028668544809630825,0.0006729550778237043,0.9746643326087583,61,True,
LDG,160,-,0.1,"0.1,0.2,0.3",7e-05,0.000115,Rq2,1.7943402434138687e-05,0.07870541619814231,0.00022798179974000578,0.2736166086339007,90,False,R2<0.9 (curved)
LDG,160,-,0.1,"0.1,0.2,0.3",8e-05,0.000118,Rq2,1.1326517194058044e-05,0.012749209021426245,0.0008884094044597407,0.9301947361453913,76,True,
LDG,160,-,0.1,"0.1,0.2,0.3",9e-05,0.00012,Rq2,1.0917290755900106e-05,0.008821547385694007,0.0012375709474286547,0.758447823587222,61,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",7e-05,0.000115,Rq2,8.654915181266047e-05,0.7156856374480692,0.00012093179922021357,0.8737478869674835,90,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",8e-05,0.000118,Rq2,6.139890684982386e-05,0.4635983221632651,0.00013243988149767516,0.7822605329723402,76,False,R2<0.9 (curved)
LDG,160,-,0.2,"0.1,0.2,0.3",9e-05,0.00012,Rq2,4.6173747382852993e-05,0.3173762626681859,0.00014548582491541668,0.6703087653692517,61,False,R2<0.9 (curved)
LDG,160,-,0.3,"0.1,0.2,0.3",7e-05,0.000115,Rq2,0.00012371851098096363,0.954723535291395,0.00012958569303856432,0.9395643872120681,90,True,
LDG,160,-,0.3,"0.1,0.2,0.3",8e-05,0.000118,Rq2,0.00010077304761060307,0.7243408658437206,0.00013912379152213297,0.9164282577359344,76,True,
LDG,160,-,0.3,"0.1,0.2,0.3",9e-05,0.00012,Rq2,8.339687961746448e-05,0.5588970517372729,0.00014921688951164444,0.807566967900577,61,False,R2<0.9 (curved)
LDG,160,ens,-1,,7e-05,0.000115,L2,2.4837079371041392e-06,0.01887817559169572,0.00013156504054325524,0.8760331758964757,90,False,R2<0.9 (curved)
LDG,160,ens,-1,,8e-05,0.000118,L2,1.7494015264738473e-06,0.011566612770807803,0.00015124579348666745,0.904692302425663,76,True,
LDG,160,ens,-1,,9e-05,0.00012,L2,1.2867962238696753e-06,0.007213822740472519,0.00017837924082195948,0.9545616735973291,61,True,
LDG,160,ens,-2,,7e-05,0.000115,peak,3.0004399550035255e-05,0.23454628080850268,0.0001279252838570167,0.9015767687555424,90,True,
LDG,160,ens,-2,,8e-05,0.000118,peak,2.1831942097306496e-05,0.15303985573838175,0.0001426552710205616,0.9166639396470323,76,True,
LDG,160,ens,-2,,9e-05,0.00012,peak,1.607141830044234e-05,0.09877213555180314,0.00016271206662341877,0.9456613370471053,61,True,
LDG,320,-,0.1,"0.1,0.2,0.3",7e-05,0.000115,Rq2,3.708602844305735e-05,0.31651477995042526,0.0001171699737019106,0.9468877529690949,90,True,
LDG,320,-,0.1,"0.1,0.2,0.3",8e-05,0.000118,Rq2,3.0416518352816282e-05,0.24906628312661602,0.00012212218358497628,0.9268266188375139,76,True,
LDG,320,-,0.1,"0.1,0.2,0.3",9e-05,0.00012,Rq2,2.3977237709157186e-05,0.18767938181993185,0.00012775637620205952,0.8293696434729594,61,False,R2<0.9 (curved)
LDG,320,-,0.2,"0.1,0.2,0.3",7e-05,0.000115,Rq2,7.81962760970805e-05,0.6525671666335352,0.00011982870131281597,0.9233956105448015,90,True,
LDG,320,-,0.2,"0.1,0.2,0.3",8e-05,0.000118,Rq2,6.320721700125736e-05,0.5033589671570847,0.00012557085723185715,0.9320686395741414,76,True,
LDG,320,-,0.2,"0.1,0.2,0.3",9e-05,0.00012,Rq2,4.767174477130192e-05,0.3585085411075006,0.00013297241015244686,0.9648480566038303,61,True,
LDG,320,-,0.3,"0.1,0.2,0.3",7e-05,0.000115,Rq2,0.00013244441744366694,1.112952913514687,0.00011900271416282082,0.9294514014432642,90,True,
LDG,320,-,0.3,"0.1,0.2,0.3",8e-05,0.000118,Rq2,0.00010277443369482768,0.8167558730246663,0.00012583250037030813,0.9470692437167161,76,True,
LDG,320,-,0.3,"0.1,0.2,0.3",9e-05,0.00012,Rq2,7.955367316009498e-05,0.5971889215443786,0.0001332135783000843,0.9524354201538563,61,True,
LDG,320,ens,-1,,7e-05,0.000115,L2,2.786671768017188e-06,0.023493835580791135,0.00011861289138737341,0.9323697162187665,90,True,
LDG,320,ens,-1,,8e-05,0.000118,L2,2.121486324190309e-06,0.016860480254228278,0.0001258259724635235,0.9598131595976166,76,True,
LDG,320,ens,-1,,9e-05,0.00012,L2,1.6835899457254313e-06,0.012727547193128847,0.00013227921453980875,0.9777149988660343,61,True,
LDG,320,ens,-2,,7e-05,0.000115,peak,3.265920768133075e-05,0.2768703115803541,0.00011795850373019248,0.938817946170434,90,True,
LDG,320,ens,-2,,8e-05,0.000118,peak,2.517802210742926e-05,0.20221276699257681,0.00012451252451509918,0.9611683016894723,76,True,
LDG,320,ens,-2,,9e-05,0.00012,peak,1.9998103117003652e-05,0.1533193076595528,0.00013043434269485263,0.9769840434496138,61,True,
