step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.024692277553214487,0.035320200467519616,0.05142628341089237,0.06490162274998629,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,0.7245192509889242,0,0,0.7245192509889242,0.7245192509889242,2291.131041764202,2291.131041764202,current_fourier,nan,nan,116.10847073631665,115.03241135973379,1101.1730296354062,12.5,0.7571875,119.0738688117585,115.08299773174079,1589.626345188804,3.125,0.8112109375
5,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00024077781396176096,-0.00020533819011317057,0.4084839960387342,0.04084839960387342,0.011548148063760241,0.10746230996847332,0.024041505135253518,0.03424532482312938,0.04999018523064107,0.06320183668838796,0.08858325866258179,0.1361613320129114,0.163674615614475,0.23608436759035106,40000,64000,72000,2.1685857835708684,904.6668877530177,426.31586509313513,117.5838216867693,117.5838216867693,0.0005,0.7279620030803016,0,0,0.7279620030803016,0.7279620030803016,2302.017979792263,2302.017979792263,current_fourier,nan,nan,118.50865791411418,117.49245886338028,1123.4205592212159,12.5,0.756875,121.44159681688545,117.56862874828876,1566.4732426242285,3.125,0.8134375
10,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00024375688241730944,-0.00018972334391026462,0.40221229438185735,0.040221229438185735,0.011217793299525344,0.10591408451912968,0.023141013368073893,0.03332929303586893,0.04858398161253108,0.06156545852716364,0.0865520747216181,0.13407076479395244,0.16195503840520092,0.23505020162289653,40000,64000,72000,2.1519002758142,963.9173364368829,427.0752178251704,120.1097917361094,120.1097917361094,0.000625,0.7319363791775129,0,0,0.7319363791775129,0.7319363791775129,2314.586060537581,2314.586060537581,current_fourier,nan,nan,121.02244424597268,120.00538662847063,1146.3132609891522,12.5,0.7571875,123.83029525927164,119.97038644018157,1778.163508793552,3.125,0.8138671875
15,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.00023315697903825182,-0.00018245038479997527,0.3961148278692711,0.03961148278692711,0.010895542078055482,0.10438171333167262,0.022532704510608233,0.032299029068844125,0.047142070852527716,0.05987096079385955,0.08459941255594625,0.1320382759564237,0.16021747884058704,0.23440939614774212,40000,64000,72000,2.135729505785287,1025.8800707187,427.4411702858707,122.75394753798737,122.75394753798737,0.000737490781365233,0.7316132998331561,0,0,0.7316132998331561,0.7316132998331561,2313.5643939444603,2313.5643939444603,current_fourier,nan,nan,123.60837942227232,122.5915192037189,1259.2551972999045,12.5,0.759375,126.49903666500595,122.66507188700349,1719.7881086103034,3.125,0.8146875
20,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002240102281140378,-0.0001691101295303741,0.38997521574272637,0.03899752157427264,0.01057656524015857,0.10284242918250507,0.021829600230736674,0.031338911402803364,0.0457528762692473,0.05824173644399059,0.08257566349795528,0.1299917385809088,0.15838955693711781,0.23359979286503285,40000,64000,72000,2.1174592682944224,1093.1218102942232,427.8530380106158,125.53867897693732,125.53867897693732,0.0008999887501406232,0.7336392202728236,0,0,0.7336392202728236,0.7336392202728236,2319.970916892099,2319.970916892099,current_fourier,nan,nan,126.42589077618635,125.41425387694139,1386.3806843614693,12.5,0.7596875,129.16938397357941,125.42265566604823,1703.2180643710901,3.125,0.816875
25,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.00022071924974699397,-0.00015629621680027426,0.38398155615231844,0.03839815561523184,0.010263876625420233,0.10131079224554625,0.0212046925069739,0.03034452572254316,0.04448402693655971,0.05661194522415392,0.08060648773699476,0.12799385205077282,0.15648647267072402,0.23235191163020494,40000,64000,72000,2.099228112535167,1166.1941933498251,428.5372590570493,128.45144711275654,128.45144711275654,0.0010499868751640605,0.7350975487033224,0,0,0.7350975487033224,0.7350975487033224,2324.582556309054,2324.582556309054,current_fourier,nan,nan,129.3526822787742,128.3549178696287,1514.4464689031663,12.5,0.76125,132.05602663222777,128.40905283881042,1979.0622634340543,3.125,0.8187890625
30,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021553352033350316,-0.0001426975427083689,0.3773513085898464,0.03773513085898464,0.009957756865954043,0.09978856079708757,0.020482851049973553,0.029445521322756536,0.043167615364449824,0.05502297389021078,0.07865755373533992,0.1257837695299488,0.15454604635830885,0.23167723972982485,40000,64000,72000,2.0844648460152815,1242.2454255304897,428.4659558536961,131.50911639941387,131.50911639941387,0.0012749840626992163,0.7404024676356883,0,0,0.7404024676356883,0.7404024676356883,2341.3581829378786,2341.3581829378786,current_fourier,nan,nan,132.35132875514697,131.39581530276766,1543.6885229601826,12.5,0.76296875,135.03132887348477,131.4488604467382,1983.5070974469857,3.125,0.8201171875
35,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00019323062262931832,-0.00012737886179257416,0.37097186973744206,0.03709718697374421,0.009655678792230926,0.09826331356223912,0.01985775953460275,0.02849157832293579,0.04185452638983079,0.05355471309076963,0.0767453419766985,0.12365728991248069,0.1528000414504259,0.23075564603948015,40000,64000,72000,2.0687644599849455,1326.6996274503563,428.10097258850953,134.73651307445752,134.73651307445752,0.001474981562730466,0.743096377108685,0,0,0.743096377108685,0.743096377108685,2349.877072682852,2349.877072682852,current_fourier,nan,nan,135.60541306984584,134.65770918332433,1670.6752474922293,12.5,0.7621875,138.1052161461162,134.53292900610657,2160.5078503242394,3.125,0.82203125
40,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00018942442039671483,-0.00011081938595699752,0.36495928655142407,0.03649592865514241,0.00936195264420205,0.09675718394104932,0.019146500475979187,0.027608369976429077,0.040617514619465424,0.052010617970216604,0.07488228262725188,0.12165309551714135,0.15088020149093861,0.2299779367801323,40000,64000,72000,2.0517982522058853,1417.249065232003,426.7978221351628,138.0938712305759,138.0938712305759,0.001887476406544918,0.7475701562412136,0,0,0.7475701562412136,0.7475701562412136,2364.0244044901747,2364.0244044901747,current_fourier,nan,nan,138.93801179348318,138.0463870227235,1663.6629535762777,12.5,0.76546875,141.45305196650637,138.10320966799725,2508.2472277345078,3.125,0.82296875
45,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.0001786519103685142,-9.198784097538319e-05,0.3585204210705861,0.03585204210705861,0.00907335660748884,0.09525416845203595,0.018570987482209356,0.026745049012423,0.03938733145683291,0.05056835054453231,0.07294301170670295,0.11950680702352871,0.1490860968860346,0.22921758190096325,40000,64000,72000,2.03455667849787,1514.6148735736676,427.35664712878497,141.627720229666,141.627720229666,0.0024374695316308546,0.750197842138385,0,0,0.750197842138385,0.750197842138385,2372.3338769007396,2372.3338769007396,current_fourier,nan,nan,142.4896548216292,141.61532216703807,1845.7940569980872,12.5,0.766875,144.97670005757863,141.55316222583446,2390.405622867485,3.125,0.824453125
50,9.999999999999999e-06,80000,10,31.41592653589793,31.416711934061325,-0.00016743065841401037,-8.034989024150406e-05,0.35208993616212825,0.035208993616212825,0.008790195823028037,0.09375604419464399,0.018011377189811235,0.0259546552268068,0.03818607434636249,0.04910623723544669,0.07108320542525033,0.11736331205404274,0.1471857279550846,0.228382599754714,40000,64000,72000,2.0188934168376336,1620.1286152702394,426.713485813735,145.32535867681491,145.32535867681491,0.0028374290642733933,0.752359821031234,0,0,0.752359821031234,0.752359821031234,2379.1706544553513,2379.1706544553513,current_fourier,nan,nan,146.18524196548162,145.33562998007903,1985.9681461644307,12.5,0.768125,148.5970709357219,145.2870459337404,2597.2912491712696,3.125,0.825
