step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,12,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.41597041424542475,0.03466420118711873,0.011948212486302031,0.10930787934225981,0.024798004454317846,0.03573119634795941,0.05161643994135021,0.06516113912443332,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,2.622289195989392,821.0797272005533,434.20971962051,114.79673444873035,114.79673444873035,0.000225,0.7239694177116337,0,0,0.7239694177116337,0.7239694177116337,2289.392316274609,2289.392316274609,current_fourier,nan,nan,115.83451040416209,114.77659789180457,1064.6238564388163,12.5,0.75984375,118.80846685406895,114.69754247919225,1766.0601237299197,3.125,0.8113671875
5,1e-06,80000,12,31.41592653589793,31.41592653589793,0.0001529002993169111,-0.00015561896136938983,0.4098991476338052,0.0341582623028171,0.011607287193565635,0.10773712077814979,0.024098175182997075,0.034580668343555956,0.049979672417884154,0.0633313929824227,0.08880827934514038,0.1366330492112684,0.16424560427434196,0.23462417813464748,40000,64000,72000,2.599906241068246,884.2529208727096,435.3024543814865,117.26905211249264,117.26905211249264,0.000275,0.7253959006590038,0,0,0.7253959006590038,0.7253959006590038,2293.903251431689,2293.903251431689,current_fourier,nan,nan,118.23466617347587,117.19194699969351,1180.422694132049,12.5,0.76046875,121.2080840106411,117.11640076405635,1551.5623739896155,3.125,0.8121875
10,2e-06,80000,12,31.41592653589793,31.41592653589793,0.00016348950793825768,-0.00014653617817843764,0.4039342593466582,0.033661188278888185,0.011271406858551342,0.10616688211750094,0.023269705371829683,0.033418141953986645,0.04838876780961885,0.061507343741892116,0.08686480365753266,0.13464475311555274,0.1625724057595645,0.23369481378495205,40000,64000,72000,2.580562603371106,962.7091200304048,434.902012837145,119.89632604324581,119.89632604324581,0.0004,0.7245029153090098,0,0,0.7245029153090098,0.7245029153090098,2291.079383808545,2291.079383808545,current_fourier,nan,nan,120.87984328229116,119.89055548970167,1234.3826573459335,12.5,0.76234375,123.83395514375303,119.96395890484231,1956.4756565245827,3.125,0.8148828125
15,3e-06,80000,12,31.41592653589793,31.41592653589793,0.0001746707534469583,-0.00013611472383550966,0.39820635008352395,0.03318386250696033,0.010942323474468165,0.10460556139359019,0.02246400407477911,0.03226672171216931,0.04688524653174942,0.05970227781444658,0.08482102604237185,0.13273545002784132,0.16076226386567968,0.23274561649344985,40000,64000,72000,2.5560926195550806,1047.3976537094509,434.25249872427815,122.66677610302055,122.66677610302055,0.0004375,0.7227083823996561,0,0,0.7227083823996561,0.7227083823996561,2285.404572478859,2285.404572478859,current_fourier,nan,nan,123.59073943336223,122.63493986027432,1261.7747913761893,12.5,0.76171875,126.46322234010808,122.69838557360286,1896.202350487314,3.125,0.816484375
20,4e-06,80000,12,31.41592653589793,31.41592653589793,0.0001897397699707277,-0.00012275821888278255,0.39196643523670405,0.03266386960305867,0.010617900134988782,0.10304319548125816,0.02172956078635296,0.031247556933612253,0.045402229220738326,0.05789475552988595,0.08281489804341255,0.13065547841223468,0.1590443694310653,0.23196533590834842,40000,64000,72000,2.535367029375408,1138.1881990708155,435.04060854604035,125.61207664940392,125.61207664940392,0.00055,0.7226480834917671,0,0,0.7226480834917671,0.7226480834917671,2285.213890589509,2285.213890589509,current_fourier,nan,nan,126.52155489371125,125.61059643056568,1388.7462267792,12.5,0.76328125,129.29901517129238,125.59212682684701,1991.0596493480773,3.125,0.8184765625
25,4.9999999999999996e-06,80000,12,31.41592653589793,31.41592653589793,0.00019071628973316352,-0.00011043788397992053,0.3860557473805817,0.03217131228171514,0.010300344225910795,0.10149061151609441,0.020978003836421125,0.030181139306838606,0.04391073798520057,0.05621673586434288,0.08073740833735571,0.12868524912686055,0.15716759143583467,0.23140099007692536,40000,64000,72000,2.509608797750024,1239.4104582258763,436.173835566433,128.7175043497305,128.7175043497305,0.0007125,0.7220261140175772,0,0,0.7220261140175772,0.7220261140175772,2283.247050415972,2283.247050415972,current_fourier,nan,nan,129.60437535728857,128.6580633079196,1468.0911826774563,12.5,0.76453125,132.41719530456163,128.6987599871509,2151.722503915662,3.125,0.8187109375
30,6e-06,80000,12,31.41592653589793,31.41592653589793,0.00019133977353555351,-8.656622041554896e-05,0.3798019094809057,0.03165015912340881,0.009987410772874695,0.09993703404081339,0.020333016806513556,0.029210961455305207,0.042468860945717814,0.054460034500664424,0.07868366565042273,0.12660063649363523,0.15544136936759345,0.23052667848714975,40000,64000,72000,2.4860432879222847,1347.4861924743889,436.4952829465558,132.03101635646613,132.03101635646613,0.0008875,0.7241909502928927,0,0,0.7241909502928927,0.7241909502928927,2290.0928638073237,2290.0928638073237,current_fourier,nan,nan,132.89802559559834,132.00286606951383,1609.0749263046796,12.5,0.7634375,135.487774465251,131.9590658122011,2065.338157383198,3.125,0.8216015625
35,7e-06,80000,12,31.41592653589793,31.41592653589793,0.00019447363617303907,-6.936399646748122e-05,0.3736707000286084,0.031139225002384033,0.009680779496853274,0.09839095231195434,0.019588767481079794,0.02818421158825766,0.04105022565014804,0.05279518187053871,0.07670094026879118,0.12455690000953613,0.15369762421070407,0.2295998137312208,40000,64000,72000,2.46316150331034,1468.3735876290446,436.1083238185528,135.5407848372678,135.5407848372678,0.0012,0.7304150078271895,0,0,0.7304150078271895,0.7304150078271895,2309.7750619036333,2309.7750619036333,current_fourier,nan,nan,136.37928283441704,135.48436875208657,1627.2446159260317,12.5,0.7659375,138.99589045136807,135.51982441905378,2266.1990796373902,3.125,0.8224609375
40,8e-06,80000,12,31.41592653589793,31.41592653589793,0.00019282443549173102,-4.827063408887733e-05,0.3673825803875008,0.030615215032291736,0.009381978538168316,0.09686061396753748,0.01887837846647237,0.02728621067644877,0.03977392480816282,0.05111610747360797,0.07467592969864259,0.12246086012916695,0.1518256243507827,0.22891961206065706,40000,64000,72000,2.4391770438286104,1597.2850532825762,435.0759327861944,139.23696262404184,139.23696262404184,0.0015625,0.7420363826283481,0,0,0.7420363826283481,0.7420363826283481,2346.5250758177813,2346.5250758177813,current_fourier,nan,nan,140.10917109424915,139.24540184707323,1925.7235093723184,12.5,0.7659375,142.69083404024312,139.30230526116938,2326.322320261277,3.125,0.8236328125
45,9e-06,80000,12,31.41592653589793,31.41592653589793,0.0001855530098938295,-2.7988471312197505e-05,0.3614238987951204,0.0301186582329267,0.009088537673941306,0.09533382229797202,0.01829359965633977,0.02633239167332719,0.038468598571498584,0.04953898510943199,0.07253706867769101,0.1204746329317068,0.14981897442635458,0.2280306740958977,40000,64000,72000,2.4083764992688526,1731.1181135557035,436.7762596423743,143.12762426367544,143.12762426367544,0.0019625,0.7521827905902182,0,0,0.7521827905902182,0.7521827905902182,2378.6108350465574,2378.6108350465574,current_fourier,nan,nan,143.97582337462538,143.13438977795352,2079.8673767746313,12.5,0.76859375,146.5148636226575,143.24834682500733,2320.0493574103107,3.125,0.825703125
50,9.999999999999999e-06,80000,12,31.41592653589793,31.41592653589793,0.00018022888269612046,-9.428303449956288e-06,0.3551511481000292,0.029595929008335766,0.008803142067944966,0.0938250609802358,0.017604879825990533,0.025471789596816907,0.03724007655202798,0.047995577074672925,0.07069073883524302,0.11838371603334306,0.14787359426590616,0.22704981162067278,40000,64000,72000,2.388529139103314,1878.0705701791694,439.2816314404046,147.22610787430764,147.22610787430764,0.00235,0.7577163163173668,0,0,0.7577163163173668,0.7577163163173668,2396.1093798354864,2396.1093798354864,current_fourier,nan,nan,148.06462833599485,147.33334494483378,2268.35402433513,12.5,0.7703125,150.5525628995769,147.39757061658844,2867.0634215054624,3.125,0.826328125
55,1.1e-05,80000,12,31.41592653589793,31.41592653589793,0.00017132260106612196,1.6166547111154264e-05,0.3488486300443024,0.02907071917035853,0.008522077946463907,0.09231510139984632,0.017023676497142128,0.02457122896362328,0.035996876736634785,0.046506163364299184,0.06873408059514799,0.11628287668143412,0.14607608501478242,0.22596963905957954,40000,64000,72000,2.3643749641127396,2037.781413204104,438.7602688957955,151.5775182137646,151.5775182137646,0.00305,0.7691503283546043,0,0,0.7691503283546043,0.7691503283546043,2432.266900666939,2432.266900666939,current_fourier,nan,nan,152.42909864681778,151.6913441702828,2347.513354974019,12.5,0.7709375,154.7315713065212,151.76047575833266,2714.2904969960014,3.125,0.827734375
60,1.2e-05,80000,12,31.41592653589793,31.41592653589793,0.0001723239362234051,4.152787124821344e-05,0.3425071352333907,0.028542261269449226,0.00824935978737196,0.09082598630002298,0.016391323761898207,0.023758462925969406,0.034823972998608524,0.04507569090206828,0.06682554751985564,0.1141690450777969,0.14414012095578987,0.22517832400374485,40000,64000,72000,2.3412842762876567,2209.008214291376,440.7286236208689,156.13863229188698,156.13863229188698,0.003725,0.7735540044078378,0,0,0.7735540044078378,0.7735540044078378,2446.192547072698,2446.192547072698,current_fourier,nan,nan,157.01689620526017,156.227097444612,2501.5065557126754,12.5,0.7725,159.29180225644603,156.2455607662212,3173.9005868504773,3.125,0.828984375
65,1.3e-05,80000,12,31.41592653589793,31.41592653589793,0.00016176078373901455,7.267234145706457e-05,0.33623268798747297,0.028019390665622746,0.007981659741251484,0.08934013510875996,0.01581801784038861,0.022927912433476975,0.03357998094300627,0.043623621834723535,0.06492394015447495,0.11207756266249098,0.14218154266951374,0.2241247871473479,40000,64000,72000,2.317107496350045,2409.298445832726,441.24888583948916,161.06218583177622,161.06218583177622,0.0045,0.781225697133511,0,0,0.781225697133511,0.781225697133511,2470.4525695947705,2470.4525695947705,current_fourier,nan,nan,161.96686121461954,161.22202470839542,2747.055759883775,12.5,0.77359375,164.20672444683444,161.22867600749484,3168.2253584539794,3.125,0.8315234375
70,1.4e-05,80000,12,31.41592653589793,31.41592653589793,0.00014754162390427918,0.00010956023365610746,0.329918503724691,0.02749320864372425,0.007720160974823103,0.08786444659145759,0.015296892220076023,0.022096769138490988,0.03248255254548107,0.042265700465591,0.06306864426729536,0.10997283457489701,0.14022787149150104,0.2232529619658921,40000,64000,72000,2.293971761702385,2606.334328029629,440.07854296537477,166.15311764527877,166.15311764527877,0.0053,0.7976445714782779,0,0,0.7976445714782779,0.7976445714782779,2522.3736091403384,2522.3736091403384,current_fourier,nan,nan,167.09829927322806,166.37425071372067,2948.108440656247,12.5,0.77484375,169.30265380800319,166.52573319139634,3636.791323056218,3.125,0.8334765625
75,1.4999999999999999e-05,80000,12,31.41592653589793,31.41592653589793,0.00013370351766705128,0.00014208620904265217,0.32365226243953255,0.026971021869961045,0.00746746421188095,0.0864144907517307,0.014731169290951479,0.021415470953760195,0.03145381370918361,0.04092686966475715,0.06122108450251939,0.10788408747984418,0.13820193457929422,0.22227650188691875,40000,64000,72000,2.26988375886137,2811.0582712304604,442.52497945656444,171.46509444305423,171.46509444305423,0.006275,0.8077017437336904,0,0,0.8077017437336904,0.8077017437336904,2554.1771802880944,2554.1771802880944,current_fourier,nan,nan,172.45756016204177,171.75990062087317,3478.9269708904917,12.5,0.774375,174.4840653424626,171.7347570782144,3823.3568058737783,3.125,0.8345703125
80,1.6e-05,80000,12,31.41592653589793,31.41592653589793,0.00010291376622960323,0.00018028652342240523,0.31727502719705974,0.02643958559975498,0.007218596911191263,0.08496232642289912,0.014418506103398912,0.02065374104259322,0.03043268868071143,0.03970504500518226,0.05940631963806608,0.10575834239901992,0.1359994058687528,0.22125176566681537,40000,64000,72000,2.246870300365699,3024.691709627545,440.8114169808433,177.05612627979534,177.05612627979534,0.00765,0.8168221866794102,0,0,0.8168221866794102,0.8168221866794102,2583.018553266185,2583.018553266185,current_fourier,nan,nan,178.11878607235198,177.4453174797668,3767.2187395633114,12.5,0.7759375,180.20693775442203,177.51221427036486,4130.350459750887,3.125,0.835625
85,1.7e-05,80000,12,31.41592653589793,31.41592653589793,7.640542903103162e-05,0.00022178779100767436,0.3112205299834992,0.0259350441652916,0.006975281034911001,0.08351814793750519,0.013945971319340514,0.02003479026995215,0.02939139959335011,0.03840751910793682,0.05758382270013723,0.1037401766611664,0.13405410752214983,0.2200799058727956,40000,64000,72000,2.2203094135155017,3255.262169517465,441.4818703552823,182.99484285806665,182.99484285806665,0.00915,0.8346419693236464,0,0,0.8346419693236464,0.8346419693236464,2639.369653831109,2639.369653831109,current_fourier,nan,nan,184.07209136774756,183.41008392160012,4000.6514714658488,12.5,0.77765625,186.06639243603283,183.52285218537247,4642.311288886854,3.125,0.836796875
90,1.8e-05,80000,12,31.41592653589793,31.41592653589793,5.495313119495279e-05,0.00026669363619814427,0.3050815962881402,0.025423466357345017,0.00674121437277265,0.08210489859181759,0.013534261075655243,0.019324103176811026,0.028421862589551636,0.03720590333567546,0.05592641714800446,0.10169386542938007,0.13205667770365692,0.21916362317191596,40000,64000,72000,2.199795116917522,3505.3225955073476,439.5985464562938,189.24624663143308,189.24624663143308,0.0107375,0.8447153432191638,0,0,0.8447153432191638,0.8447153432191638,2671.224459063427,2671.224459063427,current_fourier,nan,nan,190.50017797877695,189.83403684006294,4709.231511236352,12.5,0.77796875,192.38220593844224,189.78993152283053,4967.572237973757,3.125,0.838671875
