step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.41597041424542475,0.04159704142454247,0.011948212486302031,0.10930787934225981,0.024798004454317846,0.03573119634795941,0.05161643994135021,0.06516113912443332,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,2.185240996657827,823.1287083812697,431.96927910397284,114.7851760753669,114.7851760753669,0.000225,0.49143457997572465,0,0,0.49143457997572465,0.49143457997572465,2197.7622546395546,2197.7622546395546,current_fourier,nan,nan,115.83451040416209,114.77659789180457,1064.6238564388163,12.5,0.75984375,118.80846685406895,114.69754247919225,1766.0601237299197,3.125,0.8113671875
10,1e-06,80000,10,31.41592653589793,31.41592653589793,0.00015476733766028744,-0.00016132821492323513,0.41026295056552353,0.04102629505655235,0.011617648716735773,0.10778519711322039,0.024114113808189706,0.03461502294377509,0.050053932752192144,0.06346109041241849,0.08892243679363852,0.1367543168551745,0.1643400966528913,0.23440105190812058,40000,64000,72000,2.167449843352029,882.4336777362538,432.39135548268274,117.15305742676028,117.15305742676028,0.000275,0.4922469168524497,0,0,0.4922469168524497,0.4922469168524497,2201.3951355935287,2201.3951355935287,current_fourier,nan,nan,118.15220604174706,117.12484332523451,1153.4282468802207,12.5,0.76015625,121.07318897636186,117.03903956508724,1597.6876098700068,3.125,0.8124609375
20,2e-06,80000,10,31.41592653589793,31.41592653589793,0.000173568561189133,-0.0001523051591927231,0.4043385485069065,0.04043385485069065,0.01129202652891814,0.10626394745593701,0.02335632695374957,0.033568051416220386,0.04861430905586962,0.06167411284948349,0.08701813603955466,0.13477951616896883,0.16265076110476392,0.2335088247523044,40000,64000,72000,2.1521108081553177,949.2992601006556,433.17846856629245,119.64794014328078,119.64794014328078,0.000375,0.49277840090846564,0,0,0.49277840090846564,0.49277840090846564,2203.772004549947,2203.772004549947,current_fourier,nan,nan,120.67929835110739,119.66891069861035,1271.347852383282,12.5,0.761875,123.53234735780856,119.64046458353903,1615.9298326880598,3.125,0.815703125
30,3e-06,80000,10,31.41592653589793,31.41592653589793,0.0001774218104195983,-0.00013643510833508788,0.3984345279758893,0.03984345279758893,0.010970755320718565,0.1047413734907012,0.022639581413145565,0.032489775771909014,0.04716325475695656,0.06001272155870211,0.08503923153722387,0.13281150932529642,0.16088340070821092,0.23278627191052417,40000,64000,72000,2.1343338884116463,1021.5528601610671,434.0013052587089,122.28085664847309,122.28085664847309,0.00045,0.4946308735555588,0,0,0.4946308735555588,0.4946308735555588,2212.0565140806652,2212.0565140806652,current_fourier,nan,nan,123.22288054856627,122.22079576586236,1222.8028615024725,12.5,0.761875,126.06194954465582,122.20147333067486,2047.895697101331,3.125,0.8166796875
40,4e-06,80000,10,31.41592653589793,31.41592653589793,0.0001849565913556149,-0.0001226426882249544,0.3924998927356709,0.039249989273567085,0.01065480542695145,0.10322211694666725,0.021789518560778588,0.031453371077237065,0.04575575124786267,0.058333190876930285,0.08297414174690396,0.13083329757855697,0.15924315232483094,0.23199414929139384,40000,64000,72000,2.113991450254559,1101.5802619801354,432.2023735381922,125.06865227753013,125.06865227753013,0.0005375,0.4955090749900561,0,0,0.4955090749900561,0.4955090749900561,2215.983950291613,2215.983950291613,current_fourier,nan,nan,125.95118606334697,124.97010775005542,1364.3239547330254,12.5,0.7625,128.82004427633893,125.16061018600867,1823.7988032821086,3.125,0.81765625
50,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00018608819634235595,-0.00011111918067852751,0.3867132001935123,0.03867132001935123,0.010345255622880432,0.10171162973269297,0.021092013853341054,0.03042532042062378,0.04436583551772771,0.05665062422297679,0.08099479905558854,0.1289044000645041,0.15731211461209624,0.23121336614345017,40000,64000,72000,2.0944410228318695,1183.732183495797,432.4628069357678,127.98609918056968,127.98609918056968,0.0007375,0.4971412089556128,0,0,0.4971412089556128,0.4971412089556128,2223.283075282355,2223.283075282355,current_fourier,nan,nan,128.83300844654065,127.94183967532078,1537.3686614757594,12.5,0.76328125,131.58603154623364,127.9947421527849,2010.913528226685,3.125,0.818359375
60,6e-06,80000,10,31.41592653589793,31.41592653589793,0.00019395323712534753,-9.49668213127263e-05,0.38092361399828534,0.038092361399828537,0.010041235226347764,0.10020596402583912,0.020417830159435126,0.029516385109428472,0.043092246901626254,0.055094557352763814,0.07908660824180319,0.12697453799942846,0.15557978879943066,0.23029356906874368,40000,64000,72000,2.0761802454746,1273.1380509159796,432.66455216060126,131.03991617817056,131.03991617817056,0.000925,0.49877171719550606,0,0,0.49877171719550606,0.49877171719550606,2230.574929806905,2230.574929806905,current_fourier,nan,nan,131.88800645184955,131.00009334288814,1553.741589408867,12.5,0.76515625,134.57196733433784,130.88800872492695,2081.920937789247,3.125,0.820703125
70,7e-06,80000,10,31.41592653589793,31.41592653589793,0.0001937736156425339,-7.444393842654753e-05,0.3748183456184379,0.03748183456184379,0.009741464487248504,0.09869885757823392,0.01973365614905812,0.028547215513577567,0.041681680097276734,0.053502458032859516,0.0771120054194269,0.1249394485394793,0.1536711582768999,0.22936962880002082,40000,64000,72000,2.0573167327814392,1372.061133554939,431.30334336185484,134.2788428915173,134.2788428915173,0.00115,0.5022026766790954,0,0,0.5022026766790954,0.5022026766790954,2245.9186470736113,2245.9186470736113,current_fourier,nan,nan,135.1330481080921,134.19930557188096,1581.357857012889,12.5,0.768125,137.71691072943682,134.16462586551307,2072.987001368331,3.125,0.8214453125
80,8e-06,80000,10,31.41592653589793,31.41592653589793,0.00018320981642653287,-5.935313691305842e-05,0.3689639600682192,0.036896396006821916,0.009448340288739662,0.09720257346767966,0.019163026609082645,0.027629556749192166,0.040442687615449696,0.051911486332759806,0.07517351625914664,0.12298798668940639,0.1518492631853059,0.22865953732594674,40000,64000,72000,2.0374216561760536,1474.8942875420023,431.800358820371,137.6595127718601,137.6595127718601,0.0014875,0.5038763550897867,0,0,0.5038763550897867,0.5038763550897867,2253.4035644711703,2253.4035644711703,current_fourier,nan,nan,138.48858287650413,137.61730615840293,1798.002123016174,12.5,0.76921875,140.9513486458947,137.53432505784707,2087.648965303853,3.125,0.823359375
90,9e-06,80000,10,31.41592653589793,31.41592653589793,0.00017496544650531811,-4.083315607300369e-05,0.362777980687825,0.0362777980687825,0.009159951515714505,0.09570763561866162,0.018520218845578647,0.026728410384037178,0.039194981123411396,0.05034643715578664,0.07333190123732157,0.12092599356260834,0.15002864128250282,0.22760665986333206,40000,64000,72000,2.0213989034914603,1585.7567552946673,433.2416971483209,141.23234426442224,141.23234426442224,0.0018625,0.5052420404501129,0,0,0.5052420404501129,0.5052420404501129,2259.511095074302,2259.511095074302,current_fourier,nan,nan,142.00929856126118,141.15327834091056,1777.3277629638778,12.5,0.77046875,144.52945546167177,141.23748679408214,2361.805313335717,3.125,0.82390625
