N,t,S_L2,peak,umin,mass_u,mass_v
160,0.0,114.86812863545481,840.9149381491904,4.00596683804684e-16,31.41592653016306,31.41563796030767
160,5.012531328320803e-07,116.17573391848035,871.3691283064204,4.0938872232867565e-16,31.41592653016306,31.41563796045231
160,1.0025062656641605e-06,117.51590363152233,902.6904634236024,4.2697865346976755e-16,31.41592653016306,31.415637960596957
160,1.5037593984962408e-06,118.88923334948126,935.1134874708474,4.438067448072616e-16,31.41592653016306,31.415637960741602
160,2.005012531328321e-06,120.29626911177793,968.6753648954489,4.605084090624568e-16,31.415926530163052,31.415637960886244
160,2.5062656641604014e-06,121.73754003791578,1003.4188204669882,4.769938656189343e-16,31.415926530163052,31.415637961030885
160,3.0075187969924816e-06,123.21356531866837,1039.3868331074566,4.932941127660507e-16,31.41592653016305,31.41563796117554
160,3.508771929824562e-06,124.72485871895529,1076.6230726926776,5.093883015012251e-16,31.41592653016305,31.415637961320183
160,4.010025062656642e-06,126.27193174044122,1115.1721700630537,5.252686764051603e-16,31.415926530163045,31.415637961464824
160,4.511278195488723e-06,127.85529581852855,1155.0799050410435,5.409279264952859e-16,31.415926530163045,31.41563796160947
160,5.012531328320803e-06,129.47546383926644,1196.3933460388473,5.563637534751196e-16,31.415926530163045,31.415637961754115
160,5.5137844611528826e-06,131.1329511875669,1239.1609572880027,5.715765144638428e-16,31.415926530163038,31.415637961898753
160,6.015037593984963e-06,132.82827647615025,1283.4326847984653,5.865686555881761e-16,31.415926530163038,31.415637962043398
160,6.516290726817044e-06,134.56196205801783,1329.2600285221113,6.013437994107884e-16,31.415926530163038,31.415637962188043
160,7.017543859649124e-06,136.33453439205502,1376.6961056724956,6.159063121190751e-16,31.41592653016303,31.415637962332685
160,7.518796992481204e-06,138.14652430840366,1425.7957084603058,6.302611261203153e-16,31.41592653016303,31.415637962477334
160,8.020050125313284e-06,139.99846720461716,1476.6153583795717,6.444137442323781e-16,31.415926530163027,31.415637962621975
160,8.521303258145365e-06,141.89090319307618,1529.2133584318924,6.583705282412237e-16,31.41592653016303,31.41563796276662
160,9.022556390977446e-06,143.82437721308702,1583.6498441785054,6.721388199064432e-16,31.415926530163027,31.41563796291126
160,9.523809523809525e-06,145.79943911637048,1639.986834210442,6.857273067986976e-16,31.41592653016302,31.415637963055904
160,1.0025062656641605e-05,147.81664373150923,1698.2882803393522,6.991461030310864e-16,31.41592653016302,31.41563796320055
160,1.0526315789473686e-05,149.87655091083917,1758.6201177643816,7.124069113966879e-16,31.41592653016302,31.415637963345194
160,1.1027568922305765e-05,151.97972556188247,1821.0503152978072,7.255229673589346e-16,31.41592653016302,31.415637963489836
160,1.1528822055137846e-05,154.12673766450334,1885.6489256978355,7.385089608698143e-16,31.415926530163016,31.415637963634474
160,1.2030075187969927e-05,156.31816227435925,1952.488136104667,7.513806195171264e-16,31.415926530163013,31.415637963779123
160,1.2531328320802007e-05,158.5545795128197,2021.6423185428573,7.641549632487627e-16,31.415926530163013,31.41563796392376
160,1.3032581453634088e-05,160.83657454325876,2093.1880804294374,7.768485591132186e-16,31.415926530163013,31.415637964068406
160,1.3533834586466167e-05,163.16473753345497,2167.2043150074237,7.894867207303182e-16,31.415926530163013,31.415637964213044
160,1.4035087719298248e-05,165.53966360371777,2243.772251609857,8.02094459334334e-16,31.415926530163013,31.41563796435769
160,1.4536340852130328e-05,167.96195276028547,2322.975505644665,8.146785789617643e-16,31.415926530163002,31.41563796450233
160,1.5037593984962407e-05,170.4322098134933,2404.9001281802875,8.272527820305951e-16,31.415926530163002,31.415637964646972
160,1.553884711779449e-05,172.95104428017916,2489.6346550002318,8.398130434847342e-16,31.415926530163002,31.415637964791618
160,1.604010025062657e-05,175.5190702697775,2577.2701549838544,8.523627292570404e-16,31.415926530163,31.415637964936256
