step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.05,R_0.1,R_0.2,R_0.3,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.0002564925024122629,-0.00013053632664816023,0.33517186353747025,0.03351718635374702,0.011880653383719289,0.10899841000546424,0.024941268466113848,0.035660668770776005,0.051401032442506066,0.06536813768357444,0.09108837467658959,0.13795476266461917,0.165278150478161,0.2330569621376486,40000,64000,72000,2.7176617307677575,828.3851164246106,435.8236779506375,114.85896623183461,114.85896623183461,0.004175,0.7389060534469613,0,0,0.7389060534469613,0.7389060534469613,2336.626105778508,2336.626105778508,current_fourier,nan,nan,115.82477158554389,114.7607033004864,1053.1174062024807,12.5,0.76203125,118.82517795070565,114.77009326818832,1547.1716720582745,3.125,0.8129296875
5,1e-06,80000,10,31.41592653589793,31.41592653589793,0.0002536648978306862,-0.0001423026355407017,0.32895609942247034,0.03289560994224704,0.011537718101592459,0.10741377053987286,0.02422780757836414,0.034504944378098784,0.049929255278568445,0.0634812940065261,0.08894489449497636,0.1359948249342349,0.16347527872439488,0.23231699909616435,40000,64000,72000,2.703853026319679,891.2416644906515,435.5207134545626,117.34604908870703,117.34604908870703,0.00505,0.7442948943658219,0,0,0.7442948943658219,0.7442948943658219,2353.667117030422,2353.667117030422,current_fourier,nan,nan,118.33070958209471,117.2802469862633,1190.8242905705172,12.5,0.76171875,121.2194696449059,117.21470921341978,1535.9127897742574,3.125,0.813671875
10,2e-06,80000,10,31.41592653589793,31.41592653589793,0.0002492550172777256,-0.00015314119595019466,0.32285244306622596,0.03228524430662259,0.011198973498659245,0.10582520256847726,0.023438608516513765,0.03344124902271652,0.04830304450210349,0.06155190518368143,0.08683518149456868,0.13402507491960036,0.16167180171192064,0.23172990103393484,40000,64000,72000,2.689624420056081,964.7423159256625,439.1715084614562,119.99216286871396,119.99216286871396,0.0060625,0.7480617697396992,0,0,0.7480617697396992,0.7480617697396992,2365.579022873873,2365.579022873873,current_fourier,nan,nan,120.92672457855194,119.96575079103668,1259.3678976825295,12.5,0.763125,123.76303413641682,119.86548101583644,1612.5737954767542,3.125,0.8163671875
15,3e-06,80000,10,31.41592653589793,31.41592653589793,0.00025268756084065135,-0.00016692703774813598,0.3163392112681004,0.03163392112681004,0.010865197150543791,0.10423625641082757,0.022742559070965243,0.032311564728578754,0.04686031430215192,0.059749773452501445,0.08475092079141225,0.13209244880383247,0.15981990234398155,0.23069554053945743,40000,64000,72000,2.6791152589548903,1045.7479562625372,438.90569136826275,122.79423846542177,122.79423846542177,0.007375,0.7481941535527826,0,0,0.7481941535527826,0.7481941535527826,2365.997657248555,2365.997657248555,current_fourier,nan,nan,123.65015813356827,122.6849074615833,1326.6766360068834,12.5,0.76453125,126.53351855657523,122.79371995070645,1777.227236987455,3.125,0.817109375
20,4e-06,80000,10,31.41592653589793,31.41592653589793,0.0002514491230269802,-0.00018292314771972687,0.3100022724116963,0.03100022724116963,0.010538323480001886,0.10265633677470615,0.02202966069410448,0.03135018058656208,0.04538971071496668,0.05802468651365322,0.08261173776716912,0.13011192080976325,0.1579602967516416,0.2298355585225805,40000,64000,72000,2.66487523218724,1138.1301198091157,440.19150865346967,125.75883211461506,125.75883211461506,0.0091125,0.7477781571272006,0,0,0.7477781571272006,0.7477781571272006,2364.682161045227,2364.682161045227,current_fourier,nan,nan,126.60034959848443,125.65636347532704,1339.3759360071754,12.5,0.76578125,129.2813232668118,125.58837934651511,1927.1042094607044,3.125,0.8187109375
25,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.00025065711931466063,-0.00019418972799755833,0.30375501864004645,0.030375501864004645,0.01021762985933335,0.10108229251126703,0.021355292100502278,0.030340954837503504,0.0440159896391395,0.05624002935048417,0.0805126851292918,0.12803739220553603,0.15614982991663146,0.22903068214199765,40000,64000,72000,2.6505795851458953,1238.0641264927483,438.01179375524123,128.90889030530337,128.90889030530337,0.0109375,0.749155720194629,0,0,0.749155720194629,0.749155720194629,2369.0383979588287,2369.0383979588287,current_fourier,nan,nan,129.74317488792002,128.7673246509098,1473.7986990083004,12.5,0.76890625,132.5540642193591,128.8575842564929,1927.7020911357117,3.125,0.820234375
30,6e-06,80000,10,31.41592653589793,31.41592653589793,0.0002521825910583463,-0.00020004193250925848,0.29737150109954863,0.02973715010995486,0.009903034782975741,0.09951399290037427,0.020785516513361385,0.029412121684756293,0.04266572268763079,0.05447446690344811,0.07846222029006142,0.12586124888059763,0.1542655361315676,0.22816224769609572,40000,64000,72000,2.6385252117281834,1345.2088066678034,440.3115066129757,132.23527202042487,132.23527202042487,0.01305,0.7528842918410845,0,0,0.7528842918410845,0.7528842918410845,2380.8291767807523,2380.8291767807523,current_fourier,nan,nan,133.09978236919815,132.1917367209565,1576.4250943848208,12.5,0.768125,135.87045596598492,132.3473826938764,2086.3481463106955,3.125,0.822109375
35,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00024135509899978332,-0.00021560498071129653,0.29105120749824454,0.029105120749824454,0.009595690647149659,0.0979575961686977,0.020119171310298938,0.028497158084589802,0.04133843591763253,0.052831738441228765,0.07644208332813571,0.12384052171299188,0.1524168572669869,0.22745397154235825,40000,64000,72000,2.626413543692196,1460.227761412172,440.80838122115733,135.74255016629493,135.74255016629493,0.0157875,0.7550428543387547,0,0,0.7550428543387547,0.7550428543387547,2387.655150745212,2387.655150745212,current_fourier,nan,nan,136.60208733885167,135.65439151535355,1851.3912293272676,12.5,0.76921875,139.2429977270898,135.7949419501818,2525.479327505545,3.125,0.823515625
40,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0002395748269656717,-0.00021953420943792944,0.28455117280028325,0.028455117280028325,0.00929370832266757,0.09640388126350292,0.01946528862592258,0.02761133631908068,0.04013195635308416,0.05122700999265561,0.07434240900775452,0.1217627306088151,0.15051574087879063,0.22667739509615203,40000,64000,72000,2.6126200175577177,1593.911040514365,441.59650205479,139.49022545564551,139.49022545564551,0.018725,0.7624349146574886,0,0,0.7624349146574886,0.7624349146574886,2411.0308979537613,2411.0308979537613,current_fourier,nan,nan,140.39128546718422,139.56287556413537,1894.7657317538662,12.5,0.76828125,143.0016556483864,139.63259657419422,2623.7548210905657,3.125,0.8242578125
45,9e-06,80000,10,31.41592653589793,31.41592653589793,0.00022973648470046062,-0.00022657790470370949,0.2781477407365125,0.02781477407365125,0.008999112001118794,0.09486364952456128,0.01890868311545597,0.026838593764531144,0.038888569162315256,0.04962012260579288,0.07228215569587823,0.11971309851335583,0.14856884960039476,0.22549386061427668,40000,64000,72000,2.5986964878622056,1740.881888198469,441.6526702261681,143.4485583247652,143.4485583247652,0.02215,0.7697189566471765,0,0,0.7697189566471765,0.7697189566471765,2434.0650612134796,2434.0650612134796,current_fourier,nan,nan,144.34521147518996,143.56707224219832,2153.6371868938113,12.5,0.76984375,146.80914631020906,143.68828858946767,2356.3428679137523,3.125,0.8268359375
