series,q,fit_window,Tstar
FVM n=256,0.5,3e-05..2e-04,0.00015957149676228298
FVM n=256,0.5,6e-05..2e-04,0.00019075795866181167
FVM n=256,0.5,3e-05..1e-04,0.00012345493239680546
FVM n=256,0.8,3e-05..2e-04,0.0001573913170314692
FVM n=256,0.8,6e-05..2e-04,0.00018380472073339948
FVM n=256,0.8,3e-05..1e-04,0.00012249529264553378
FVM n=512,0.5,3e-05..2e-04,0.00015505211873485794
FVM n=512,0.5,6e-05..2e-04,0.00017456875158712365
FVM n=512,0.5,3e-05..1e-04,0.00012172503610729206
FVM n=512,0.8,3e-05..2e-04,0.00015446535035448878
FVM n=512,0.8,6e-05..2e-04,0.0001747516278079591
FVM n=512,0.8,3e-05..1e-04,0.00012081491127555614
particle base,0.5,3e-05..2e-04,0.00018370800792198337
particle base,0.5,6e-05..2e-04,0.00023540451031932178
particle base,0.5,3e-05..1e-04,0.00015063753933355068
particle base,0.8,3e-05..2e-04,0.00018538360749858655
particle base,0.8,6e-05..2e-04,0.0006096489214617244
particle base,0.8,3e-05..1e-04,0.00013472216097996532
particle refined,0.5,3e-05..2e-04,0.00019448014953525703
particle refined,0.5,6e-05..2e-04,nan
particle refined,0.5,3e-05..1e-04,0.00014267783418927933
particle refined,0.8,3e-05..2e-04,0.00019239833600132413
particle refined,0.8,6e-05..2e-04,0.00025516775263346444
particle refined,0.8,3e-05..1e-04,0.00014817443129551804
