N,t,S_L2,peak,umin,mass_u,mass_v
320,0.0,114.86813748577772,840.2294489451789,4.662094662272683e-16,31.415926530163063,31.41563796030767
320,6.688963210702341e-07,127.29595054264769,1792.809705334117,-2.842170943040401e-14,31.415926530163052,31.415637960500685
320,1.3377926421404683e-06,131.51167652797642,2033.5084630243407,-5.684341886080802e-14,31.41592653016305,31.4156379606937
320,2.0066889632107025e-06,135.90652471867438,2241.7322961531772,-1.1368683772161603e-13,31.415926530163038,31.415637960886723
320,2.6755852842809365e-06,140.74351141406152,2459.676220663907,-2.2737367544323206e-13,31.415926530163038,31.41563796107974
320,3.3444816053511705e-06,146.07453279645193,2733.794433277479,-2.2737367544323206e-13,31.41592653016303,31.41563796127275
320,4.013377926421405e-06,151.94047887824888,3032.6982889212954,-2.2737367544323206e-13,31.415926530163027,31.41563796146577
320,4.682274247491639e-06,158.38457259856125,3349.2590316222527,-2.2737367544323206e-13,31.41592653016302,31.41563796165879
320,5.351170568561873e-06,165.44711017756333,3748.2793582781624,-2.2737367544323206e-13,31.415926530163013,31.415637961851804
320,6.0200668896321075e-06,173.1702716288133,4172.811030650552,-2.2737367544323206e-13,31.415926530163013,31.415637962044823
320,6.688963210702341e-06,181.59440509496844,4645.5772992701895,-2.2737367544323206e-13,31.415926530163006,31.415637962237838
320,7.3578595317725755e-06,190.75741988521278,5160.066867955519,-2.2737367544323206e-13,31.415926530163,31.415637962430853
320,8.02675585284281e-06,200.69631279687655,5780.140203532847,-2.2737367544323206e-13,31.415926530162995,31.41563796262387
320,8.695652173913044e-06,211.4445402553322,6468.963843821261,-2.2737367544323206e-13,31.415926530162984,31.415637962816888
320,9.364548494983277e-06,223.02948249213313,7201.549636870202,-2.2737367544323206e-13,31.41592653016298,31.415637963009907
320,1.0033444816053512e-05,235.47917625499403,8011.45792564236,-2.2737367544323206e-13,31.415926530162974,31.415637963202922
320,1.0702341137123746e-05,248.81057818888095,8900.330646472325,-3.410605131648481e-13,31.415926530162974,31.415637963395934
320,1.137123745819398e-05,263.03799202801656,9924.661310887732,-3.410605131648481e-13,31.415926530162967,31.41563796358895
320,1.2040133779264215e-05,278.17377305314693,11073.732606156096,-2.2737367544323206e-13,31.415926530162956,31.41563796378196
320,1.2709030100334448e-05,294.20324351845227,12312.27777766996,-2.2737367544323206e-13,31.415926530162956,31.41563796397498
320,1.3377926421404682e-05,311.1346970660992,13643.749811068295,-2.8421709430404007e-13,31.41592653016295,31.415637964167995
320,1.4046822742474917e-05,328.93504291379134,15087.07996253315,-2.2737367544323206e-13,31.41592653016294,31.415637964361014
320,1.4715719063545151e-05,347.56985942070867,16689.921495397593,-4.547473508864641e-13,31.41592653016294,31.415637964554033
