step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,S_dg_raw_40,S_dg_cross_40,peak_dg_40,ppc_40,empty_40,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,20000,5,31.41592653589793,31.41592653589793,-0.0005054193101412343,-0.0009198675204040025,0.41269151931327464,0.08253830386265493,0.011757817547454618,0.1084334706050425,0.09017029716681083,0.13756383977109155,0.1643079127434145,0.23463151127116508,10000,16000,18000,1.0924660787415217,842.7137524197861,415.3768711137911,115.7824662847328,115.7824662847328,0.0006,1.0494379901598851,0,0,116.78353858033152,115.75981870896395,1093.4310486840761,12.5,0.7475,119.80289191614604,115.76575623856529,1541.016278781483,3.125,0.8153125,131.48121389853424,116.12665749951456,2804.1477196167607,0.78125,0.86625
1,1e-06,20000,5,31.41592653589793,31.41592653589793,-0.0005108335795065101,-0.0009207200875186528,0.40853360854768733,0.08170672170953747,0.011525511457687543,0.10735693483742698,0.0887414057465779,0.13617786951589578,0.16306631623767798,0.23366775304166887,10000,16000,18000,1.0860967603381313,870.2099133734334,415.20985947001617,117.34546237834297,117.34546237834297,0.0008,1.0584076337064843,0,0,118.38191111669474,117.38232091539822,1141.579802495948,12.5,0.749375,121.38073255406707,117.28581302219385,1672.9130266149546,3.125,0.81421875,132.586342078933,117.16831283152938,2442.1972302876075,0.78125,0.8681640625
2,2e-06,20000,5,31.41592653589793,31.41592653589793,-0.0004955997647750101,-0.0008968080589826015,0.404011450640966,0.0808022901281932,0.011294574220083446,0.10627593434114539,0.08751163928178286,0.13467048354698866,0.1615994535908125,0.2334448149303013,10000,16000,18000,1.0830341459746406,898.7513085393881,415.61354179479304,118.95242134160753,118.95242134160753,0.00085,1.0690868756704293,0,0,120.04895122248475,119.00661032774367,1171.0592000321471,12.5,0.750625,122.90155229951618,118.85678298650406,1473.5799277110348,3.125,0.81578125,133.98999039216434,118.79321399325276,2396.362554239953,0.78125,0.8690234375
3,3e-06,20000,5,31.41592653589793,31.41592653589793,-0.0004975299086352164,-0.0008821347982428189,0.3990701724336357,0.07981403448672714,0.011064096489304516,0.10518600899979291,0.0862056580132046,0.1330233908112119,0.16012328887007302,0.23243655261655913,10000,16000,18000,1.0800814489278872,929.1804178831882,415.7002669948276,120.62429511359446,120.62429511359446,0.001,1.0802599592207682,0,0,121.6722892937251,120.72123309248086,1270.3433746966978,12.5,0.755,124.37602503746027,120.52493436062224,1582.5156772256166,3.125,0.815,135.54313024897652,121.09915492612592,2507.547487917265,0.78125,0.8695703125
4,4e-06,20000,5,31.41592653589793,31.41592653589793,-0.0004979962024521976,-0.0008843886623021315,0.39444136187609413,0.07888827237521882,0.01083520384565698,0.10409228523602015,0.08488141890626712,0.13148045395869803,0.15890721137175037,0.23234727104146963,10000,16000,18000,1.0759700567727342,960.0618931446799,415.562654820759,122.3316513955619,122.3316513955619,0.0011,1.0902799737482936,0,0,123.38870789086128,122.49246485077154,1278.349773134271,12.5,0.7575,126.31532515041503,122.45979055773279,1570.8949427463199,3.125,0.8153125,136.9227103966337,122.37895054093944,2692.9417873489397,0.78125,0.8714453125
5,4.9999999999999996e-06,20000,5,31.41592653589793,31.414355739571135,-0.0005092788593301487,-0.0008783871712528353,0.3904431887628012,0.07808863775256024,0.010607774942417493,0.10299405294684491,0.08363509210574618,0.1301477295876004,0.15724286145960306,0.23071505161133665,10000,16000,18000,1.0710276746120353,991.8472177457609,415.4513915156297,124.08572809106715,124.08572809106715,0.0011000550027501375,1.098344479591901,0,1,125.18041398960592,124.29490530042894,1287.9803583517248,12.5,0.758125,127.6430247203359,123.62712536261633,1640.5002035555074,3.125,0.8171875,138.3638835087847,123.86904495636824,2494.638720088708,0.78125,0.8728515625
6,6e-06,20000,5,31.41592653589793,31.414355739571135,-0.0005176170211086751,-0.0008740177168741932,0.385863809425632,0.0771727618851264,0.010383094294699477,0.10189746952058955,0.08238623549077789,0.128621269808544,0.15599857708621356,0.230485862886796,10000,16000,18000,1.0675558769480336,1025.6609270192314,415.43983702390784,125.90840146917355,125.90840146917355,0.0012500625031251563,1.108174492805585,0,0,126.95705511980545,126.08298453924091,1300.167184440009,12.5,0.760625,129.36450900075027,125.31991814363712,1672.9186930729568,3.125,0.8196875,140.11915485084685,125.54799356781324,3144.75137394752,0.78125,0.874609375
7,7e-06,20000,5,31.41592653589793,31.414355739571135,-0.0005196289391352623,-0.0008826205780852933,0.38121198331337114,0.07624239666267422,0.01015906995888291,0.10079221179675993,0.08116624238993198,0.12707066110445706,0.154277410397332,0.22976034640301077,10000,16000,18000,1.0645814657301862,1061.2063903053138,415.08770663252994,127.80082887216771,127.80082887216771,0.0012500625031251563,1.118342056139914,0,0,128.84657314635007,128.0090070907781,1351.9991827279498,12.5,0.759375,131.41766190897107,127.69480579563677,1720.6692751231776,3.125,0.82125,141.8892660476379,127.91381941608118,3241.7216445396357,0.78125,0.8745703125
8,8e-06,20000,5,31.41592653589793,31.414355739571135,-0.000508781543105492,-0.00089355631899362,0.37715367441559305,0.0754307348831186,0.009935653621174613,0.0996777488769415,0.07987290582843057,0.12571789147186435,0.1529709986233084,0.22862010510114014,10000,16000,18000,1.058890728722121,1097.7356938096505,415.519704936004,129.75229417481358,129.75229417481358,0.0014500725036251812,1.1270806223189873,0,0,130.74991732895697,129.9011737489214,1417.7057397010365,12.5,0.76125,133.21855405068993,129.60405896684696,2061.6512495399425,3.125,0.82203125,143.3243803146238,129.8255335759189,2603.190306591967,0.78125,0.8761328125
9,9e-06,20000,5,31.41592653589793,31.41592653589793,-0.0005142033704550143,-0.0008769352719822697,0.3727193560875061,0.07454387121750122,0.009714296637221525,0.09856113147291647,0.07852349587554924,0.12423978536250203,0.1515102055928133,0.22789066476368905,10000,16000,18000,1.0533863427408596,1135.94837986886,414.9110139824698,131.76229149134957,131.76229149134957,0.0016,1.1367161730804627,1,0,132.71651508987838,131.8320330138402,1366.9721012565192,12.5,0.763125,135.23662600095204,131.68760968179222,1933.3327867449386,3.125,0.8246875,144.95263853736384,131.0344927752051,2670.378554936222,0.78125,0.87765625
