config,q,t,R_q
sens_K10_tau2e-7_q0.8_N6400000,0.8,0.000000e+00,1.383869e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.002861e-07,1.379875e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.005722e-07,1.375881e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.008584e-07,1.371887e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.011445e-07,1.367893e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.001431e-06,1.363899e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.201717e-06,1.359870e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.402003e-06,1.355841e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.602289e-06,1.351813e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.802575e-06,1.347784e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.002861e-06,1.343754e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.203147e-06,1.339688e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.403433e-06,1.335621e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.603720e-06,1.331554e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,2.804006e-06,1.327487e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,3.004292e-06,1.323420e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,3.204578e-06,1.319312e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,3.404864e-06,1.315205e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,3.605150e-06,1.311097e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,3.805436e-06,1.306989e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.005722e-06,1.302881e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.206009e-06,1.298762e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.406295e-06,1.294642e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.606581e-06,1.290523e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,4.806867e-06,1.286403e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,5.007153e-06,1.282283e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,5.207439e-06,1.278130e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,5.407725e-06,1.273977e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,5.608011e-06,1.269824e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,5.808298e-06,1.265671e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.008584e-06,1.261517e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.208870e-06,1.257322e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.409156e-06,1.253128e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.609442e-06,1.248933e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,6.809728e-06,1.244739e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,7.010014e-06,1.240544e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,7.210300e-06,1.236338e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,7.410587e-06,1.232132e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,7.610873e-06,1.227926e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,7.811159e-06,1.223720e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.011445e-06,1.219511e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.211731e-06,1.215270e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.412017e-06,1.211029e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.612303e-06,1.206788e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,8.812589e-06,1.202547e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,9.012876e-06,1.198306e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,9.213162e-06,1.194060e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,9.413448e-06,1.189813e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,9.613734e-06,1.185567e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,9.814020e-06,1.181321e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.001431e-05,1.177073e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.021459e-05,1.172799e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.041488e-05,1.168525e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.061516e-05,1.164250e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.081545e-05,1.159976e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.101574e-05,1.155700e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.121602e-05,1.151401e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.141631e-05,1.147102e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.161660e-05,1.142803e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.181688e-05,1.138503e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.201717e-05,1.134205e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.221745e-05,1.129912e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.241774e-05,1.125619e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.261803e-05,1.121326e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.281831e-05,1.117033e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.301860e-05,1.112738e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.321888e-05,1.108431e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.341917e-05,1.104123e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.361946e-05,1.099816e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.381974e-05,1.095509e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.402003e-05,1.091202e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.422031e-05,1.086897e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.442060e-05,1.082593e-01
sens_K10_tau2e-7_q0.8_N6400000,0.8,1.462089e-05,1.078288e-01
