step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,4.200639638672828,0,0,4.200639638672828,0.8100371481092331,11881.203095306262,2291.131041764202,two_level_blob_residual,0.004856155988724962,0.11218146259732187,116.10847073631665,115.03241135973379,1101.1730296354062,12.5,0.7571875,119.0738688117585,115.08299773174079,1589.626345188804,3.125,0.8112109375
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00024454467125211983,-0.0002001460991148881,0.4088087821661954,0.04088087821661954,0.011541906842251476,0.10743326692534057,0.033951658053382294,0.05052797581255391,0.08943631261237356,0.13626959405539846,0.16401734053391887,0.2358608600303982,40000,64000,72000,2.1877297287614166,906.8152707626168,426.0391938573659,117.69945118456701,117.69945118456701,0.0004875,4.129029696730716,0,0,4.129029696730716,0.8130288885798596,11678.659593115692,2299.5929616615226,two_level_blob_residual,0.004790727916010102,0.1106616417613298,148.69316402094424,147.8482289126037,4090.8542072243026,12.5,0.75671875,175.50509629107293,172.8828402847116,11148.351084359956,3.125,0.8161328125
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00029174743888268033,-0.00019256223905595699,0.4048721316052587,0.04048721316052587,0.011283207392598442,0.10622244297980743,0.033155328299516534,0.04937268019528776,0.08878586673002335,0.1349573772017529,0.16286574110794627,0.23518976574963446,40000,64000,72000,2.192935986431084,965.3438073460318,426.92630557786,119.75921414267557,119.75921414267557,0.0005625,4.037097482682338,0,0,4.037097482682338,0.8183251631766048,11418.636025263288,2314.573088391061,two_level_blob_residual,0.004744595292249125,0.10980156267888355,189.1539026547183,188.4997556996045,6526.862168481108,12.5,0.759375,255.61365821536742,253.69883947456927,20347.269017371247,3.125,0.8271875
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.0003811985853735603,-0.0002083698382894325,0.40096195497867826,0.040096195497867824,0.011077193755115835,0.1052482482282524,0.03282498735626713,0.04814051419973902,0.08819598723629014,0.13365398499289274,0.16185015575613534,0.23448012389459072,40000,64000,72000,2.199609866751076,1011.1749328972329,426.97003205787195,121.4845808880178,121.4845808880178,0.0006624917188535143,4.093776282379063,1,0,4.093776282379063,0.8166400971961758,11578.94787972356,2309.807002065029,two_level_blob_residual,0.004698772909906386,0.10896947951066564,222.50315786070752,221.92661750510126,9503.2444881265,12.5,0.76359375,324.7159779127216,323.1876158632432,36523.87897612795,3.125,0.8410546875
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.0003329029866898546,-0.00019515323189737928,0.39750330422461394,0.03975033042246139,0.010908987556473352,0.10444609880925831,0.03272460223325851,0.0469781658629348,0.08751751828365123,0.13250110140820465,0.16068319491127003,0.23387963455012534,40000,64000,72000,2.201680271673878,1068.043364349326,427.68268806920315,123.02044513679759,123.02044513679759,0.0007124910938613267,4.019973109220799,0,0,4.019973109220799,0.8155141520928673,11370.200982870387,2306.622348393856,two_level_blob_residual,0.004658241846382195,0.10863782475777094,246.95557440108547,246.38758555458404,10993.9033778417,12.5,0.76734375,379.02638203533036,377.64499700162827,38781.40256799782,3.125,0.8523046875
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.0003012543082247119,-0.0001837923523078004,0.39429011082868204,0.039429011082868205,0.010768239933907447,0.10377013025869943,0.032269626783292704,0.04657213427227271,0.08670026244999536,0.131430036942894,0.15959835505118428,0.23335010003792958,40000,64000,72000,2.1988951807027792,1121.9724081374227,427.74044411945385,124.33911216213932,124.33911216213932,0.0007499906251171861,4.2892899879193,0,0,4.2892899879193,0.8159895020474127,12131.944147733208,2307.966841099039,two_level_blob_residual,0.004620587236273618,0.1079297427738767,262.2428710045066,261.7192904657725,12906.69265590762,12.5,0.773125,406.49397948438803,405.31049955499725,36489.87667736334,3.125,0.8637109375
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00030964822848454404,-0.00022744474947197416,0.3903297204410967,0.03903297204410967,0.010646982486309173,0.103184216265421,0.032611572502235356,0.04613560154737619,0.08585070252495244,0.1301099068136989,0.1588078224354792,0.23256113354482372,40000,64000,72000,2.199440576237337,1159.33548421742,427.8741412082835,125.63274134270974,125.63274134270974,0.0008874889063886701,4.291966110238253,0,0,4.291966110238253,0.8177116813642983,12139.51336468927,2312.837899792595,two_level_blob_residual,0.004574176411419102,0.107412476545868,280.07451785482004,279.62933415538566,15378.615158008815,12.5,0.77890625,437.97382839233217,436.8495003186628,45354.90393597327,3.125,0.8725390625
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.00035120055221430605,-0.00032219444557133746,0.3863979265785328,0.03863979265785328,0.010534880628220257,0.10263956658238702,0.03248685780430109,0.04629974418176983,0.08548033317661888,0.12879930885951094,0.15804445123411914,0.2325869612353517,40000,64000,72000,2.2122358143463168,1191.7870336185856,428.8763031080928,126.8618820651953,126.8618820651953,0.0009874876564042949,4.497487264893328,0,0,4.497487264893328,0.8202652705407922,12720.814973224844,2320.0605406848485,two_level_blob_residual,0.0045281007020921814,0.10727800120405173,291.72960503933535,291.2963955984857,17185.878113241823,12.5,0.78140625,459.6022923746624,458.5663962483174,45496.53080192213,3.125,0.8775390625
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00038651534920482606,-0.00027058326157648846,0.3843909603645389,0.03843909603645389,0.010437336801486296,0.10216328499752882,0.031014706531696003,0.04659994029057559,0.08547006371058496,0.12813032012151296,0.15704482806368203,0.23210489665942563,40000,64000,72000,2.223519086648891,1251.4490753193475,427.6654198918008,128.01084489794022,128.01084489794022,0.0010374870314121074,4.096855161803677,0,0,4.096855161803677,0.8221347583889964,11587.656265801961,2325.348250824093,two_level_blob_residual,0.004504581566771941,0.10710524702898756,298.3654098826155,297.9225588440707,16496.888507816722,12.5,0.7865625,476.76709169838824,475.64212795430564,52332.39812378236,3.125,0.884609375
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.00027912810825316063,-0.0002235406882083773,0.3825186990430386,0.03825186990430386,0.010340321181698997,0.10168736982388224,0.03091244204282633,0.046662783761625866,0.08573131326105043,0.1275062330143462,0.15587268360183265,0.23148662946992696,40000,64000,72000,2.2412319574318245,1278.3726573735732,428.01124028479444,129.2613844360921,129.2613844360921,0.001124985937675779,4.088063246867927,0,0,4.088063246867927,0.8228401333407525,11562.788975119227,2327.343352470756,two_level_blob_residual,0.004482641004410608,0.10766366774105467,318.60562754325707,318.2101100602747,19050.38455039957,12.5,0.7928125,505.30471100491314,504.3559671843484,58658.769089577894,3.125,0.8896875
