step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.0002564925024122629,-0.00013053632664816023,0.41386428799385755,0.041386428799385755,0.011880653383719289,0.10899841000546424,0.035660668770776005,0.051401032442506066,0.09108837467658959,0.13795476266461917,0.165278150478161,0.2330569621376486,40000,64000,72000,2.2009237646023108,832.3523471863231,428.9443519336394,114.84550680511656,114.84550680511656,0.0003,0.9618312220515415,0,0,0.9618312220515415,0.764245958935092,2720.469517878356,2161.614000229677,two_level_blob_residual,0.016554571519754303,0.07873715041375182,115.82477158554389,114.7607033004864,1053.1174062024807,12.5,0.76203125,118.82517795070565,114.77009326818832,1547.1716720582745,3.125,0.8129296875
4,1e-06,80000,10,31.41592653589793,31.41592653589793,0.0002533519996562911,-0.0001404428243960083,0.40780148647090164,0.04078014864709016,0.011517447945727557,0.10731937358057751,0.03444149465365074,0.04974210298375784,0.08874932548214784,0.1359338288236339,0.16346439938099278,0.23238570120403762,40000,64000,72000,2.1762874444176528,902.3416472395404,428.37990629913713,117.52707941907761,117.52707941907761,0.00035,0.9712597525689891,0,0,0.9712597525689891,0.7672147741852852,2747.137429340402,2170.0110778116837,two_level_blob_residual,0.016312059458836067,0.0765070947826006,118.61569839722155,117.6111973152909,1213.5162269551581,12.5,0.7628125,121.58399811450948,117.60199314547665,1866.423389513668,3.125,0.813671875
8,2e-06,80000,10,31.41592653589793,31.41592653589793,0.0002466955522742247,-0.00015540759415402604,0.4015769203748915,0.04015769203748915,0.011162521701810198,0.10565283574902379,0.03332335324598192,0.04806764282155379,0.08659490105905167,0.13385897345829717,0.16153892600393832,0.23164281013132887,40000,64000,72000,2.1563714612436176,980.4059746767044,429.63763336485135,120.38829536508507,120.38829536508507,0.0004875,0.9826900383218917,0,0,0.9826900383218917,0.7710064968989624,2779.467159607512,2180.7356891845648,two_level_blob_residual,0.01606307681499566,0.07435444071470144,121.58528772763755,120.65030879769166,1230.192015197034,12.5,0.76328125,124.43953527213966,120.75168552656815,1759.3712471831823,3.125,0.816171875
12,3e-06,80000,10,31.41592653589793,31.41592653589793,0.0002447461082112521,-0.00016399520464137148,0.39545672341178306,0.039545672341178305,0.010813043890525429,0.1039857869640146,0.03218672364033746,0.046433464729655816,0.08432539484721946,0.1318189078039277,0.15957657136935977,0.23099637208667215,40000,64000,72000,2.1323545625854163,1066.622427200644,429.36753457712933,123.44963096259114,123.44963096259114,0.0006125,0.9868255062633897,0,0,0.9868255062633897,0.7782641876474072,2791.164029306763,2201.2635385604854,two_level_blob_residual,0.015818268936471324,0.07221602075592683,124.90549532417839,123.94206101150372,1409.2787741942702,12.5,0.76515625,127.68451927007843,124.03139449320221,1860.7538127677174,3.125,0.8175
16,4e-06,80000,10,31.41592653589793,31.41592653589793,0.000252035005445829,-0.0001776567090648503,0.3894598597368567,0.03894598597368567,0.01047167192323747,0.1023311874417446,0.031155657541758856,0.044929905027869026,0.08211525077755,0.1298199532456189,0.15762136885820477,0.2300875362171587,40000,64000,72000,2.108439386616946,1155.626510781372,429.621325821663,126.69374926820781,126.69374926820781,0.000775,0.9946482561384179,0,0,0.9946482561384179,0.7809494065638193,2813.2901072433974,2208.8584845795467,two_level_blob_residual,0.01557839438947427,0.07018590640886674,128.47195842764344,127.46322473496636,1659.5055801631147,12.5,0.765625,131.22159910758862,127.52994683999266,2079.8736575185476,3.125,0.81890625
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,0.0002496600557405904,-0.00018962719814640642,0.38309405625908044,0.038309405625908045,0.01013789306486222,0.10068710475955807,0.030111987918676194,0.04348779101079149,0.07981273092683226,0.1276980187530268,0.15568688843105435,0.2290618995828236,40000,64000,72000,2.0833716843901167,1253.9058582361738,429.17317143451197,130.15233691551413,130.15233691551413,0.0009125,1.010467186965691,0,0,1.010467186965691,0.7835975655597416,2858.03280027974,2216.348609314254,two_level_blob_residual,0.015323762250363217,0.06810337845459254,132.5061137297647,131.58878557610612,1974.4975456481247,12.5,0.76640625,135.08358144173087,131.54248415389586,2435.714764150749,3.125,0.82015625
24,6e-06,80000,10,31.41592653589793,31.41592653589793,0.0002481963983627259,-0.0002030623956737868,0.3766796108046311,0.03766796108046311,0.009812655701471875,0.09905884968780869,0.029111531490337152,0.04207744922941325,0.07753084487971408,0.12555987026821036,0.15375302306879066,0.22852379638484654,40000,64000,72000,2.0582702821132064,1368.3648685834532,428.26449645009137,133.81656751154816,133.81656751154816,0.0010375,1.0175363268092568,0,0,1.0175363268092568,0.7877462228369905,2878.0273471619057,2228.0827840885004,two_level_blob_residual,0.015067184432185243,0.0659493182870718,136.84859443557053,135.94837714572674,2304.492978379658,12.5,0.76875,139.49709360320438,136.01786707621966,2716.7202495480765,3.125,0.8217578125
28,7e-06,80000,10,31.41592653589793,31.41592653589793,0.00024527971388540017,-0.00020716932526147476,0.37007731340623085,0.03700773134062309,0.009495365423585657,0.097444165672377,0.028316543796758988,0.040725993367128704,0.07534758047997081,0.12335910446874361,0.15182020948460326,0.2278381297069868,40000,64000,72000,2.0359956622702344,1491.7075668239947,427.70574932244324,137.70415245872644,137.70415245872644,0.0013125,1.0413106726061823,0,0,1.0413106726061823,0.7908884698110487,2945.271351687026,2236.9704006625784,two_level_blob_residual,0.014803092536249235,0.06385234994939394,141.66378665214526,140.75873218568753,2624.536639303732,12.5,0.769375,144.28957600597042,140.94917566185984,3134.8238758850684,3.125,0.8240234375
32,8e-06,80000,10,31.41592653589793,31.41592653589793,0.0002424556548836188,-0.00022534917837147895,0.36352973978716263,0.036352973978716265,0.00918684936794695,0.09584805354281822,0.027537469199927184,0.03943829948249354,0.07321795800167148,0.12117657992905422,0.14994882503818818,0.22693734123514925,40000,64000,72000,2.0140844059839154,1617.3865947586437,427.28623330132984,141.76444690665556,141.76444690665556,0.00155,1.0595498186007872,0,0,1.0595498186007872,0.7935458532536385,2996.859446950372,2244.486616072451,two_level_blob_residual,0.014541189591486505,0.06184674368207281,146.8259866376222,145.9869403954081,3063.8077568372546,12.5,0.77015625,149.31248782052006,146.0790699010343,3775.1420027325444,3.125,0.82546875
36,9e-06,80000,10,31.41592653589793,31.41592653589793,0.00023980908050770316,-0.0002279046814307341,0.3570979964552341,0.03570979964552341,0.008888104236589983,0.09427674281915971,0.0267743261911911,0.03815158696925226,0.07113537221997834,0.11903266548507804,0.14785504118404155,0.22628950796929118,40000,64000,72000,1.992040642235748,1754.214660006433,428.77568535483897,146.0633808680968,146.0633808680968,0.0019875,1.0691669531481236,0,0,1.0691669531481236,0.7997893951770191,3024.060811166392,2262.1460194030306,two_level_blob_residual,0.014283919858209364,0.06005217373281783,152.48831256129628,151.69126100187532,3823.9888526763325,12.5,0.76953125,154.93622279306487,151.74444827947198,4066.5340934511737,3.125,0.826328125
40,9.999999999999999e-06,80000,10,31.41592653589793,31.41592653589793,0.0002379375560509454,-0.00023177084483954263,0.3507408345680358,0.03507408345680358,0.008595461856128035,0.09271171369426862,0.0260457635855461,0.03699197215999511,0.06890139743496249,0.1169136115226786,0.1459835626956798,0.2253310908025196,40000,64000,72000,1.9644532556301815,1901.5897339757357,431.9745253532081,150.62905779831516,150.62905779831516,0.0024375,1.0815292607042015,0,0,1.0815292607042015,0.8049569650864457,3059.026697182457,2276.762114303875,two_level_blob_residual,0.014029633382721432,0.05815221492047881,158.59850746765474,157.842972211339,4333.92923736008,12.5,0.76875,160.9859703023753,157.9416445649343,3961.39028435408,3.125,0.8290234375
44,1.1e-05,80000,10,31.41592653589793,31.41592653589793,0.00022613980175502328,-0.00023903072851497252,0.3445369931496428,0.03445369931496428,0.008311847560832643,0.09116933454200839,0.02544310525417282,0.03585348207115324,0.06681968639641636,0.11484566438321427,0.14402587398122582,0.2243774122485007,40000,64000,72000,1.9394052808545454,2063.472808115151,433.19090826049796,155.44151881779314,155.44151881779314,0.0029625,1.0863081005606787,0,0,1.0863081005606787,0.8126290942849591,3072.5432974573355,2298.4621726335076,two_level_blob_residual,0.013781479725985714,0.056324111529845754,165.2681708755205,164.57752700217262,4679.295702598904,12.5,0.771875,167.73751951569287,164.93134520646944,5120.557553391329,3.125,0.830703125
48,1.2e-05,80000,10,31.41592653589793,31.41592653589793,0.000224964533235618,-0.00025080615037841524,0.33794317617301634,0.03379431761730163,0.00803714739571089,0.08965013884936761,0.024727909941149203,0.03483474052876141,0.06488813877619812,0.11264772539100544,0.14191199589640435,0.22348283232504182,40000,64000,72000,1.9200902208179942,2239.596196168962,436.10766650353645,160.50615451451444,160.50615451451444,0.003825,1.0810328693020086,0,0,1.0810328693020086,0.8211754657318737,3057.622690276004,2322.6349614521173,two_level_blob_residual,0.013517727046920655,0.054593670701598755,172.52137697981095,171.85394860733453,5486.311583258357,12.5,0.7734375,174.99117833022336,172.34942039216233,5659.531375615769,3.125,0.8315625
52,1.3e-05,80000,10,31.41592653589793,31.41592653589793,0.00021795392382872959,-0.00026404372076127797,0.33163449274488854,0.03316344927448885,0.00777231944344303,0.08816075909066931,0.024076276457151775,0.03376247344508911,0.0629308431080276,0.11054483091496285,0.13988458682852442,0.222605918335686,40000,64000,72000,1.897596434772467,2432.819442196377,436.8416632100657,165.90835674760996,165.90835674760996,0.00475,1.071648136975989,0,0,1.071648136975989,0.8248365940270356,3031.078658806608,2332.9901960293287,two_level_blob_residual,0.013265379709795543,0.0528512281768819,180.0530408890571,179.44105950947005,6513.969455400435,12.5,0.77453125,182.6578433819447,180.14676200024905,6151.837877844779,3.125,0.8333203125
56,1.4e-05,80000,10,31.41592653589793,31.41592653589793,0.00021424580591733965,-0.00027921205846288485,0.3250161423493304,0.03250161423493304,0.007513607733978865,0.08668106906342853,0.023478020682493557,0.032778933660049706,0.06105485253032636,0.10833871411644347,0.13782534217787973,0.22132735929602526,40000,64000,72000,1.878517543436474,2642.4245198744884,438.0539863951603,171.64367388886367,171.64367388886367,0.0058625,1.0783621378129085,0,0,1.0783621378129085,0.823847822488634,3050.0687208893196,2330.193527789937,two_level_blob_residual,0.013000645693973217,0.05117189728260154,188.5818566326391,187.94877610592056,7673.56300874476,12.5,0.77390625,191.2913960852614,188.75026616157172,6880.634602285493,3.125,0.834453125
60,1.4999999999999999e-05,80000,10,31.41592653589793,31.41631923497963,0.00022330775537385785,-0.0002867087233710345,0.3184632696045626,0.031846326960456264,0.007264085779014585,0.08522960623524307,0.022950946986978547,0.03187178889097501,0.059247265403125526,0.10615442320152088,0.13586297624082874,0.22055983574971236,40000,64000,72000,1.8604112642783934,2866.7852897874704,439.1784723334827,177.6730585950676,177.6730585950676,0.006987412657341784,1.1019244129474508,0,0,1.1019244129474508,0.8278578916137682,3116.7128990005917,2341.5357160755734,two_level_blob_residual,0.012738530784182505,0.04950289680023245,197.53011532606473,196.91720668157592,8630.585621910066,12.5,0.775,200.3885343638689,197.96190434521392,7837.14951335903,3.125,0.8364453125
64,1.6e-05,80000,10,31.41592653589793,31.41631923497963,0.00022847152457433186,-0.00029555199116879235,0.31248734855973737,0.031248734855973737,0.007021972451705776,0.08379721028593837,0.022460814591939764,0.031095121915866775,0.05736361788816496,0.10416244951991246,0.13381202569590203,0.21941019963773417,40000,64000,72000,1.835710090426234,3099.627336270653,440.19565131760686,183.93916263696437,183.93916263696437,0.008312396095048812,1.128100267786325,0,0,1.128100267786325,0.8340069524023146,3190.7493968402823,2358.9278864016114,two_level_blob_residual,0.012499493942389497,0.0480141664820819,207.35910824236166,206.76893193207263,9839.1413575506,12.5,0.776875,210.29718253272202,208.0004372738309,8667.597148554127,3.125,0.839140625
68,1.7e-05,80000,10,31.41592653589793,31.41631923497963,0.00022115468955579508,-0.0002978016888585826,0.30602978903201766,0.030602978903201766,0.0067879860910024835,0.08238923528594305,0.02186697327330031,0.030311908183269693,0.055579047785352026,0.10200992967733923,0.1318681744587975,0.21853898145414621,40000,64000,72000,1.816131951113334,3346.457804997979,439.50415911968037,190.49374230129132,190.49374230129132,0.01027487156410545,1.1395707005613975,0,0,1.1395707005613975,0.8442620899606833,3223.192680033875,2387.933795639705,two_level_blob_residual,0.012241191561280706,0.04652165830232091,217.69532918097036,217.1305298024068,11361.568315658136,12.5,0.778125,221.0041288294137,218.89933410452258,10573.281421652357,3.125,0.8411328125
