step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.0002461144053557066,-0.00020763951576820277,0.41439197770453007,0.041439197770453004,0.011882306574904297,0.10900599329809484,0.035320200467519616,0.05142628341089237,0.09056928324290048,0.13813065923484336,0.1654953371152117,0.23669132961152062,40000,64000,72000,2.185594512340638,847.690488474699,426.35308400583705,115.17945949561457,115.17945949561457,0.0004125,0.8100371481092331,0,0,0.8100371481092331,0.8100371481092331,2291.131041764202,2291.131041764202,current_fourier,nan,nan,116.10847073631665,115.03241135973379,1101.1730296354062,12.5,0.7571875,119.0738688117585,115.08299773174079,1589.626345188804,3.125,0.8112109375
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00023890180272426452,-0.00020405033645391437,0.4082158323328495,0.040821583233284955,0.011547494277358463,0.10745926799191619,0.03428349133381326,0.04997058238726674,0.08858183918999285,0.13607194411094983,0.16372269023890382,0.23622978244065207,40000,64000,72000,2.1699755907008846,905.0560080016497,426.06247048551563,117.58841763344117,117.58841763344117,0.0004875,0.8134411457842508,0,0,0.8134411457842508,0.8134411457842508,2300.759001120795,2300.759001120795,current_fourier,nan,nan,118.49874802016332,117.4783546865621,1088.430300648117,12.5,0.7571875,121.37517799714664,117.47490369990845,1563.916012197055,3.125,0.813125
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.00024220280603525312,-0.00019393010104357778,0.40211304647230206,0.0402113046472302,0.01121757189568325,0.1059130393090636,0.033289930086148486,0.04854614230705914,0.08659655160243115,0.13403768215743403,0.16197996764989742,0.23507539277422412,40000,64000,72000,2.1535374781329315,964.6864002866319,427.0370850738362,120.11356990524672,120.11356990524672,0.000625,0.8204281929146129,0,0,0.8204281929146129,0.8204281929146129,2320.5213547461913,2320.5213547461913,current_fourier,nan,nan,121.03919424080361,120.02826275301797,1186.6922109748223,12.5,0.75796875,123.92093141039194,119.9899682369697,1641.7492268770982,3.125,0.8138671875
12,3e-06,80000,10,31.41592653589793,31.41631923497963,-0.00023868964406156996,-0.00018165039955416116,0.3959550710325731,0.03959550710325731,0.01089387511065981,0.10437372806726705,0.03230051674141178,0.04717010467151245,0.0845614215946808,0.13198502367752438,0.16021237169496658,0.23430087632366703,40000,64000,72000,2.135631736554383,1026.836783337553,427.20143581749574,122.7578815364804,122.7578815364804,0.000737490781365233,0.8203270765946346,1,0,0.8203270765946346,0.8203270765946346,2320.23535460401,2320.23535460401,current_fourier,nan,nan,123.6124200219746,122.57703338971739,1327.3255527449624,12.5,0.760625,126.4544949419364,122.59351269137724,1705.6848978565654,3.125,0.8154296875
16,4e-06,80000,10,31.41592653589793,31.41631923497963,-0.00022732207198765747,-0.0001680510619730872,0.38998017116450456,0.038998017116450456,0.010577338353308681,0.1028461878404284,0.03137014042695212,0.045738949176532845,0.08261036705182856,0.12999339038816818,0.15834762625944726,0.2336474334789514,40000,64000,72000,2.1183222420039707,1093.468335507365,428.04540967472445,125.53447051091875,125.53447051091875,0.0008874889063886701,0.820846536031315,0,0,0.820846536031315,0.820846536031315,2321.704607764922,2321.704607764922,current_fourier,nan,nan,126.39200418310747,125.38564003342269,1390.3945046631402,12.5,0.76,129.1546119119423,125.51229261301712,1765.407064675524,3.125,0.8173828125
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021703475151059717,-0.0001572216413949471,0.3836569555232585,0.03836569555232585,0.010264251052992826,0.101312640144223,0.030398553347027513,0.0444422238746744,0.08060970217200313,0.12788565184108616,0.15663701280843934,0.2327916704942014,40000,64000,72000,2.1010879904956217,1165.7531281602792,428.09756491792024,128.45845582212792,128.45845582212792,0.0010624867189160136,0.823132949875228,0,0,0.823132949875228,0.823132949875228,2328.171562699441,2328.171562699441,current_fourier,nan,nan,129.32978018454006,128.36581265293523,1513.7104624336189,12.5,0.76015625,131.99372428165515,128.34879725307917,1752.3454099378496,3.125,0.8180859375
24,6e-06,80000,10,31.41592653589793,31.41631923497963,-0.00021268809292726562,-0.0001435545822066434,0.37778261589237294,0.03777826158923729,0.009957095423767643,0.09978524652356,0.02948866175704559,0.04316386776901217,0.07860841302667301,0.12592753863079098,0.15471091374666332,0.23157300351869056,40000,64000,72000,2.080784284925061,1243.8530047541203,428.3125624778441,131.51547617223653,131.51547617223653,0.0012624842189472632,0.825993723234944,0,0,0.825993723234944,0.825993723234944,2336.263051667813,2336.263051667813,current_fourier,nan,nan,132.39781466303046,131.41991155339136,1753.3274792988059,12.5,0.7621875,135.07643793825534,131.39919033682364,2025.7919938994828,3.125,0.8199609375
28,7e-06,80000,10,31.41592653589793,31.41631923497963,-0.0002073470143362175,-0.00013023843890174773,0.3714192496289175,0.037141924962891745,0.009656565738134556,0.09826782656665688,0.02852132185246722,0.041830822049500026,0.07672925771210054,0.12380641654297249,0.1527564150390232,0.2308435256161924,40000,64000,72000,2.065839554324668,1328.1535172561755,429.46320295868,134.73209536385852,134.73209536385852,0.001474981562730466,0.8295288042662173,0,0,0.8295288042662173,0.8295288042662173,2346.261770744842,2346.261770744842,current_fourier,nan,nan,135.57771156692567,134.61854471495897,1659.1829666579329,12.5,0.76359375,138.11915899964637,134.50638524852744,2034.8377387782978,3.125,0.8220703125
32,8e-06,80000,10,31.41592653589793,31.41631923497963,-0.00019168145745591746,-0.00011418454283530362,0.36488967513523557,0.036488967513523554,0.009362722977672705,0.0967611646151115,0.027713945591419032,0.04059844535798822,0.07484486969839282,0.1216298917117452,0.15087789103981827,0.23001346388731075,40000,64000,72000,2.0511643600398886,1413.2907453286434,428.50081186442014,138.06898411394613,138.06898411394613,0.0018999762502968714,0.8342547928948377,0,0,0.8342547928948377,0.8342547928948377,2359.6288851732743,2359.6288851732743,current_fourier,nan,nan,138.8904355266129,137.97665690670541,1716.8579032239072,12.5,0.7653125,141.38844338745506,137.86116765622617,2280.5374924083376,3.125,0.823125
36,9e-06,80000,10,31.41592653589793,31.41631923497963,-0.0001736151884814408,-9.357806474540833e-05,0.35833567423666446,0.035833567423666446,0.009072053045319365,0.0952473256596707,0.026731202689578425,0.03937025676094675,0.07291152017403943,0.11944522474555483,0.14904206003054374,0.2292317251799561,40000,64000,72000,2.034726805511546,1514.7278270290722,429.1311658177195,141.6284162203443,141.6284162203443,0.0024374695316308546,0.8372444917300687,0,0,0.8372444917300687,0.8372444917300687,2368.0850304536634,2368.0850304536634,current_fourier,nan,nan,142.45678492319757,141.56631141154332,1750.5837676002511,12.5,0.765625,144.9536009251963,141.5344973309947,2518.3902028581665,3.125,0.825
