step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.41597041424542475,0.04159704142454247,0.011948212486302031,0.10930787934225981,0.03573119634795941,0.05161643994135021,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,2.185240996657827,823.1287083812697,431.96927910397284,114.7851760753669,114.7851760753669,0.000225,0.8132291581706479,0,0,0.8132291581706479,0.7770262968457324,2300.1594096043705,2197.7622546395546,two_level_spectral_residual,nan,nan,115.83451040416209,114.77659789180457,1064.6238564388163,12.5,0.75984375,118.80846685406895,114.69754247919225,1766.0601237299197,3.125,0.8113671875
4,1e-06,80000,10,31.41592653589793,31.415533836816234,0.0001551815446929207,-0.0001573578517813727,0.40988227458509874,0.04098822745850987,0.011605409906247201,0.10772840807441277,0.03465087292505992,0.05001399421571985,0.08885130635096261,0.13662742486169957,0.1642558168279649,0.2344709474237147,40000,64000,72000,2.1677274637187445,890.567917661042,432.55304470354946,117.27485312002747,117.27485312002747,0.0002750034375429693,0.8172648828481357,0,1,0.8172648828481357,0.779386304029801,2311.5741627501843,2204.43736297357,two_level_spectral_residual,nan,nan,118.28102361919734,117.27900647062626,1146.4480586596824,12.5,0.76,121.31368665619217,117.306960329904,1650.360279968807,3.125,0.8119140625
8,2e-06,80000,10,31.41592653589793,31.415533836816234,0.0001610286902419554,-0.00014052657043684715,0.4040008311683079,0.040400083116830784,0.011267527436795523,0.10614861015008874,0.03347603667649925,0.04833120142676887,0.08681379386255626,0.1346669437227693,0.16261847103720478,0.23391708186305168,40000,64000,72000,2.1488518627920694,969.0504350109243,432.699864921511,119.93362025425459,119.93362025425459,0.0004000050000625008,0.8285712095357376,0,0,0.8285712095357376,0.778856869421825,2343.5532838346394,2202.939895767591,two_level_spectral_residual,nan,nan,120.90074506194624,119.96986230686493,1293.1377739141913,12.5,0.76203125,123.83759324575374,119.95991236053212,1673.228340919073,3.125,0.8148828125
12,3e-06,80000,10,31.41592653589793,31.415533836816234,0.0001738854156735632,-0.00013787548404433036,0.3979958569125006,0.03979958569125006,0.01093732977286548,0.10458168947222779,0.0322334369161524,0.0467876431356955,0.08478678759437058,0.1326652856375002,0.16083729051287224,0.2330263942195995,40000,64000,72000,2.1303434727213997,1051.5247360583328,433.3134577698074,122.72795823257711,122.72795823257711,0.00043750546881836025,0.8335020140884734,0,0,0.8335020140884734,0.7786881024337085,2357.499705178419,2202.462550640641,two_level_spectral_residual,nan,nan,123.66331290674209,122.73323280048295,1291.156333787175,12.5,0.76171875,126.44011816274701,122.70673367814658,1816.9906644863524,3.125,0.8158984375
16,4e-06,80000,10,31.41592653589793,31.415533836816234,0.00018343826566629486,-0.00011986501115225999,0.39205014857854503,0.039205014857854506,0.010613604048349237,0.10302234732498206,0.03122341731183191,0.0453346259849034,0.08278993061297027,0.130683382859515,0.15895871932499153,0.23226011219388057,40000,64000,72000,2.111717873673596,1142.0132640733605,433.0450552044334,125.6897976416966,125.6897976416966,0.0005500068750859386,0.8320164155144991,0,0,0.8320164155144991,0.7824259435216717,2353.297797875306,2213.0347617618268,two_level_spectral_residual,nan,nan,126.68736553308428,125.77184637644568,1405.519584482006,12.5,0.7628125,129.41927039025626,125.76757734476644,2000.1999412617215,3.125,0.817734375
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.415533836816234,0.00019712406905311825,-0.00010741930628272074,0.3859049975365977,0.03859049975365977,0.01029312113986185,0.10145502027924419,0.030119296619746185,0.043886762641187876,0.08071904159747395,0.1286349991788659,0.15727202969427084,0.23137417384162745,40000,64000,72000,2.0916816862372682,1238.5783814631423,433.584036514439,128.83435384937803,128.83435384937803,0.0007125089063613296,0.8373700269323658,0,0,0.8373700269323658,0.7833864538758536,2368.4400976249517,2215.7514953011946,two_level_spectral_residual,nan,nan,129.82809684544063,128.9285949203693,1565.3857821104757,12.5,0.76453125,132.58128250716325,128.95350342046365,2002.110303070582,3.125,0.8197265625
24,6e-06,80000,10,31.41592653589793,31.415533836816234,0.00019705757482367541,-9.342743663784266e-05,0.3797341370052616,0.03797341370052616,0.009980658525322445,0.09990324581975525,0.029109751813734548,0.0423614956551628,0.07866772283805595,0.12657804566842054,0.1554882809887137,0.2306219855994698,40000,64000,72000,2.0716526425162014,1343.3260825917316,434.01852442835195,132.1481819292914,132.1481819292914,0.0009125114063925799,0.8362588015751707,0,0,0.8362588015751707,0.7869636862174728,2365.2970776829548,2225.8694362877495,two_level_spectral_residual,nan,nan,133.201261636559,132.32165477778204,1634.303768032664,12.5,0.76609375,135.82896136052557,132.1080823718319,2172.7933389419372,3.125,0.8203515625
28,7e-06,80000,10,31.41592653589793,31.415533836816234,0.00019376684415762304,-7.06322663621495e-05,0.37351841723670215,0.03735184172367022,0.00967404928244144,0.09835674497685169,0.028168842318470208,0.04098774583335505,0.07660470749897967,0.12450613907890072,0.15356971614383652,0.22987145279804744,40000,64000,72000,2.050895055341663,1456.3731159662952,434.1928308967351,135.66575549767143,135.66575549767143,0.0012125151564394555,0.8417177884089372,0,0,0.8417177884089372,0.7933664246477711,2380.7374241172124,2243.97911533666,two_level_spectral_residual,nan,nan,136.76879554916354,135.89496167848628,1834.42467787242,12.5,0.76578125,139.27371825464738,135.7796173040983,2236.511123838014,3.125,0.8221875
32,8e-06,80000,10,31.41592653589793,31.415533836816234,0.00019313301625004816,-5.358138998716123e-05,0.367177122434893,0.0367177122434893,0.009372910792390039,0.09681379443235369,0.027220211747201222,0.03962197615301122,0.07462130882030685,0.12239237414496432,0.15175323864049253,0.22889064674431286,40000,64000,72000,2.032297337194218,1576.6204760869273,433.26451932129504,139.38892667571716,139.38892667571716,0.0015750196877460968,0.8533433274801285,0,0,0.8533433274801285,0.7967527228546594,2413.6194141659666,2253.557013037502,two_level_spectral_residual,nan,nan,140.53633764008418,139.67835419377332,2027.0309365215285,12.5,0.76578125,142.96165138732414,139.56894534656732,2392.888822865013,3.125,0.8230859375
36,9e-06,80000,10,31.41592653589793,31.415533836816234,0.00019627219658855836,-2.7388699939229822e-05,0.36088292066584116,0.036088292066584114,0.009078926634048122,0.0952834016712676,0.026280837235276196,0.03830566586857591,0.07259474370092378,0.12029430688861373,0.14995952475083515,0.2282460485589679,40000,64000,72000,2.0115871254584183,1705.977687779257,432.7038692732743,143.30902259425807,143.30902259425807,0.0019375242190527381,0.8644077784481511,0,0,0.8644077784481511,0.8006093013608849,2444.914407404346,2264.465064293224,two_level_spectral_residual,nan,nan,144.60701005860648,143.75935410622887,2273.514919340266,12.5,0.7675,146.9645387817032,143.74690783454972,2490.0340531145685,3.125,0.8251953125
