step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.00017592213060875532,-0.00010815205978851175,0.41502970175702614,0.04150297017570261,0.011908612310654645,0.10912658846795609,0.03541177348271342,0.05167699561835202,0.09075627577967588,0.1383432339190087,0.16597825787289616,0.23297720922277604,40000,64000,72000,2.186741705363728,836.3707353298093,421.6815594710088,114.8442635757161,114.8442635757161,0.000375,0.7955463791998603,0,0
4,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00016161535416467517,-9.83186323880737e-05,0.40923711230042115,0.04092371123004211,0.01157637745184264,0.10759357532790999,0.0343588590832411,0.0502095452778951,0.0887973278711528,0.13641237076680704,0.16428514232918812,0.23249418424850216,40000,64000,72000,2.1698258833858315,891.953533804362,421.6188555380806,117.20182949283424,117.20182949283424,0.0004625,0.7984432116162552,0,0
8,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.0001401335811760069,-0.0001007931401362282,0.4033878551858645,0.040338785518586454,0.011250986621710205,0.10607066805535922,0.03331080187231853,0.048780709405305704,0.08680078626596702,0.13446261839528817,0.162488817001807,0.23159323983475577,40000,64000,72000,2.1517947342755965,949.788150905946,420.19836006328495,119.65998406807476,119.65998406807476,0.0005,0.8021797406491649,0,0
12,3e-06,80000,10,31.41592653589793,31.41592653589793,-0.00012437616414939976,-9.63558046747735e-05,0.3972319461451105,0.03972319461451105,0.010927482619136678,0.10453460010511677,0.032388685449683666,0.04737077451683058,0.0848485984407597,0.13241064871503683,0.16063178545592913,0.23060002424766124,40000,64000,72000,2.135996343299241,1011.5647369277943,419.38112162519445,122.25175146861747,122.25175146861747,0.0006,0.8083244164359525,0,0
16,4e-06,80000,10,31.41592653589793,31.41592653589793,-9.841306410685003e-05,-8.26880772233483e-05,0.39109986203229496,0.039109986203229495,0.010610798666158197,0.10300873101906555,0.03147070027001319,0.0461340400162586,0.08283588016397767,0.13036662067743165,0.15895411338218712,0.23008309071311336,40000,64000,72000,2.118023763381883,1079.138097350972,420.21547753624174,124.97034298874631,124.97034298874631,0.000725,0.810169830218027,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,-7.769133140093804e-05,-7.6337140402666e-05,0.3846036665234056,0.03846036665234056,0.010299342780944258,0.1014856777133811,0.030527351575469455,0.044845930038386085,0.08093171738539792,0.12820122217446853,0.1570702374907626,0.22968539069820987,40000,64000,72000,2.104288763468476,1151.0173698101,420.6592826204049,127.81719377114126,127.81719377114126,0.0009,0.8137279099319982,0,0
24,6e-06,80000,10,31.41592653589793,31.41592653589793,-4.932622236612707e-05,-7.61115692359586e-05,0.3786744204754796,0.03786744204754796,0.009995624019573223,0.09997811770369165,0.02957762749768773,0.04352405050834808,0.07904827704917147,0.12622480682515988,0.1552991503384533,0.2287949666196763,40000,64000,72000,2.087499782792699,1229.2008040151493,421.1417019032757,130.79045725937252,130.79045725937252,0.0011,0.8187968883132455,0,0
28,7e-06,80000,10,31.41592653589793,31.41592653589793,-2.460824352081471e-05,-6.980339074655375e-05,0.37235206664739245,0.03723520666473924,0.009698468331811805,0.0984808018438711,0.02863799053630718,0.04226823281259842,0.07708958179957334,0.12411735554913082,0.1535217665277545,0.22771492900005427,40000,64000,72000,2.070341182571578,1309.9846275077225,420.07047233136103,133.90224746703322,133.90224746703322,0.001425,0.8255683641884662,0,0
32,8e-06,80000,10,31.41592653589793,31.41592653589793,2.13931704724456e-06,-7.157517051362983e-05,0.36637133991959575,0.03663713399195957,0.009405887493017715,0.09698395482252575,0.02778628745498299,0.04105366550176617,0.07523227344872854,0.12212377997319858,0.15167291695659896,0.22665575452965536,40000,64000,72000,2.053443194143928,1397.282448805871,419.24401909941776,137.15898737192657,137.15898737192657,0.0016625,0.829953075542199,0,0
36,9e-06,80000,10,31.41592653589793,31.41592653589793,2.2108608591626312e-05,-6.681669400806002e-05,0.36046274612719503,0.0360462746127195,0.00911795425225795,0.09548797962182438,0.027036666663770616,0.03980678792466783,0.07335340609222185,0.120154248709065,0.1498106477300972,0.22546242314235285,40000,64000,72000,2.0349788398476534,1490.270048419562,419.08050587417915,140.57856009178252,140.57856009178252,0.002225,0.8353460011663295,0,0
40,9.999999999999999e-06,80000,10,31.41592653589793,31.41631923497963,4.492180770723154e-05,-7.146463686782092e-05,0.3540657449778207,0.03540657449778207,0.00883699554756271,0.09400529531660816,0.026203851436755708,0.038654372671472294,0.07150507795204292,0.11802191499260689,0.14782355226755856,0.2247597657766177,40000,64000,72000,2.0195423863023554,1589.622394139283,419.6313835540444,144.15486069756656,144.15486069756656,0.002487468906638667,0.8389135014268457,0,0
44,1.1e-05,80000,10,31.41592653589793,31.41631923497963,7.293813354447988e-05,-7.46480844888312e-05,0.34762456414175746,0.034762456414175746,0.008560534720556586,0.09252315775283822,0.02547385083156084,0.0374820430789206,0.06965521736949717,0.11587485471391915,0.1458719500570591,0.2239565569616077,40000,64000,72000,2.0037484273146053,1692.8076188237885,419.89909661228853,147.88206720621002,147.88206720621002,0.0031749603129960875,0.8412989724501677,0,0
48,1.2e-05,80000,10,31.41592653589793,31.41592653589793,9.84559420325988e-05,-7.019274732391579e-05,0.34124619982319726,0.03412461998231973,0.008290944435623126,0.09105462336215073,0.02466853892456621,0.03640609827279595,0.06785759151985842,0.11374873327439908,0.14391885424242604,0.22269036783385526,40000,64000,72000,1.9885229946887626,1802.657488630301,420.5773630298367,151.7665030629109,151.7665030629109,0.0039,0.8476700095167314,0,0
52,1.3e-05,80000,10,31.41592653589793,31.41592653589793,0.0001316247724217967,-8.305412740414541e-05,0.334925523834428,0.0334925523834428,0.008028732709099267,0.08960319586431763,0.02395231537161891,0.03533097993091529,0.06613585727860422,0.11164184127814267,0.14190426159269043,0.2219269851272876,40000,64000,72000,1.9746436915718248,1918.500851367521,420.8001033901473,155.8189759873369,155.8189759873369,0.0047375,0.8529459131961125,0,0
56,1.4e-05,80000,10,31.41592653589793,31.415533836816234,0.00015771532339489802,-7.807796499788804e-05,0.32873021707794503,0.032873021707794506,0.007771176564078362,0.08815427706060756,0.023224259709236895,0.03427444993551827,0.06435959080974576,0.10957673902598167,0.1398222455013688,0.22101521558397838,40000,64000,72000,1.9578239987133734,2039.3954345094764,421.03346460359825,160.08481914358086,160.08481914358086,0.005500068750859385,0.8539153390607729,0,0
60,1.4999999999999999e-05,80000,10,31.41592653589793,31.415533836816234,0.000193735980362079,-7.948970205268974e-05,0.32245042923268985,0.032245042923268984,0.0075202002752214146,0.08671908829791405,0.022637118314526982,0.03326449111981469,0.06258167933429669,0.10748347641089662,0.13772978504045105,0.2197708617218311,40000,64000,72000,1.9408155071530664,2164.209890508035,422.68565101160954,164.47282049627125,164.47282049627125,0.006600082501031263,0.8545207333186149,0,0
64,1.6e-05,80000,10,31.41592653589793,31.415533836816234,0.00022096322186410832,-7.901788412997391e-05,0.3161449074418745,0.03161449074418745,0.007275189912664969,0.08529472382665278,0.022060312473390357,0.03232413346622681,0.06080481956383854,0.10538163581395818,0.13573088737654695,0.21897547961689304,40000,64000,72000,1.9233211774894063,2298.5562977315135,423.9125662967967,169.0716361323466,169.0716361323466,0.007950099376242203,0.8686183289729142,0,0
68,1.7e-05,80000,10,31.41592653589793,31.415533836816234,0.0002422691567001353,-8.39324524775538e-05,0.309994457751859,0.030999445775185902,0.007036080724690925,0.08388134908721322,0.021494139304415367,0.03140703756651314,0.05913684886533853,0.10333148591728634,0.13369584290470998,0.21810259221612957,40000,64000,72000,1.907674391800764,2435.757725984888,423.80140989847104,173.85698946674444,173.85698946674444,0.009450118126476581,0.8770134880140869,0,0
72,1.8e-05,80000,10,31.41592653589793,31.41592653589793,0.00027505016522928885,-8.974836051481415e-05,0.30361252095045177,0.03036125209504518,0.006803395241967397,0.08248269662157874,0.02104352591266417,0.030514888633332057,0.05748111616744822,0.1012041736501506,0.13145988331379152,0.21704778570701108,40000,64000,72000,1.8932393165968568,2585.8633071706463,424.2828505120526,178.89615572285012,178.89615572285012,0.011475,0.8871759402984215,0,0
76,1.8999999999999998e-05,80000,10,31.41592653589793,31.415533836816234,0.0003090551655940886,-9.394720577611858e-05,0.29755156347691863,0.029755156347691863,0.006575813751112961,0.08109139135021029,0.020381766981358063,0.029632364961062106,0.05582842624272493,0.09918385449230621,0.1294054241131388,0.21605349122146658,40000,64000,72000,1.8762605576782863,2740.2049306190875,424.2430112442487,184.11248376713877,184.11248376713877,0.013475168439605495,0.9003172196782336,0,0
80,1.9999999999999998e-05,80000,10,31.41592653589793,31.415533836816234,0.0003511761707880151,-9.529668630562823e-05,0.29145961458798586,0.029145961458798587,0.006356950793878236,0.07973048848388072,0.01993991119788374,0.028828380340461535,0.05414571617288172,0.09715320486266195,0.12721045687357338,0.21495089233333317,40000,64000,72000,1.8577433532060135,2910.6478250502687,426.28995476486705,189.52621937186876,189.52621937186876,0.01580019750246878,0.9139173102626772,0,0
84,2.1e-05,80000,10,31.41592653589793,31.415533836816234,0.00039425639084617894,-0.00010802908458257198,0.2848526481163264,0.02848526481163264,0.006142918528047211,0.07837677288615047,0.019426137471348533,0.028025903251822887,0.0525399743594408,0.09495088270544214,0.12513134606391688,0.21361226253150067,40000,64000,72000,1.8444615034080654,3100.518018517593,426.54273074370946,195.20940146513252,195.20940146513252,0.018887736096701208,0.9214056823107086,0,0
88,2.2e-05,80000,10,31.41592653589793,31.415533836816234,0.00043122818574451544,-0.00010989600718779729,0.2786958755152124,0.02786958755152124,0.005933035877520849,0.0770262025386222,0.018949385729980044,0.027261686805536568,0.050978693579916426,0.09289862517173747,0.12284859333066772,0.21283380423616172,40000,64000,72000,1.8291872273199032,3309.2929027776304,429.1376292435506,201.27175364222325,201.27175364222325,0.021937774222177776,0.9328389545814698,0,0
92,2.3e-05,80000,10,31.41592653589793,31.415533836816234,0.00047615216779614143,-0.0001232785985399399,0.27298568196017237,0.027298568196017236,0.005729388497923235,0.07569272420730565,0.01846760357694577,0.026516774172534202,0.04936163999453821,0.09099522732005746,0.12075807345942548,0.21154254442577047,40000,64000,72000,1.808213516551388,3515.5384080611097,429.9155196480246,207.47587811425598,207.47587811425598,0.02532531656645708,0.9439525766194282,0,0
96,2.4e-05,80000,10,31.41592653589793,31.415533836816234,0.0005229010753964197,-0.00013813025898497586,0.26727023378081416,0.026727023378081416,0.005533598937224304,0.0743881639592234,0.018023688010733036,0.025782757978873628,0.04783772748830665,0.08909007792693804,0.1186075685761611,0.21059672379515673,40000,64000,72000,1.7898636451801035,3733.6581133648883,431.9957187786564,213.9971815773546,213.9971815773546,0.029362867035837948,0.9558060036429266,0,0
100,2.4999999999999998e-05,80000,10,31.41592653589793,31.415533836816234,0.0005711661374000365,-0.0001449241201996116,0.2612743761278556,0.02612743761278556,0.00534303611554149,0.07309607455630904,0.01761331486953532,0.02507947996715666,0.046385066445580825,0.0870914587092852,0.11649154449283079,0.20925271232850656,40000,64000,72000,1.7753392863478552,3959.3054435396625,432.09592148569084,220.6967304854217,220.6967304854217,0.03387542344279303,0.969526748826809,0,0
104,2.6e-05,80000,10,31.41592653589793,31.415533836816234,0.0006194876154050196,-0.00015215432555123042,0.2553108268979033,0.02553108268979033,0.0051586121825209505,0.0718234793261991,0.017105008067095435,0.024393687982186475,0.04491126818665894,0.08510360896596778,0.11437305342290971,0.20812910713531355,40000,64000,72000,1.759082007306278,4207.212686259193,433.07624093573276,227.73163798989674,227.73163798989674,0.03925049063113289,0.9796713456716843,0,0
