step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.41597041424542475,0.04159704142454247,0.011948212486302031,0.10930787934225981,0.03573119634795941,0.05161643994135021,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,2.185240996657827,823.1287083812697,431.96927910397284,114.7851760753669,114.7851760753669,0.000225,0.7770262968457324,0,0
4,1e-06,80000,10,31.41592653589793,31.415533836816234,0.00015531419046940445,-0.00015711636908729884,0.40975466211931233,0.04097546621193123,0.011597033407247801,0.10768952320094932,0.034627093590130616,0.049911202648369735,0.08880333922054222,0.13658488737310412,0.16423393561929445,0.23448521688706606,40000,64000,72000,2.167231942187993,898.2731758563768,432.5578641751509,117.36714721221905,117.36714721221905,0.0002750034375429693,0.779444574365759,0,1
8,2e-06,80000,10,31.41592653589793,31.415533836816234,0.0001611493357998644,-0.00013983957844225758,0.4037845708641302,0.04037845708641302,0.011251390944933496,0.10607257395261745,0.033384549104138614,0.0481725006221871,0.0867029735413642,0.13459485695471007,0.1626171267765421,0.23401487477534755,40000,64000,72000,2.1472582113727907,985.6460044036468,432.7081897061458,120.14164061495093,120.14164061495093,0.0004000050000625008,0.7789647025016276,0,0
12,3e-06,80000,10,31.41592653589793,31.415533836816234,0.00017409648324203517,-0.00013639352842376208,0.39749556941233755,0.039749556941233756,0.010914127324182345,0.10447070079300869,0.03211276498921557,0.04656440689689759,0.08465635465183612,0.13249852313744584,0.16082119132932907,0.23316286675869644,40000,64000,72000,2.1297433522842315,1077.4860784740526,433.32365049964847,123.0760990781689,123.0760990781689,0.00043750546881836025,0.7788976340467534,0,0
16,4e-06,80000,10,31.41592653589793,31.415533836816234,0.00018357172307306417,-0.00011694477841279705,0.3914273835823209,0.039142738358232086,0.010584071813900128,0.10287891821894381,0.031108093378320642,0.045022516122849375,0.08257127184655547,0.1304757945274403,0.15890781165191104,0.2323036255887787,40000,64000,72000,2.109491448729722,1178.4499890635368,433.0641625432006,126.20719087865746,126.20719087865746,0.0005625070313378918,0.7827035222759693,0,0
20,4.9999999999999996e-06,80000,10,31.41592653589793,31.415533836816234,0.00019735611147081344,-0.00010227461754548318,0.3850471816106215,0.03850471816106215,0.010258042971798307,0.10128199727393959,0.02996574849308892,0.0435169754477033,0.08047293023571103,0.12834906053687384,0.1571767648127568,0.23143014492692046,40000,64000,72000,2.089949857549904,1286.3246128125427,433.60558906952554,129.54606569990753,129.54606569990753,0.0007625095313691421,0.7837445596875546,0,0
24,6e-06,80000,10,31.41592653589793,31.415533836816234,0.00019748625650694071,-8.4924422058336e-05,0.3787872195026723,0.03787872195026723,0.009940902610851765,0.09970407519681312,0.028966453314991317,0.041978853471874245,0.07835327408631546,0.12626240650089077,0.15541156239839946,0.2307323553442876,40000,64000,72000,2.0685300361820333,1402.9805062638725,434.0370415086866,133.08537139959245,133.08537139959245,0.0009750121876523456,0.7873524933251218,0,0
28,7e-06,80000,10,31.41592653589793,31.415533836816234,0.00019486551252965607,-5.8161252911960405e-05,0.3723835594205738,0.03723835594205738,0.009630479621331145,0.09813500711433787,0.027971577588426055,0.04054382409298308,0.07626227006127337,0.12412785314019126,0.15347844834363675,0.2300593811794465,40000,64000,72000,2.047949436326806,1527.7232335745675,434.22730886990433,136.85547380452954,136.85547380452954,0.001262515781447268,0.7938396043567535,0,0
32,8e-06,80000,10,31.41592653589793,31.415533836816234,0.00019499346450133341,-3.6356762413299284e-05,0.3657903055281231,0.03657903055281231,0.009326492869143143,0.09657376905321208,0.02705673749607953,0.03918445240733251,0.07422242892384182,0.1219301018427077,0.15172702641776442,0.22906578725004198,40000,64000,72000,2.029097759074847,1659.8713630159873,433.3009008900984,140.85520812598665,140.85520812598665,0.0016500206252578157,0.7973129290480873,0,0
36,9e-06,80000,10,31.41592653589793,31.415533836816234,0.00019868954350121137,-3.1298718113839776e-06,0.35941499123463716,0.03594149912346371,0.009030737067376091,0.09503019029432747,0.026086990072103064,0.037808119409869556,0.0720986989839534,0.11980499707821238,0.14995960398493186,0.22839225351038062,40000,64000,72000,2.0060014396251256,1800.8235718723754,432.72677141130794,145.07809601847615,145.07809601847615,0.0020625257815722695,0.8011000132249946,0,0
40,9.999999999999999e-06,80000,10,31.41592653589793,31.415533836816234,0.00019477535475838633,2.9197906546873666e-05,0.35304210530447605,0.035304210530447605,0.008743470603144812,0.09350652706172341,0.025279774873858,0.03657606682838788,0.0700573094829123,0.11768070176815869,0.1481222734593646,0.2275350647815957,40000,64000,72000,1.9843896359753574,1952.3354521048736,433.41036150849277,149.5435537752021,149.5435537752021,0.002612532656658208,0.7985183427965987,0,0
44,1.1e-05,80000,10,31.41592653589793,31.415533836816234,0.00018442631177850114,5.9580058517755754e-05,0.34679233250393426,0.034679233250393425,0.008462385978905314,0.09199122772800303,0.02430245614403395,0.035335876174404104,0.06793555428517109,0.1155974441679781,0.14602957098517677,0.22655630363480034,40000,64000,72000,1.9589693288389063,2112.16921635653,434.1497766090036,154.2603696042746,154.2603696042746,0.003100038750484381,0.7994481673169875,0,0
48,1.2e-05,80000,10,31.41592653589793,31.415533836816234,0.00018457848422794634,9.321277869002732e-05,0.3404625941777476,0.03404625941777476,0.008190825329359427,0.09050317855942645,0.02346054916913792,0.03406197311166324,0.06587506987844374,0.11348753139258254,0.1441008371107461,0.22605997178310572,40000,64000,72000,1.9348695276654062,2287.916551387595,435.8710471141659,159.24462937261762,159.24462937261762,0.003912548906861336,0.802590620305992,0,0
