step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,80000,10,31.41592653589793,31.41592653589793,-0.00017592213060875532,-0.00010815205978851175,0.41502970175702614,0.04150297017570261,0.011908612310654645,0.10912658846795609,0.03541177348271342,0.05167699561835202,0.09075627577967588,0.1383432339190087,0.16597825787289616,0.23297720922277604,40000,64000,72000,2.186741705363728,836.3707353298093,421.681559471009,114.84426357571611,114.84426357571611,0.000375,0.7358173158299471,0,0,0.7358173158299471,0.7115583132578848,2326.858659814103,2250.1449579225027,two_level_blob_residual,0.03735267315813235,0.06670890164559982,115.80849536141584,114.69085003775302,1087.3587446941322,12.5,0.763125,118.82588087384686,114.73632265018747,1512.172683596814,3.125,0.813515625
5,1e-06,80000,10,31.41592653589793,31.41592653589793,-0.00015995912986119733,-9.922606802952186e-05,0.4087426152764302,0.04087426152764302,0.011555935184305076,0.10749853573098136,0.0342567165690048,0.05011920486826353,0.08862630693517012,0.13624753842547674,0.16419130876433458,0.2324107111980498,40000,64000,72000,2.1682668658180573,896.9583331294015,421.6172755022932,117.37078474571109,117.37078474571109,0.000475,0.738168285787222,0,0,0.738168285787222,0.7150617910909943,2334.29307958972,2261.22392760704,two_level_blob_residual,0.036786835374878715,0.06491026487812405,118.33878618086284,117.31481304879297,1195.444206535186,12.5,0.76421875,121.33864740960338,117.36633289211466,1675.5968515246252,3.125,0.8148828125
10,2e-06,80000,10,31.41592653589793,31.41592653589793,-0.0001353931142056357,-0.00010267210591205054,0.4024133532140962,0.040241335321409624,0.011207688216423435,0.1058663696195512,0.03314384163656339,0.048541869634821454,0.08650045474832756,0.13413778440469873,0.16219429772086744,0.23164569830630496,40000,64000,72000,2.1495423563220246,959.3849237883529,419.6913451165466,120.0350099790388,120.0350099790388,0.0005125,0.7406889562871878,0,0,0.7406889562871878,0.7193924203390519,2342.2641396004074,2274.9185797326445,two_level_blob_residual,0.036217201789268655,0.06310948868671516,120.97479699044574,119.93478240431155,1152.8709787696957,12.5,0.76546875,123.93489284869737,119.96453636507891,1779.8466431515926,3.125,0.815546875
15,3e-06,80000,10,31.41592653589793,31.41592653589793,-0.00011202717199071822,-8.961846346899647e-05,0.39595129846939514,0.03959512984693951,0.010866215676736648,0.10424114195813786,0.032162508472616015,0.04717189499034865,0.08440500410906278,0.13198376615646504,0.1604262173957349,0.23082763723439,40000,64000,72000,2.13170166218275,1027.2771077363423,420.49022886490184,122.82861537250578,122.82861537250578,0.0006375,0.7416740379007111,0,0,0.7416740379007111,0.7228747972518358,2345.3792411802947,2285.930822448227,two_level_blob_residual,0.03563561686224556,0.06130277300051622,123.72846465245838,122.68525149221901,1345.7978977308242,12.5,0.76625,126.54814011219332,122.72796696803533,1893.9592260008928,3.125,0.817265625
20,4e-06,80000,10,31.41592653589793,31.41592653589793,-9.211119801211384e-05,-8.054980027805021e-05,0.38931729375790103,0.038931729375790106,0.01053133031551716,0.10262227007583276,0.031094514145062552,0.04573226903921124,0.08229835272079572,0.12977243125263369,0.15855426728506328,0.23054376944919824,40000,64000,72000,2.113914640842371,1100.2653547807877,420.80587694288545,125.7696368559848,125.7696368559848,0.0007875,0.7433525029856177,0,0,0.7433525029856177,0.7252762329085072,2350.6870138216677,2293.524828777651,two_level_blob_residual,0.03503855643821109,0.05944542638068497,126.62533199961484,125.61630813581122,1307.4242089448026,12.5,0.7659375,129.32086348450852,125.62747820434936,1966.4290580899271,3.125,0.819140625
25,4.9999999999999996e-06,80000,10,31.41592653589793,31.41592653589793,-6.099839298484656e-05,-8.194595498014725e-05,0.38279877790802086,0.03827987779080209,0.010205462132309238,0.10102208734880327,0.030119771837826218,0.04430323567109863,0.08027452460862658,0.12759959263600695,0.15669378375544443,0.22981529492854116,40000,64000,72000,2.097042342907244,1180.6081879681944,421.3192101513121,128.8477648306846,128.8477648306846,0.000975,0.7478689604157374,0,0,0.7478689604157374,0.7313128750422422,2364.9693062560364,2312.6143673395923,two_level_blob_residual,0.03445189001172188,0.05768353263126317,129.73389975098144,128.8083025998822,1618.538071027544,12.5,0.76671875,132.41543601364725,128.74189241073992,1901.6513357043757,3.125,0.82109375
30,6e-06,80000,10,31.41592653589793,31.41592653589793,-3.714788469017995e-05,-7.706236027363031e-05,0.3762055802544083,0.03762055802544083,0.009886828330212746,0.09943253154884847,0.02905084812623349,0.0429472613297066,0.078191979881748,0.12540186008480278,0.15488445468488,0.22851479063132554,40000,64000,72000,2.078437534841212,1265.401779667052,420.14402699778526,132.06422914632873,132.06422914632873,0.0011875,0.7520031197874255,0,0,0.7520031197874255,0.7356444153878064,2378.0426660807016,2326.311900608488,two_level_blob_residual,0.03385850222289675,0.055883717873142474,132.9215261619679,132.0152561714325,1667.9339490685943,12.5,0.76796875,135.51126005967078,131.90069589209966,1927.8387075684839,3.125,0.8208984375
35,7e-06,80000,10,31.41592653589793,31.41592653589793,-1.4263631508150566e-05,-7.162684330593886e-05,0.3701309076161198,0.03701309076161198,0.00957295514980994,0.0978414796996138,0.028094884912216716,0.041561843684589816,0.07616282487767218,0.12337696920537326,0.15292775743535894,0.22790656941819096,40000,64000,72000,2.0577266937314036,1359.5829044006086,419.9820182160529,135.46906984162766,135.46906984162766,0.0015,0.7574364114221006,0,0,0.7574364114221006,0.7412246844010448,2395.2242428382146,2343.9582606467816,two_level_blob_residual,0.03331178168545078,0.05425616557171623,136.2735335114358,135.37482117075473,1569.8959163743975,12.5,0.76921875,138.81446819655227,135.39908870474844,2152.497646188296,3.125,0.823203125
40,8e-06,80000,10,31.41592653589793,31.41631923497963,8.468551332181812e-06,-7.61186980431012e-05,0.36343567461778403,0.0363435674617784,0.009266756959854794,0.09626399617642514,0.027216138460346116,0.04028482856662014,0.07416479536365832,0.12114522487259469,0.15088003071434036,0.22690668348517648,40000,64000,72000,2.0406581010974096,1458.5562029849543,419.780046373055,139.02316503979853,139.02316503979853,0.001962475469056637,0.7618824704285916,0,0,0.7618824704285916,0.7452841496638729,2409.2839159102314,2356.7954169596524,two_level_blob_residual,0.03270921071560056,0.052465905808654484,139.87813441321796,139.06182550954324,1929.675562994797,12.5,0.76984375,142.37311671939466,139.0317983170705,2516.533731608205,3.125,0.8241796875
45,9e-06,80000,10,31.41592653589793,31.41631923497963,3.743358435354831e-05,-7.982720711408418e-05,0.3566844481992171,0.03566844481992171,0.008965994555942382,0.0946889357630678,0.026308451433058145,0.03901776362115636,0.07219033870188857,0.11889481606640569,0.14884513277176795,0.2259536719734319,40000,64000,72000,2.023927285485923,1564.7552998743743,419.88902961841825,142.74804205910772,142.74804205910772,0.002362470469119136,0.7670377769102551,0,0,0.7670377769102551,0.7491070040798111,2425.586426428517,2368.88434407725,two_level_blob_residual,0.03210160033792953,0.05069158824681305,143.5865721811387,142.748355056412,1945.1952617658317,12.5,0.77328125,146.03355506442938,142.87852469438397,2252.4697502922063,3.125,0.82625
