step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.1,R_0.2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death,drift_cfl_solver_field,drift_cfl_fourier_diag,max_grad_solver_field,max_grad_fourier_diag,solver_field_mode,solver_field_h,solver_field_residual_E,S_dg_raw_80,S_dg_cross_80,peak_dg_80,ppc_80,empty_80,S_dg_raw_160,S_dg_cross_160,peak_dg_160,ppc_160,empty_160
0,0.0,320000,10,31.41592653589793,31.41592653589793,0.00013179783524716954,3.615563419522114e-05,0.41544536245928465,0.041544536245928465,0.011913482741428599,0.1091489016959337,0.035382064910962845,0.05145195937011497,0.09103465410319977,0.13848178748642823,0.16553013782401968,0.233926688488202,160000,256000,288000,2.1912545506419403,845.3101545101147,423.4597480128788,114.76309443165997,114.76309443165997,0.000278125,0.6876485489934121,0,0,0.6876485489934121,0.6876485489934121,2174.5356445290686,2174.5356445290686,current_fourier,nan,nan,115.02309906150836,114.74478155389387,1002.1907214276348,50.0,0.7096875,115.77219696800823,114.71626694437279,1190.11757912323,12.5,0.761328125
5,1e-06,320000,10,31.41592653589793,31.41592653589793,0.00013241892095424405,3.209035090570087e-05,0.40942573582086217,0.040942573582086216,0.01157948881403142,0.10760803322257785,0.03434977789803756,0.050044495912996076,0.08900955267138631,0.13647524527362073,0.16381496992615696,0.23323697588305578,160000,256000,288000,2.174009713701316,901.5969424735957,423.4954193001361,117.13461169755146,117.13461169755146,0.000371875,0.6899858008832441,0,0,0.6899858008832441,0.6899858008832441,2181.9266839664706,2181.9266839664706,current_fourier,nan,nan,117.3971590801126,117.12980454032268,1085.0669859343745,50.0,0.71078125,118.16174774433198,117.14040250298365,1355.347645688778,12.5,0.76265625
10,2e-06,320000,10,31.41592653589793,31.415828361127506,0.00012880687452653417,2.904970937984789e-05,0.40341957948037,0.040341957948037,0.011250175133330218,0.10606684276120515,0.03329759734297649,0.04862995456665765,0.08696954090291123,0.13447319316012332,0.16208910941738372,0.23247438137447393,160000,256000,288000,2.155808625226706,961.0254726438797,423.3425578250466,119.62886134699733,119.62886134699733,0.00043750136719177246,0.6918583825540154,0,1,0.6918583825540154,0.6918583825540154,2187.8483071507917,2187.8483071507917,current_fourier,nan,nan,119.8796386556548,119.63023388281911,1088.5254893025356,50.0,0.710625,120.58569911140452,119.55734662006964,1211.3792155977737,12.5,0.7630859375
15,3e-06,320000,10,31.41592653589793,31.415828361127506,0.00012819900151012344,2.6294968431465177e-05,0.39739473663918484,0.03973947366391849,0.010925652043395925,0.10452584390185962,0.0322608726194219,0.047263671484854206,0.08499441863610929,0.13246491221306161,0.16023842016522657,0.2317510876979013,160000,256000,288000,2.138790748838732,1023.560981732712,423.56345497575165,122.2424481362793,122.2424481362793,0.0005281266503957824,0.6930738560448875,0,0,0.6930738560448875,0.6930738560448875,2191.691971817503,2191.691971817503,current_fourier,nan,nan,122.48744480510774,122.2379741948411,1168.52986355829,50.0,0.71140625,123.21476105546367,122.25685490542931,1319.1522492767717,12.5,0.7634765625
20,4e-06,320000,10,31.41592653589793,31.41592653589793,0.00012764557981517947,2.1249283794597275e-05,0.39133770809580387,0.03913377080958039,0.010608066093371062,0.10299546637289946,0.03130494303274928,0.04587346446839312,0.08302602973748041,0.1304459026986013,0.15853770983815502,0.230927521665743,160000,256000,288000,2.121595440967695,1090.3931459515345,423.7185384421867,124.97100995793899,124.97100995793899,0.000703125,0.6940961752507185,0,0,0.6940961752507185,0.6940961752507185,2194.924829003664,2194.924829003664,current_fourier,nan,nan,125.20717304444986,124.96786901841452,1243.2147743820642,50.0,0.71046875,125.92061221851687,124.98910073767667,1460.2055828229834,12.5,0.7648828125
25,4.9999999999999996e-06,320000,10,31.41592653589793,31.41592653589793,0.00013045279264713394,2.1646506751161177e-05,0.38509019030987923,0.038509019030987926,0.010296289075654514,0.10147063159187743,0.030336277069653788,0.04460692338066112,0.08108074748254974,0.12836339676995975,0.15673632615641775,0.2300327015512434,160000,256000,288000,2.105500205479258,1162.297099764141,423.63963924036904,127.829676473619,127.829676473619,0.000934375,0.6952374956290611,0,0,0.6952374956290611,0.6952374956290611,2198.534000939191,2198.534000939191,current_fourier,nan,nan,128.06701787819398,127.84388368937726,1319.017744018311,50.0,0.71296875,128.7406642813945,127.81896618185341,1478.200897060927,12.5,0.7663671875
30,6e-06,320000,10,31.41592653589793,31.41592653589793,0.00013142132221978615,2.380052641231145e-05,0.37889828172420076,0.03788982817242008,0.009989502544591099,0.09994749894114958,0.029425657155995624,0.043270501228188714,0.07915033622412375,0.12629942724140025,0.1548696256916024,0.2293276527382325,160000,256000,288000,2.0889600201918337,1239.3710070983816,423.55366377128945,130.8242129680007,130.8242129680007,0.001115625,0.6972651587399679,0,0,0.6972651587399679,0.6972651587399679,2204.946034697159,2204.946034697159,current_fourier,nan,nan,131.0529977339443,130.82695298768013,1365.5681424226134,50.0,0.71359375,131.72317852485426,130.82186690680237,1686.6663748362562,12.5,0.7669921875
35,7e-06,320000,10,31.41592653589793,31.41592653589793,0.00013312231776510425,2.2507593986445465e-05,0.37274886256460216,0.037274886256460214,0.00968885752591033,0.09843199442208986,0.028540449369906795,0.042043244949227454,0.07721970975701041,0.12424962085486739,0.15303606099663486,0.2284942608225114,160000,256000,288000,2.071628313651185,1320.653498159014,423.74463502175547,133.94721038550867,133.94721038550867,0.00138125,0.7005009005246071,0,0,0.7005009005246071,0.7005009005246071,2215.1783486567974,2215.1783486567974,current_fourier,nan,nan,134.17348523978296,133.95359644942616,1426.449395024124,50.0,0.713125,134.83392246207106,133.9545642561717,1620.9766618517542,12.5,0.76765625
40,8e-06,320000,10,31.41592653589793,31.41592653589793,0.00013522071639629835,2.240176653221832e-05,0.3664081702016925,0.03664081702016925,0.009394008326211366,0.096922692524565,0.0276505930509514,0.0407905346486669,0.07530606740755044,0.12213605673389749,0.15112869368209084,0.2276607695328584,160000,256000,288000,2.055250770366217,1407.1655102284603,424.29714278763527,137.21681142903276,137.21681142903276,0.00165625,0.7020594330554698,0,0,0.7020594330554698,0.7020594330554698,2220.10686126179,2220.10686126179,current_fourier,nan,nan,137.43968564831226,137.2237605815319,1665.595307710286,50.0,0.71390625,138.10977382379374,137.27276835707642,1773.927706507225,12.5,0.76875
45,9e-06,320000,10,31.41592653589793,31.41592653589793,0.00013132758112223994,2.378089381039789e-05,0.36012127539464006,0.036012127539464006,0.009104443029409244,0.09541720510164424,0.02682996264333741,0.039579871126301854,0.07341374919144952,0.12004042513154668,0.14921694065593819,0.2265191264961609,160000,256000,288000,2.0385840606334305,1501.039576102058,426.25115074390686,140.65120324220175,140.65120324220175,0.002025,0.7051360005490612,0,0,0.7051360005490612,0.7051360005490612,2229.8358219167744,2229.8358219167744,current_fourier,nan,nan,140.85393667695377,140.64551592107094,1617.7104372002332,50.0,0.715,141.491028024107,140.649214180201,1929.8377629599163,12.5,0.77046875
50,9.999999999999999e-06,320000,10,31.41592653589793,31.415828361127506,0.00013401961620481846,2.3540419950855162e-05,0.3536909843851991,0.03536909843851991,0.008820375738341284,0.09391685545386028,0.02601219176148136,0.03839863498859002,0.07161421079826144,0.11789699479506635,0.14725063797241408,0.22571749230414817,160000,256000,288000,2.0247677763894476,1602.562901092793,426.7925597614782,144.2443301472092,144.2443301472092,0.002421882568383026,0.7073530009756424,0,0,0.7073530009756424,0.7073530009756424,2236.8465928383357,2236.8465928383357,current_fourier,nan,nan,144.45512073816167,144.2438975406696,1770.6418507883977,50.0,0.71640625,145.08782852944685,144.28945913238252,1882.779110197995,12.5,0.7714453125
55,1.1e-05,320000,10,31.41592653589793,31.41592653589793,0.0001342215084263044,2.7223392114726753e-05,0.34738456917075977,0.03473845691707598,0.008543210520438934,0.09242948945244117,0.025131870332720394,0.03723552354473327,0.06972863675531948,0.11579485639025326,0.1453138715267125,0.22470419146965295,160000,256000,288000,2.007246232087062,1712.3276897561393,427.14149636928937,147.9976819150628,147.9976819150628,0.00298125,0.7092650924648691,0,0,0.7092650924648691,0.7092650924648691,2242.8931570389154,2242.8931570389154,current_fourier,nan,nan,148.19742677038343,148.0069524544413,1834.830083203222,50.0,0.71828125,148.7890651207301,147.98831248021298,2049.7508127700744,12.5,0.7726171875
60,1.2e-05,320000,10,31.41592653589793,31.41602471066836,0.00013573399666697426,3.080141446549037e-05,0.3408894954375298,0.03408894954375298,0.008271937955087273,0.09095019491505928,0.02432377176209033,0.03610239707498017,0.06791910423931605,0.11362983181250992,0.14339847338087197,0.22368736332671052,160000,256000,288000,1.9924082480788166,1828.5203788145793,425.9611358529835,151.92593278847397,151.92593278847397,0.00356248886722229,0.714249779371593,0,0,0.714249779371593,0.714249779371593,2258.6561210869822,2258.6561210869822,current_fourier,nan,nan,152.11522671559186,151.93142334695034,1976.1728862489615,50.0,0.716875,152.74077203698556,151.93444525854449,2212.8847245462994,12.5,0.7730859375
65,1.3e-05,320000,10,31.41592653589793,31.41602471066836,0.00013838463018820608,3.0064147152827404e-05,0.334396462884849,0.0334396462884849,0.008006998878533227,0.08948183546694394,0.023564305273397538,0.03500185154340742,0.06609884559268234,0.111465487628283,0.14138143151256793,0.2226692571813394,160000,256000,288000,1.9766610275253955,1950.4479350337624,424.9703064234617,156.0150062819228,156.0150062819228,0.004309361533245209,0.7162628958232299,0,0,0.7162628958232299,0.7162628958232299,2265.022154269311,2265.022154269311,current_fourier,nan,nan,156.21378910382845,156.03048418843062,2102.5910219255757,50.0,0.7178125,156.76401772621696,156.02780707231327,2361.1313942575403,12.5,0.774140625
70,1.4e-05,320000,10,31.41592653589793,31.41602471066836,0.00013803589918951514,3.383064621893521e-05,0.3279834676232761,0.03279834676232761,0.00774708108808903,0.08801750444138387,0.02279801321702395,0.033924505586461116,0.06435869202346281,0.10932782254109205,0.13939147885412292,0.2220377992847859,160000,256000,288000,1.9622541492666215,2081.6477685019795,424.88731353047706,160.29051518629794,160.29051518629794,0.005199983750050781,0.7200037523230893,0,0,0.7200037523230893,0.7200037523230893,2276.8517812087125,2276.8517812087125,current_fourier,nan,nan,160.4962634559915,160.3132390855844,2331.216528755581,50.0,0.71953125,161.0488624719756,160.32288871715187,2508.8856332911078,12.5,0.7761328125
75,1.4999999999999999e-05,320000,10,31.41592653589793,31.41592653589793,0.00014374664630544768,3.8365587599270134e-05,0.3215603665831797,0.03215603665831797,0.007493083393839238,0.08656259812320352,0.022089305049778886,0.03287091246982826,0.06259427835982007,0.10718678886105991,0.1373078194151566,0.22108740839985652,160000,256000,288000,1.9465793942497103,2222.0700909828684,424.6861298577738,164.7488669441399,164.7488669441399,0.006271875,0.72238395039874,0,1,0.72238395039874,0.72238395039874,2284.3786284101184,2284.3786284101184,current_fourier,nan,nan,164.95582113644662,164.78003679139144,2436.2504141146237,50.0,0.72046875,165.5369700316805,164.8134114100547,2906.3180756099728,12.5,0.778125
80,1.6e-05,320000,10,31.41592653589793,31.41592653589793,0.00014065885684888294,4.094013570187576e-05,0.31512156419046033,0.031512156419046033,0.007245060707209721,0.0851179223619193,0.021395877919575625,0.0318401728403011,0.06087155023577909,0.1050405213968201,0.1352941814056746,0.2200800770140704,160000,256000,288000,1.931684694195925,2368.7345056531967,423.7937484155324,169.38514469313822,169.38514469313822,0.007521875,0.7226673752276267,0,0,0.7226673752276267,0.7226673752276267,2285.2748964148436,2285.2748964148436,current_fourier,nan,nan,169.59736921694574,169.42648024810973,2619.431071221147,50.0,0.72078125,170.12172272720508,169.43234157274478,2777.7711638127,12.5,0.7780859375
85,1.7e-05,320000,10,31.41592653589793,31.41592653589793,0.00014073445261619742,4.759587499693713e-05,0.3087427808023056,0.03087427808023056,0.007003569945275732,0.08368733443763,0.0207290542910432,0.030841458582875847,0.05914892164122283,0.1029142602674352,0.13321887929172216,0.21899102283109936,160000,256000,288000,1.9157993423365942,2528.4710770109186,423.5653357386746,174.2479912236804,174.2479912236804,0.00910625,0.7246207230662013,0,0,0.7246207230662013,0.7246207230662013,2291.4519246473064,2291.4519246473064,current_fourier,nan,nan,174.46115267475724,174.29894718190815,2898.7679181323297,50.0,0.72140625,174.96914909672358,174.30189619983278,3046.5051679702156,12.5,0.7803125
90,1.8e-05,320000,10,31.41592653589793,31.41592653589793,0.0001368493141083725,5.2978834603049486e-05,0.30238562416799925,0.030238562416799925,0.006767891590772357,0.08226719632254618,0.020028135476426664,0.029900328654126136,0.05748647632752589,0.10079520805599974,0.13109174698915663,0.21764406558217625,160000,256000,288000,1.901098191612032,2694.5922309220464,422.5029015793291,179.2838000440108,179.2838000440108,0.010946875,0.7278706144063598,1,0,0.7278706144063598,0.7278706144063598,2301.728983430264,2301.728983430264,current_fourier,nan,nan,179.51218348304153,179.35929255394478,3067.0193093408698,50.0,0.72125,179.99328178697894,179.38722591093892,3363.795911335822,12.5,0.7804296875
