t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,95.99999999999999,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,95.99999999999999,4.056,3.7642138413769746,0.0,2.7843919229730156,845,0.49288980075259264,0.7834553582148327,1.1218617343668875,0.27107839520184757,0.267961277045855,0.2629963786553494,0.0224122572608045
0.08,0,20000,1623,95.99999999999999,7.790399999999999,7.380830746882967,0.0,3.471838420847755,1623,0.46909388304987504,0.8332352830178984,1.2339628487504333,0.3207774342129844,0.31592370286851895,0.3130502854936784,0.024817952745362273
0.12,0,20000,2348,95.99999999999999,11.270399999999999,10.85563807515288,0.0,4.740043647137424,2348,0.44980691067072537,0.8519822474298206,1.3341050758848831,0.36306516519770865,0.35818122605817587,0.35400087308021894,0.03684429473071873
0.16,0,20000,3046,95.99999999999999,14.6208,14.194196259243709,0.0,5.5015831548926775,3046,0.4100197454596723,0.8544525477323923,1.4143721450248077,0.40013361787095525,0.3899344881360101,0.3881551621958642,0.037622529206585695
0.2,0,20000,3692,95.99999999999999,17.7216,17.40184770451374,0.0,6.360503005969129,3692,0.3132076688957023,0.8575346809485813,1.4719277754284723,0.4260062986138594,0.4187657599004027,0.4074076115916233,0.04173809996794868
0.24,0,20000,4363,95.99999999999999,20.9424,20.483725337610874,0.0,9.937569734292838,4363,0.20581716432976205,0.8348052095336209,1.531343813905316,0.4464978531585655,0.4355080703104026,0.42425863854275686,0.06739502650052905
0.28,0,20000,4936,95.99999999999999,23.6928,23.44476082025035,0.0,13.34103876964159,4936,0.1368797202020218,0.75338221066702,1.5760433222341064,0.45535611631566525,0.45286550200679654,0.43721112753290114,0.08538073397095505
0.32,0,20000,5534,95.99999999999999,26.5632,26.289692440925666,0.0,17.208217927552273,5534,0.11477333482782363,0.5400769604680848,1.633913569841274,0.4678901995883437,0.4673127313338707,0.45298126495341867,0.10645185773300003
0.36,0,20000,6074,95.99999999999999,29.155199999999997,29.023072697181018,0.0,20.20706780589289,6074,0.10455024619949983,0.23036711349102867,1.6745562803581953,0.4861324291318596,0.4794961408816484,0.4667288584514507,0.13054658878680742
0.4,0,20000,6626,95.99999999999999,31.804799999999997,31.64927558057862,0.0,25.954571283979337,6626,0.09188836563393754,0.17420006697283752,1.7058824522137188,0.5009832923659769,0.49650130881454496,0.48394028653729665,0.1747646829016459
0.44,0,20000,7162,95.99999999999999,34.377599999999994,34.17250357601843,0.0,26.07144119179727,7162,0.09313991062695312,0.1689176130459522,1.7381141700709897,0.5218331858196781,0.5113329511065009,0.49653441055443454,0.17334680114443082
0.48,0,20000,7678,95.99999999999999,36.8544,36.596794386610476,0.0,24.813655698639284,7678,0.08953898720608243,0.16068305517219264,1.7707678243108438,0.5331330344771514,0.5284151562053001,0.5122074111631536,0.1636400452603073
0.52,0,20000,8138,95.99999999999999,39.0624,38.92602739486134,0.0,27.860512631012448,8138,0.0877528102720199,0.15439931975016252,1.7876383156900721,0.5516523842624396,0.5360026814680221,0.5248551975347172,0.17395193842953202
0.56,0,20000,8571,95.99999999999999,41.1408,41.16392987051377,0.0,27.741312996672942,8571,0.08884418101276129,0.15381650354573512,1.804619377706975,0.5641407479839601,0.5515089323227329,0.5324937113565814,0.18118542847349292
0.6,0,20000,9073,95.99999999999999,43.550399999999996,43.31408293497346,0.0,28.703853324032043,9073,0.09785576517588113,0.1611470181829916,1.845870393563965,0.5818321814369544,0.5681882843525472,0.5536110104254002,0.1803437706147873
0.64,0,20000,9510,95.99999999999999,45.647999999999996,45.37992729186733,0.0,28.498227550198273,9510,0.0920326459744596,0.15175594364987482,1.8386266305302668,0.5890867650475801,0.5829450792320189,0.5709129563139723,0.17876676413798076
0.68,0,20000,9935,95.99999999999999,47.687999999999995,47.3647687329034,0.0,31.59900841639276,9935,0.09404814939177208,0.1497538508290162,1.8410712815649002,0.6042487391730484,0.6008690719674187,0.5849798008945204,0.1975437028688296
0.72,0,20000,10318,95.99999999999999,49.526399999999995,49.271783427842706,0.0,26.731364151156292,10321,0.10225526987600858,0.1614608190248097,1.868987452741581,0.62379444625273,0.615639760415378,0.5986492699958721,0.1673884763038193
0.76,0,20000,10651,95.99999999999999,51.12479999999999,51.1040230070487,0.0,29.164328889362054,10651,0.09812505239976117,0.15771055007212087,1.877068612896628,0.6394027434805996,0.6348413009516455,0.6130481058700417,0.1790828732518399
0.8,0,20000,10966,95.99999999999999,52.636799999999994,52.86441944474672,0.0,30.491920099386206,10966,0.09770300429868538,0.15473863771900825,1.884954562772364,0.6542437451831424,0.648315544042173,0.6248875357929232,0.18176588796758789
0.84,0,20000,11330,95.99999999999999,54.38399999999999,54.555789750808344,0.0,32.799479276155914,11330,0.09517220038508326,0.15021049987389318,1.9000397121221384,0.6680469830841052,0.6658171785172622,0.6413535792016971,0.20380138743151366
0.88,0,20000,11661,95.99999999999999,55.97279999999999,56.180840478568186,0.0,31.536186199456846,11661,0.10033308940346637,0.15731550608144246,1.881815286690936,0.6889994653059175,0.6755393732579249,0.6535920414202817,0.19573178439717737
0.92,0,20000,11974,95.99999999999999,57.475199999999994,57.74217205588664,0.0,32.39425606468961,11974,0.09951516522651527,0.15623801080158495,1.8674902515665583,0.7049142792162859,0.6934689483507744,0.6691989326533915,0.18928485327505862
0.96,0,20000,12343,95.99999999999999,59.246399999999994,59.242282946389246,0.0,34.19230223925483,12343,0.09830331598543009,0.15126978566795546,1.8645933763835887,0.7233959682070076,0.7055150761710037,0.6839332953326427,0.21118850507089082
1.0,0,20000,12668,95.99999999999999,60.8064,60.68357364754153,0.0,36.176588908970295,12668,0.09008868295443583,0.13905241531006168,1.8480286019209284,0.7271989890789928,0.7143068424909091,0.6974348721290281,0.23434941280050992
1.04,0,20000,12882,95.99999999999999,61.8336,62.068350531957094,0.0,31.19217748158784,12882,0.09304971081065457,0.14844374052404827,1.841006809772857,0.7395317240963821,0.7282232089482542,0.7134176283305513,0.18953699159891205
1.08,0,20000,13174,95.99999999999999,63.23519999999999,63.398829538085835,0.0,35.40366909917657,13174,0.09377211850219676,0.14586716704416758,1.8466113994149351,0.7534115219678983,0.740355627979126,0.7261106821484317,0.2171659161964429
1.12,0,20000,13454,95.99999999999999,64.5792,64.67713971618821,0.0,31.422112866725804,13455,0.09675946109776926,0.1488475719009466,1.8259764043625435,0.7694465641250672,0.7498821620840845,0.7427314115391787,0.19956718962121792
1.16,0,20000,13752,95.99999999999999,66.00959999999999,65.90532663526989,0.0,37.72290539932737,13752,0.0941414929517994,0.1437192716871879,1.7970199360647419,0.7822581351241918,0.7600132758354948,0.7517742184286166,0.23396617352300567
1.2,0,20000,13999,95.99999999999999,67.1952,67.08535565642859,0.0,33.49405544885363,13999,0.09789474721506386,0.14785674878424654,1.7953219110126015,0.7963076113225531,0.7810510360492924,0.768883486734171,0.20569660254473757
1.24,0,20000,14257,95.99999999999999,68.4336,68.21911507785113,0.0,32.36725780384571,14257,0.10245869533731317,0.15454607098537937,1.7634886108695136,0.8063912342439575,0.7905647969064029,0.7807415393748591,0.1971318725379362
1.28,0,20000,14481,95.99999999999999,69.5088,69.30841915649334,0.0,33.272012043578904,14481,0.10356611061511717,0.1536178546931949,1.7519343561207539,0.8245171031776624,0.8106133307498166,0.7904325327272687,0.20468604208768487
1.32,0,20000,14672,95.99999999999999,70.42559999999999,70.35501101127836,0.0,32.93671966112095,14672,0.10338876958124898,0.15459947758866477,1.746187429260095,0.8380147634149613,0.8314419754642317,0.806775598586519,0.1987393355613637
1.36,0,20000,14913,95.99999999999999,71.58239999999999,71.36056541245863,0.0,36.04729677813738,14913,0.09714114738022794,0.14680108088534866,1.7066865988624682,0.8538272275232935,0.844024506505812,0.8126335493671571,0.2215748151374333
1.4000000000000001,0,20000,15103,95.99999999999999,72.4944,72.32669146160576,0.0,33.444632652633416,15103,0.09124797688688553,0.14004216707503933,1.687722084963052,0.8669385074416466,0.8529279938251861,0.8267154755391168,0.20206706793772505
1.44,0,20000,15279,95.99999999999999,73.33919999999999,73.25493516651629,0.0,35.63305003273427,15279,0.08554784540959678,0.13322869827025197,1.6544795002328956,0.8841713788443522,0.8686684863425989,0.8387921520061355,0.21810931297545363
1.48,0,20000,15500,95.99999999999999,74.39999999999999,74.14678191515397,0.0,34.223462807726065,15500,0.08692018263757557,0.1362012212435193,1.6099726437714563,0.8996708436856405,0.8818331349833517,0.8579530412846261,0.1997219307629864
1.52,0,20000,15691,95.99999999999999,75.31679999999999,75.00365885258736,0.0,36.07867500695921,15691,0.08596923546620806,0.13313108247001915,1.5980774723223448,0.9171103869207559,0.8930561814367284,0.8671856115596117,0.2238137168053215
1.56,0,20000,15861,95.99999999999999,76.13279999999999,75.82693716472657,0.0,37.22105891362805,15861,0.08131775398028011,0.1275951316905747,1.5325252199011403,0.9300631206524144,0.9082738601899931,0.8778357989630874,0.2297928377194673
1.6,0,20000,16034,95.99999999999999,76.96319999999999,76.61793427251307,0.0,35.04567800469787,16034,0.08447408989274129,0.13278428427778488,1.4824493873637488,0.9443158941559601,0.9172190337223571,0.8948100858918681,0.20547531613420697
1.6400000000000001,0,20000,16198,95.99999999999999,77.7504,77.37791594007436,0.0,34.978898936206534,16198,0.08417529583433668,0.13066829565776947,1.4175793997505923,0.9621282834960968,0.9299010117931802,0.9056600343838807,0.20920806328789546
1.68,0,20000,16367,95.99999999999999,78.5616,78.10809830021662,0.0,35.96313369717104,16374,0.0803434460657383,0.12513180497178192,1.3143405616524928,0.9747901662567517,0.9382069120785372,0.9078265448023788,0.21893787058748493
1.72,0,20000,16513,95.99999999999999,79.2624,78.80964980049664,0.0,35.81334000019615,16513,0.08234295586724442,0.12805034702169854,1.1958681078755953,0.9846270723479245,0.9426718869588432,0.9287897885328793,0.21416871840615678
1.76,0,20000,16672,95.99999999999999,80.0256,79.48369307298714,0.0,37.62661076639748,16672,0.07499001890828437,0.11822108055886076,1.058238418053687,0.9935160130663204,0.9645224671886482,0.9398665644705803,0.2234627819519781
1.8,0,20000,16815,95.99999999999999,80.71199999999999,80.13130673072767,0.0,37.660146962331744,16815,0.07194882963048886,0.11435112567857483,0.913384402643697,1.01173395290848,0.9726262002526875,0.9448362437002361,0.24019375540581797
1.84,0,20000,16932,95.99999999999999,81.27359999999999,80.75352709373561,0.0,38.84777880227393,16932,0.07210896233344988,0.11444540835832714,0.7270656184876968,1.029468589076425,0.9936541502347676,0.9550557306285306,0.22913813871413807
1.8800000000000001,0,20000,17059,95.99999999999999,81.88319999999999,81.35134984733914,0.0,37.41192758675177,17061,0.07411125331611886,0.11605268002682977,0.254664545154846,1.041427998228897,1.0100273732991527,0.9693154388868368,0.2297555742913586
1.92,0,20000,17082,95.99999999999999,81.99359999999999,81.92573163548637,0.0,33.685882756265485,17096,0.0821025202688264,0.12738997807779906,0.2637906296928739,1.0621526132580985,1.0193382119244363,0.9861298589970559,0.20310491242890916
1.96,0,20000,17130,95.99999999999999,82.22399999999999,82.47759159157967,0.0,40.14450680835661,17130,0.07713515534508275,0.11955243198066962,0.23106307913370858,1.0821862891192748,1.0375497648255467,0.9817777431747369,0.24242916515747612
2.0,0,20000,17195,95.99999999999999,82.53599999999999,83.00781280928517,0.0,37.231856647869186,17204,0.08151015496675819,0.1260474749035322,0.23783896333404725,1.090138138197188,1.0545244053543734,1.0022534250576414,0.2159867289647763
