t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,92.0,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,92.0,3.887,3.6073715979862677,0.0,1.2980677047357525,845,0.5033962479302359,0.7817924682247777,1.1234386150533517,0.272101779882493,0.2689157237055076,0.2641794335064833,0.0026719084644553515
0.08,0,20000,1623,92.0,7.4658,7.07329613242951,0.0,2.0033427075066377,1623,0.5022166017179416,0.8313457170958882,1.2377613847848232,0.32399056355182393,0.31909746575206144,0.3169900729230607,0.004537368188572409
0.12,0,20000,2348,92.0,10.8008,10.403319822021512,0.0,2.301619344347916,2348,0.5073462024416545,0.8570108535607027,1.3379745914364567,0.36994398662183403,0.3654503610849063,0.36144828556085284,0.005168437817263521
0.16,0,20000,3046,92.0,14.0116,13.602771415108556,0.0,2.5662508317338926,3046,0.4993596756126735,0.8745007060721876,1.421163940216157,0.41319093826374265,0.40326189420223035,0.39996033497840067,0.0061256145442378195
0.2,0,20000,3692,92.0,16.9832,16.676770716825672,0.0,2.8567957011396086,3692,0.4888323376292789,0.8846189576710077,1.48293116136947,0.4490189609755132,0.4415240885468722,0.42834055542337596,0.006649392457612224
0.24,0,20000,4363,92.0,20.0698,19.63023678187709,0.0,3.092289250693898,4363,0.4723554171936291,0.8825777459764971,1.5451371446607163,0.4834837873893824,0.4715360726217471,0.4580787874856683,0.007454742042282952
0.28,0,20000,4936,92.0,22.7056,22.467895786073257,0.0,3.3012160225606566,4936,0.4470974507741746,0.8830274443196082,1.5961735335640816,0.5078617600609483,0.5029889809251938,0.48684984074222765,0.008127452583843706
0.32,0,20000,5534,92.0,25.4564,25.194288589220434,0.0,3.224966931563615,5534,0.43711161440904234,0.8727397988750265,1.6618167433758282,0.5358838424522593,0.5303448767564817,0.5153379609112682,0.0078090981505671555
0.36,0,20000,6074,92.0,27.9404,27.813778001465145,0.0,2.9680072561780806,6074,0.44307003348071694,0.869969865805196,1.703802118116153,0.565003603251697,0.5598489368433807,0.5434160897211604,0.007017775041152998
