t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,5,20000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.000396235619960228,0.0,0.0,0.0,0
0.02,5,20000,403,10.0,0.2015,0.19801326693244747,0.0,0.0034867330675525388,0.01760858310944409,0.000404274145717562,4.919158163996195e-05,0.01645066474853777,0.09607755770814948,403
0.04,5,20000,757,10.0,0.3785,0.39210560847676823,0.0,0.013605608476768227,0.034698836697650406,0.00034482187916418696,9.210706360639713e-05,0.021129106800891074,0.14059608210006413,757
0.06,5,20000,1137,10.0,0.5685,0.5823546641575128,0.0,0.013854664157512797,0.023790767053538095,0.0005187970599942071,8.863920352420616e-05,0.022595272930760062,0.1606837456443204,1137
0.08,5,20000,1476,10.0,0.738,0.7688365361336424,0.0,0.030836536133642456,0.040108052472004684,0.0005149406035962299,0.00013131286127888346,0.03736666226826518,0.15982991321385057,1476
0.1,5,20000,1856,10.0,0.928,0.9516258196404048,0.0,0.023625819640404777,0.024826795524875916,0.0004118058768228063,0.00012028711463228489,0.03705527114709863,0.16626508435175025,1856
0.12,5,20000,2217,10.0,1.1085,1.1307956328284252,0.0,0.02229563282842517,0.019716765948819392,0.00039721581231338135,0.00011856156417352817,0.03540322916049529,0.17184935606444932,2217
0.14,5,20000,2587,10.0,1.2935,1.3064176460119414,0.0,0.012917646011941342,0.009887837975378408,0.00040603868827228016,0.00010887628936157099,0.03863964511052263,0.17053467615905904,2587
0.16,5,20000,2927,10.0,1.4635,1.4785621103378865,0.0,0.015062110337886514,0.010186998728409499,0.00037379553883172187,0.00011698760981990335,0.03746143402040712,0.1613359982905528,2927
0.18,5,20000,3284,10.0,1.6420000000000001,1.64729788588728,0.0,0.005297885887279863,0.003216106772592788,0.00041975055683260345,0.00014015738804932446,0.03751359232267178,0.15395327563474903,3284
0.2,5,20000,3636,10.0,1.818,1.8126924692201818,0.0,0.00530753077981827,0.0029279819218874805,0.00044032946593582534,0.00016233671730970893,0.04104571006427299,0.15218968280443113,3636
0.22,5,20000,3965,10.0,1.9825000000000002,1.974812020375215,0.0,0.0076879796247850685,0.003893018447054191,0.0005224172829464113,0.00022217794634565426,0.03580481131047452,0.14198222448440662,3965
0.24,5,20000,4271,10.0,2.1355,2.1337213893344664,0.0,0.001778610665533531,0.0008335721216575052,0.0006331744518134943,0.0001987394878425879,0.040619693059116925,0.14209572926260503,4271
0.26,5,20000,4575,10.0,2.2875,2.2894841419643375,0.0,0.0019841419643373825,0.0008666327614896792,0.0006212524709403918,0.00018223834552225023,0.048775501700788516,0.14544775062890833,4575
0.28,5,20000,4877,10.0,2.4385,2.4421625854427456,0.0,0.0036625854427456694,0.0014997303883769353,0.0006442284524906327,0.00017824652854198913,0.039615352130208226,0.13256730258761293,4877
0.3,5,20000,5184,10.0,2.592,2.5918177931828215,0.0,0.00018220681717862064,7.030078181339507e-05,0.0005751639708530043,0.00018020608743933892,0.029895423103115708,0.11799071899176859,5184
0.32,5,20000,5521,10.0,2.7605,2.7385096292630906,0.0,0.021990370736909348,0.00803005054352384,0.000541802104551326,0.00020339784387463414,0.04075593004309196,0.1183563857058546,5521
0.34,5,20000,5801,10.0,2.9005,2.8822967723739037,0.0,0.018203227626096385,0.006315528574493017,0.000492043755664385,0.00021030574046909396,0.039369603919848555,0.11172352364621257,5801
0.36,5,20000,6069,10.0,3.0345,3.0232367392896897,0.0,0.011263260710310252,0.00372556358684519,0.0004984601898781252,0.00017427914499718592,0.03880183639047793,0.10821660327091491,6069
0.38,5,20000,6317,10.0,3.1585,3.1613859078764417,0.0,0.002885907876441607,0.0009128616247866182,0.0005611722422647062,0.0002203597462571504,0.03805003295819569,0.10327812676741714,6317
0.4,5,20000,6589,10.0,3.2945,3.2967995396436067,0.0,0.0022995396436065185,0.0006975066624327135,0.0005798028971969831,0.0002259644548871942,0.04348404633665289,0.09975171379470105,6589
0.42,5,20000,6879,10.0,3.4395000000000002,3.4295318018494325,0.0,0.009968198150567709,0.002906576969250494,0.0005928291871390818,0.00026187013317171604,0.04034920163342522,0.09572544681623148,6879
0.44,5,20000,7159,10.0,3.5795,3.559635789168587,0.0,0.019864210831412876,0.00558040541446868,0.0005985704003026918,0.0003452636569204689,0.04105619366386752,0.09383012749579392,7159
0.46,5,20000,7437,10.0,3.7185,3.6871635449307405,0.0,0.03133645506925964,0.00849879716139585,0.0006750578762191185,0.0003653015563024136,0.03945048018527315,0.08984276523132823,7437
0.48,5,20000,7706,10.0,3.853,3.8121660819385914,0.0,0.04083391806140879,0.010711474050113688,0.0005881435469049181,0.0004005484082828136,0.040811535600770305,0.08691295691170614,7706
0.5,5,20000,7939,10.0,3.9695,3.9346934028736658,0.0,0.03480659712633427,0.008846076062982088,0.0005098010072363077,0.00038677835001456947,0.039235650590253364,0.08355052852339252,7939
0.52,5,20000,8175,10.0,4.0875,4.054794520298057,0.0,0.03270547970194304,0.008065878440503304,0.0005634912260495972,0.0003769647392864089,0.04141971727470937,0.08398570791347254,8175
0.54,5,20000,8460,10.0,4.23,4.172517476260103,0.0,0.05748252373989704,0.013776460869714457,0.0005605976792393139,0.00041849230138336143,0.03447167690441502,0.07874282613236162,8460
0.56,5,20000,8647,10.0,4.3235,4.2879093615118515,0.0,0.035590638488148585,0.008300231065425288,0.0004991612622077784,0.0004067859037344498,0.0329216129011451,0.07719444118874894,8649
0.58,5,20000,8848,10.0,4.424,4.40101633434598,0.0,0.02298366565402077,0.005222354090043679,0.00047420641850593056,0.0003890268617272583,0.03757466915755737,0.07762529053539459,8848
0.6,5,20000,9107,10.0,4.5535,4.511883639059736,0.0,0.041616360940263775,0.009223722123502394,0.0004830109089872134,0.0004224381901647351,0.03727421665765073,0.076375110847854,9107
