t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.0,4,80000,0,10.0,0.0,0.0,0.0,0.0,0.0,0.00032547716986176123,0.0,0.0,0.0,0
0.02,4,80000,1622,10.0,0.20275,0.19801326693244747,0.0,0.00473673306755254,0.023921291441388538,0.0004519125017731368,3.397516736080152e-05,0.011287501919069614,0.08753535991523995,1622
0.04,4,80000,3206,10.0,0.40075,0.39210560847676823,0.0,0.008644391523231765,0.02204607977124595,0.00035521464908099725,4.7726728857185215e-05,0.015260471089145461,0.13769930303980601,3206
0.06,4,80000,4745,10.0,0.593125,0.5823546641575128,0.0,0.010770335842487211,0.01849446137444191,0.00023690407582866775,5.095650702895763e-05,0.012152312806183757,0.153669189381052,4745
0.08,4,80000,6301,10.0,0.787625,0.7688365361336424,0.0,0.018788463866357574,0.024437527332977427,0.00017039712342098017,9.281310804372316e-05,0.020099540217307456,0.16547280972325887,6301
0.1,4,80000,7731,10.0,0.966375,0.9516258196404048,0.0,0.01474918035959516,0.015498928313198249,0.00012933117556907433,8.098024637516133e-05,0.012340605175053991,0.16529459031775517,7731
0.12,4,80000,9158,10.0,1.14475,1.1307956328284252,0.0,0.013954367171574722,0.012340308687495619,0.00011127678630715738,6.15143442029319e-05,0.016943075520258647,0.16345582905070827,9158
0.14,4,80000,10554,10.0,1.31925,1.3064176460119414,0.0,0.012832353988058598,0.009822551025111691,0.00013546210572614112,5.874977081432533e-05,0.017446706621061025,0.1600202765270328,10554
0.16,4,80000,11893,10.0,1.486625,1.4785621103378865,0.0,0.008062889662113548,0.005453196457381819,0.00012880472083659822,6.20882413663259e-05,0.014936940899306497,0.15368215754347586,11893
0.18,4,80000,13192,10.0,1.649,1.64729788588728,0.0,0.0017021141127200323,0.0010332764506664966,0.00013883831251952847,7.014479657875916e-05,0.01819466245442392,0.1459501622290847,13192
0.2,4,80000,14626,10.0,1.82825,1.8126924692201818,0.0,0.01555753077981814,0.008582553877167578,0.00014583291762065287,5.804849737739352e-05,0.016827837288076516,0.13971743814922544,14626
0.22,4,80000,15858,10.0,1.98225,1.974812020375215,0.0,0.007437979624784985,0.003766424119381128,0.00020445201868419984,6.905619710189624e-05,0.01893666070377427,0.13618038496735113,15858
0.24,4,80000,17062,10.0,2.13275,2.1337213893344664,0.0,0.0009713893344662772,0.00045525593890646864,0.0002482568668598524,6.647947619182233e-05,0.019548542171224557,0.13341336185275252,17062
0.26,4,80000,18401,10.0,2.300125,2.2894841419643375,0.0,0.010640858035662504,0.004647709866438661,0.00024411394249468853,9.40210630691064e-05,0.020360375883858542,0.1272722451703355,18401
0.28,4,80000,19613,10.0,2.451625,2.4421625854427456,0.0,0.009462414557254384,0.0038746046695080786,0.00023361987939136278,0.00010917307303002324,0.01878408667873081,0.1188248962117253,19613
0.3,4,80000,20774,10.0,2.59675,2.5918177931828215,0.0,0.004932206817178653,0.0019029913407306966,0.0002669465404575672,9.376428906740495e-05,0.018125725753432992,0.1160400325831071,20774
