t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,104.0,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,104.0,4.394,4.07789832815839,0.0,1.4820458179858884,845,0.4988738708398756,0.7770496224172346,1.1207977068900463,0.2703427964381506,0.26725461786577553,0.2623836839345129,0.0030522264853394855
0.08,0,20000,1623,104.0,8.4396,7.995899975789881,0.0,2.33438701239213,1623,0.48814691127424326,0.8166885179114958,1.2290521699584702,0.31823277495043306,0.3133776122974732,0.3110116297410368,0.005276132252169236
0.12,0,20000,2348,104.0,12.2096,11.760274581415622,0.0,2.7521618729081587,2348,0.4831372843717939,0.8297929564958051,1.3225729923219862,0.3587594317352562,0.3542518504374622,0.3498255459450521,0.006151014843341155
0.16,0,20000,3046,104.0,15.8392,15.37704594751402,0.0,3.148651710193185,3046,0.4632391514017069,0.827808778470638,1.3986693223125461,0.39526683154061687,0.38529127472865904,0.38171063375602926,0.007384085444332777
0.2,0,20000,3692,104.0,19.1984,18.85200167988989,0.0,3.6415022006198234,3692,0.4370382792061337,0.8165455397918321,1.45168065298333,0.42319488737504113,0.4154614735630665,0.4022536287379509,0.008314978020280531
0.24,0,20000,4363,104.0,22.6876,22.19070244907845,0.0,4.130058397681372,4363,0.40979291894156117,0.7874342091201408,1.5088140001490173,0.44836393396680146,0.43656064918811516,0.42310498558601267,0.009837934521833906
0.28,0,20000,4936,104.0,25.667199999999998,25.398490888604552,0.0,4.580581407074352,4936,0.36729843923778954,0.745646390109179,1.5445363840743591,0.46268173418046765,0.45764001743544647,0.44130845782202155,0.011010145051857155
0.32,0,20000,5534,104.0,28.776799999999998,28.48050014433614,0.0,4.768675124453548,5534,0.34241412233434654,0.6943748747881877,1.5991599655304234,0.4781056631881578,0.4740367363005067,0.45757385689616703,0.011258231495216873
0.36,0,20000,6074,104.0,31.584799999999998,31.441662088612773,0.0,4.70574112640618,6074,0.3333878954633,0.6590073485762677,1.6348709793302734,0.495927598023189,0.49086911914755993,0.47335945828198495,0.011024956749935961
0.4,0,20000,6626,104.0,34.4552,34.28671521229351,0.0,5.8659744377522465,6626,0.3131299096248476,0.613242970483526,1.6627226009268097,0.5093253624677923,0.5072558058130611,0.49305875819154865,0.013548766858695254
0.44,0,20000,7162,104.0,37.242399999999996,37.0202122073533,0.0,6.433186577942532,7162,0.2857446696797755,0.5530158456098812,1.680487056446127,0.52762633201657,0.5155387408570956,0.5015145156293528,0.014892212861988578
0.48,0,20000,7678,104.0,39.925599999999996,39.646527252161356,0.0,6.568426420130389,7678,0.261724721080416,0.49146936180330947,1.7138916301288885,0.5362558798288499,0.5266199732093256,0.5119440382227989,0.0159429620542588
0.52,0,20000,8138,104.0,42.3176,42.16986301109979,0.0,7.578644293251784,8138,0.2348083959608513,0.4374990015156839,1.7311991955874022,0.5445194341666016,0.5330563971597773,0.5198479682109362,0.01797174102556101
0.56,0,20000,8571,104.0,44.569199999999995,44.59425735972325,0.0,8.039711609148538,8571,0.21982793332960957,0.3950010285843678,1.7339259769106594,0.5472907845175945,0.5436900985869395,0.5232574872738711,0.019183908840989642
0.6,0,20000,9073,104.0,47.1796,46.923589846221255,0.0,8.7168832988854,9073,0.2035468860184118,0.3579444413610029,1.7548861496498396,0.5591999828838886,0.5541290460730843,0.5363128195704715,0.02106856652632304
0.64,0,20000,9510,104.0,49.452,49.16158789952295,0.0,8.75471227030017,9510,0.19379418233961518,0.3340561958928906,1.7576555407569872,0.5683379222298781,0.561583973613998,0.5497902925078305,0.021664347736494016
0.68,0,20000,9935,104.0,51.662,51.31183279397869,0.0,9.209511132603883,9935,0.18526096205111667,0.3218949958470154,1.7584774365198776,0.5850090251941412,0.5727140668193977,0.5572070383498939,0.022595536810193554
0.72,0,20000,10318,104.0,53.6536,53.37776538016294,0.0,8.740316441939322,10321,0.18666813121671125,0.31746235543092716,1.7584998021255758,0.5992975594008755,0.5850352063725852,0.5689028275772211,0.021190031601766846
0.76,0,20000,10651,104.0,55.3852,55.36269159096944,0.0,8.677495113161344,10651,0.18931806457059325,0.3209714977655197,1.7700351889003227,0.6124716301058272,0.5945011559703702,0.5889094157349425,0.020918702306858328
0.8,0,20000,10966,104.0,57.023199999999996,57.26978773180896,0.0,8.57772643664078,10966,0.19374684749883705,0.3245666953573837,1.7602506532037203,0.6268851799504914,0.6064445178211904,0.6031981647614686,0.020488867863083668
0.84,0,20000,11330,104.0,58.916,59.102105563375716,0.0,9.587153430500912,11330,0.18274711505319627,0.31333036181399987,1.7542890142610694,0.6366651135007872,0.6195854706030657,0.6128954608443342,0.02342541930757881
0.88,0,20000,11661,104.0,60.6372,60.86257718511554,0.0,9.856352542404844,11661,0.1737398097393235,0.2937190826222702,1.728663703859809,0.6406189114098717,0.6287805409204934,0.6248499566482025,0.024249611970756237
0.92,0,20000,11974,104.0,62.264799999999994,62.55401972721054,0.0,9.769206502288718,11974,0.17228571701797182,0.2884567168879,1.6996809253096494,0.6574685862890775,0.6418741451174044,0.6361706891716888,0.02405159527019199
0.96,0,20000,12343,104.0,64.1836,64.17913985858836,0.0,10.524282679017523,12343,0.16706838920405245,0.2778881344712064,1.6857564782669947,0.6675142237218192,0.6595718497700876,0.6508999388704938,0.02638314164717492
1.0,0,20000,12668,104.0,65.8736,65.74053811817,0.0,10.393908188132608,12668,0.16631759595746937,0.27669259898692755,1.647903183479752,0.6735270035233402,0.6653474774490673,0.6600946763395159,0.025560735664023265
1.04,0,20000,12882,104.0,66.9864,67.24071307628687,0.0,10.137566635562823,12882,0.16819545842843714,0.2780151302981188,1.6157943059384583,0.6895855529141881,0.6761811806300633,0.672618661357578,0.02523099655072677
1.08,0,20000,13174,104.0,68.5048,68.68206533292633,0.0,10.631612140348446,13174,0.16344932860487538,0.2699433145543537,1.5727797863033237,0.7003848210488174,0.6870869086543904,0.6811179941018982,0.026340630856435735
1.12,0,20000,13454,104.0,69.96079999999999,70.0669013592039,0.0,10.530535660344892,13455,0.1592093401508229,0.26373491769293034,1.5265271745481461,0.711010484350101,0.700180607624827,0.6914578216337176,0.026379778158701465
1.16,0,20000,13752,104.0,71.51039999999999,71.39743718820905,0.0,10.65403257258824,13752,0.15867239764552257,0.26299090558649496,1.4648352880983746,0.7176219296839041,0.7117071776325188,0.7031879085643441,0.02687197578802452
1.2,0,20000,13999,104.0,72.7948,72.67580196113099,0.0,10.337862451130126,13999,0.16146625846351026,0.26200231852599865,1.3987099838574635,0.733964195526594,0.7262492170102297,0.714909971552297,0.026011679142816286
1.24,0,20000,14257,104.0,74.1364,73.90404133433873,0.0,10.432580742123175,14257,0.1654825615371252,0.26885087899803345,1.295575952743382,0.7460233771163556,0.7345157176823307,0.7208486473252894,0.02578752557404622
1.28,0,20000,14481,104.0,75.3012,75.0841207528678,0.0,10.612813916316176,14481,0.16166137549762474,0.2651634391048606,1.1980900315296246,0.7562252635004836,0.7512690680911668,0.7323441883459636,0.026318668480808445
1.32,0,20000,14672,104.0,76.2944,76.21792859555157,0.0,10.48324960991098,14672,0.16365858501895986,0.2666064519271693,1.0119208480234085,0.7729327276944994,0.7677978939468267,0.7450331787832559,0.025931945396140195
1.36,0,20000,14913,104.0,77.5476,77.3072791968302,0.0,11.262098403250384,14913,0.15386759330829738,0.25315095040473545,0.7788565431799747,0.7885641090234022,0.7765174244643586,0.7497799810681848,0.0283464283512478
