t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,0,20000,0,88.0,0.0,0.0,0.0,0.0,0,0.45264636635471217,0.6898061142379389,0.9701262422815995,0.20657284840854348,0.20204581388753645,0.19926185518345851,0.0
0.04,0,20000,845,88.0,3.7180000000000004,3.4505293545955604,0.0,1.5702159714908646,845,0.4985574518671688,0.7828756742425805,1.1250994232536573,0.27237671273743913,0.2691289126284137,0.26435173054069194,0.006523981160857051
0.08,0,20000,1623,88.0,7.1412,6.7657615179760535,0.0,2.443970171520123,1623,0.48910356010247363,0.8363892554773017,1.2428772483474313,0.3249362247144551,0.31997018333077226,0.31756671166465156,0.01027610334600939
0.12,0,20000,2348,88.0,10.3312,9.951001568890142,0.0,2.9569030652012067,2348,0.4820827880064875,0.8686906926080749,1.3438683789997283,0.37132999390799004,0.36650294466412253,0.36268325743817664,0.013427259620248225
0.16,0,20000,3046,88.0,13.4024,13.011346570973402,0.0,3.4808167005882176,3046,0.4631482601352314,0.8859072685153768,1.4285658260763754,0.41436216536939796,0.40415869558139145,0.40180669659670737,0.015606539236358302
0.2,0,20000,3692,88.0,16.2448,15.951693729137599,0.0,3.8014457995568853,3692,0.4182332410206054,0.8991889311809214,1.494187519852316,0.44875304360009877,0.4414025621496301,0.4292472012619506,0.01578697254711934
0.24,0,20000,4363,88.0,19.197200000000002,18.776748226143305,0.0,4.670505899970871,4363,0.3792312037805031,0.9011559407988017,1.5562723854097733,0.4812381133539934,0.4698649348916552,0.4568037245794777,0.020722499279535424
0.28,0,20000,4936,88.0,21.718400000000003,21.491030751896158,0.0,4.900536697124126,4936,0.33558566585322763,0.8844943333455177,1.6067793560202013,0.503174462677194,0.49817551958663936,0.48367346029316605,0.022183930271652597
0.32,0,20000,5534,88.0,24.349600000000002,24.0988847375152,0.0,5.633464429280258,5534,0.3009960554758863,0.851514390010762,1.6727899499280736,0.5261991045780939,0.5220032491255638,0.5082047498408733,0.02292009416456662
0.36,0,20000,6074,88.0,26.7256,26.60448330574927,0.0,5.962944703880985,6074,0.2823100631112792,0.8043491930033473,1.724055695466,0.5480219589881677,0.5450401585149154,0.5304777883324472,0.025241162389930946
0.4,0,20000,6626,88.0,29.154400000000003,29.01183594886374,0.0,8.358276237897691,6626,0.23841135414711193,0.7445331247258173,1.767854371224766,0.5676935284222927,0.5659776868622315,0.5531007016868423,0.03503755902421805
0.44,0,20000,7162,88.0,31.512800000000002,31.324794944683568,0.0,8.998234823928607,7162,0.2078266562903449,0.6183641358163146,1.8085689148255284,0.5910512912471803,0.5838671694954048,0.5674777996668074,0.037213465638137856
0.48,0,20000,7678,88.0,33.7832,33.547061521059604,0.0,10.423016588721545,7678,0.17756711850308068,0.4506537202221792,1.8508269146746485,0.6062036286689938,0.6001642303682223,0.5845101585227933,0.04308800623259895
0.52,0,20000,8138,88.0,35.8072,35.68219177862291,0.0,11.432004447084461,8138,0.15481677740863228,0.33279259637069275,1.8858331432074311,0.6207945009983508,0.6143955887282176,0.5995054664599695,0.04899652453463557
0.56,0,20000,8571,88.0,37.7124,37.733602381304294,0.0,13.31537185643586,8571,0.14015350012673944,0.277436016674529,1.9145522295817399,0.6374192311083265,0.6282419277570902,0.6091683100174144,0.05463687940761498
0.6,0,20000,9073,88.0,39.9212,39.70457602372568,0.0,14.599293664927858,9073,0.13129256581311982,0.2467883308993029,1.9633319116355543,0.6577073024662224,0.6463784881908498,0.6322204215947589,0.060901800756436905
0.64,0,20000,9510,88.0,41.844,41.59826668421173,0.0,14.081043656520702,9510,0.1270978905486969,0.23014383345019893,1.9886643228725498,0.6702075245983156,0.6625061073106643,0.652691298536629,0.059936313373812326
0.68,0,20000,9935,88.0,43.714000000000006,43.41770467182812,0.0,15.830207434447463,9935,0.12223538175955444,0.21923175654607985,2.0124825369920876,0.6909277274409416,0.6810743998786551,0.6696545758868389,0.06746756525565027
0.72,0,20000,10318,88.0,45.3992,45.165801475522485,0.0,14.471004079050642,10321,0.12541387593066874,0.22249143463591373,2.0381052366359045,0.7142309117063299,0.6974659334358031,0.6857210182786976,0.06198258412733668
0.76,0,20000,10651,88.0,46.8644,46.845354423127986,0.0,13.917799369884404,10651,0.12696590550274495,0.22866442576023152,2.060817595993455,0.7345923560829691,0.7186756172100892,0.7085695750375486,0.05947686394819775
0.8,0,20000,10966,88.0,48.250400000000006,48.4590511576845,0.0,14.348054027181519,10966,0.12959958151161227,0.22520334537465336,2.091531735729984,0.7527233095520933,0.7392043920740923,0.7252741510774605,0.058756338284090576
0.84,0,20000,11330,88.0,49.852000000000004,50.00947393824099,0.0,16.40037750384828,11330,0.1202070096619268,0.21105022449340263,2.1191426310648134,0.7712034499865927,0.7561736251330666,0.7439447648763376,0.06813888763430577
0.88,0,20000,11661,88.0,51.308400000000006,51.499103772020845,0.0,15.229062250200874,11661,0.12197006368153068,0.21239782055496204,2.132599159693438,0.7842158254254123,0.7760272126136003,0.7603842520199177,0.06525852956403533
0.92,0,20000,11974,88.0,52.6856,52.93032438456276,0.0,15.858126938624157,11974,0.12357732671092184,0.2117656742382008,2.1486950783831134,0.8055301980237779,0.7965741539077863,0.7774627360272779,0.06556955685556234
0.96,0,20000,12343,88.0,54.309200000000004,54.30542603419015,0.0,16.501070706602935,12343,0.1173293065931368,0.20014384023767617,2.164069632307203,0.821532597436079,0.8184401234192237,0.7960779737134765,0.06891239301638023
1.0,0,20000,12668,88.0,55.739200000000004,55.62660917691308,0.0,17.69975873296876,12668,0.11132264671945925,0.1891407805962014,2.1664225883696826,0.8317279053143664,0.8302644648328921,0.8131664501730503,0.0772106993688559
1.04,0,20000,12882,88.0,56.680800000000005,56.89598798762734,0.0,16.318963315493264,12882,0.11296433580021994,0.19314779696147033,2.1690616257249973,0.8486379821102978,0.8431352055888561,0.8320007199673277,0.06886602519473534
1.08,0,20000,13174,88.0,57.9656,58.115593743245356,0.0,18.40851021058729,13174,0.10861655066202121,0.18521866741138301,2.183060794584316,0.8632509003333776,0.8557126977019548,0.8510234039213285,0.07665272583930484
1.12,0,20000,13454,88.0,59.1976,59.287378073172526,0.0,16.948042473954438,13455,0.10808105948319646,0.17966820162626757,2.207904176064085,0.8764537238588921,0.8752775043307829,0.8684669659089405,0.07159641650394313
1.16,0,20000,13752,88.0,60.5088,60.413216082330734,0.0,18.62446361176754,13752,0.10618671701012221,0.17703403892744043,2.2100452913647817,0.8950111401312301,0.8906293767463939,0.8812610421757148,0.0798969784528331
1.2,0,20000,13999,88.0,61.595600000000005,61.494909351726214,0.0,17.001587722454218,13999,0.11318018047886044,0.18827993691530429,2.2283992441544824,0.9191220566911631,0.9068694804008662,0.9008664226569267,0.07097336583779001
1.24,0,20000,14257,88.0,62.7308,62.53418882136354,0.0,16.926613757142732,14257,0.11678721060774261,0.19398015515988723,2.2366705952631665,0.929446629177361,0.9202273613787261,0.9136917339647023,0.06824731700094215
1.28,0,20000,14481,88.0,63.71640000000001,63.53271756011891,0.0,17.33885808274813,14481,0.11302977513021169,0.187246917713893,2.2488191250715324,0.9517925391730666,0.9391471675357576,0.9302103259147296,0.07377353124906279
1.32,0,20000,14672,88.0,64.55680000000001,64.49209342700517,0.0,16.783358680114663,14672,0.11886181348221062,0.1959131185155487,2.248491356496296,0.9747432342005414,0.9611786713258827,0.9496495807329121,0.06832802000771185
1.36,0,20000,14913,88.0,65.6172,65.41385162808709,0.0,18.051355431253015,14913,0.11265534478289412,0.1867892751284474,2.2690959191487163,0.995769792361335,0.9797715468219912,0.9587094242072023,0.07494536014509874
1.4000000000000001,0,20000,15103,88.0,66.45320000000001,66.29946717313864,0.0,17.27865858739068,15103,0.1093723740703588,0.18053402659053153,2.2790462368751143,1.010622459533922,0.9994628262095004,0.970118882734626,0.07164565846525842
1.44,0,20000,15279,88.0,67.22760000000001,67.15035723597329,0.0,18.161293000032913,15279,0.10496057131091412,0.17606395132489427,2.2701473871320297,1.032236021447197,1.0185375548547395,0.9831104878977298,0.07646307107377563
1.48,0,20000,15500,88.0,68.2,67.96788342222447,0.0,17.99736082068515,15500,0.10801461581571835,0.17960987819907126,2.2831399298396726,1.0542383532899717,1.0380653153419186,1.004599364679219,0.07397200262328905
1.52,0,20000,15691,88.0,69.0404,68.7533539482051,0.0,18.41995976476211,15691,0.10399305482784102,0.17306318191622683,2.3132906705882816,1.0720695710294192,1.04984412897173,1.0219759395995465,0.07674953750146683
1.56,0,20000,15861,88.0,69.78840000000001,69.5080257343327,0.0,18.60491909991762,15861,0.10234718554230778,0.17036659935167853,2.3169468460368523,1.0938349963365752,1.0664070632320648,1.0409966429388686,0.07702901503483173
1.6,0,20000,16034,88.0,70.5496,70.23310641647033,0.0,18.3747294954761,16034,0.10457682119052553,0.174435224280729,2.325128614363724,1.1083817327924268,1.0831186681990794,1.057794964467845,0.07733981792530124
1.6400000000000001,0,20000,16198,88.0,71.27120000000001,70.92975627840151,0.0,19.28063272302066,16198,0.10399208314464484,0.17293166850930375,2.3251748573355426,1.1247865090986597,1.097504028984687,1.075737230953449,0.07992360892627849
1.68,0,20000,16367,88.0,72.01480000000001,71.59909010853193,0.0,19.63759581931716,16374,0.10052516683938206,0.16570473802239577,2.329195669419803,1.142532922200328,1.1111573706421707,1.0834186397528416,0.08246202553341861
1.72,0,20000,16513,88.0,72.6572,72.24217898378859,0.0,18.203138512524166,16513,0.10716746022241033,0.1752660514690192,2.33384135916133,1.1518132456541283,1.1252451446422356,1.1045988736189127,0.07446365704534108
1.76,0,20000,16672,88.0,73.3568,72.86005198357155,0.0,18.775936050824445,16672,0.10347783782719701,0.17083297298116495,2.325878756241212,1.168581167511397,1.1439692570028361,1.1189246508376676,0.07746044448312388
