t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,4,100000,0,96.0,0.0,0.0,0.0,0.0,0,0.4500767448708693,0.6913455057801423,0.9692323584315014,0.20380394380616132,0.2027280698624528,0.2002020090544247,0.0
0.04,4,100000,4018,96.0,3.8572800000000003,3.764213841376975,0.0,1.6366096211474872,4018,0.49362804895851176,0.783341475529121,1.1250119924316428,0.2707392965973636,0.26984359131896596,0.26528109613419587,0.005837436119363066
0.08,4,100000,7692,96.0,7.38432,7.3808307468829675,0.0,2.1402722159159207,7692,0.49355879991188767,0.8267252232903799,1.241133585359079,0.3216869882604649,0.31983224509162644,0.31521042018696865,0.007494290239433487
0.12,4,100000,11392,96.0,10.93632,10.855638075152882,0.0,2.667640686684447,11392,0.4771142792903902,0.8541573478179894,1.3340741892691221,0.36346551549297934,0.36137255176962835,0.3586152255376596,0.010125606102971517
0.16,4,100000,14876,96.0,14.28096,14.19419625924371,0.0,3.167762384567872,14876,0.4501185133640884,0.8712234344490759,1.4123817806379193,0.4010014367078913,0.39936729610691657,0.3964486114524102,0.012203695803038098
0.2,4,100000,18151,96.0,17.42496,17.401847704513745,0.0,3.459967331247762,18151,0.42993073685638783,0.8744476162534287,1.4830509032142516,0.4351789717262652,0.4332384029905413,0.4313817405950767,0.013522410349988509
0.24,4,100000,21351,96.0,20.49696,20.483725337610878,0.0,3.9342604470561042,21351,0.40455448961632995,0.8721583932181396,1.5465506544479901,0.46695927424199124,0.4647103345566157,0.4627798186355433,0.01515614889131129
0.28,4,100000,24397,96.0,23.421120000000002,23.444760820250355,0.0,4.740641599331466,24397,0.3713978937065766,0.8657582861620561,1.6028305465085508,0.49552856157428815,0.4935236160426343,0.4916013915340001,0.019770620014706128
0.32,4,100000,27312,96.0,26.21952,26.28969244092567,0.0,5.035933447677447,27312,0.33327898884946716,0.8456690771208337,1.660087465735879,0.5225417230752116,0.5201524916685789,0.5170579460012175,0.020381183570081902
0.36,4,100000,30080,96.0,28.8768,29.02307269718102,0.0,6.383716264781354,30080,0.2883387809549406,0.8088730940107355,1.7086595886191285,0.5458046479702066,0.5419742296316445,0.5390267755366661,0.02518699541976464
