t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,4,100000,0,88.0,0.0,0.0,0.0,0.0,0,0.4500767448708693,0.6913455057801423,0.9692323584315014,0.20380394380616132,0.2027280698624528,0.2002020090544247,0.0
0.04,4,100000,4018,88.0,3.5358400000000003,3.4505293545955604,0.0,1.4840439252738955,4018,0.4971256507604526,0.7866099410006363,1.1265492953664757,0.2718666432864433,0.2710399342124275,0.26644869088998757,0.0052780881834163735
0.08,4,100000,7692,88.0,6.76896,6.7657615179760535,0.0,1.8975255741507804,7692,0.504697249551821,0.8364324768857075,1.2457121242929337,0.3255249762010951,0.32374300917090715,0.31912828018166367,0.006638717638581705
0.12,4,100000,11392,88.0,10.02496,9.951001568890142,0.0,2.287245027407391,11392,0.4987653886587332,0.8723738991483413,1.3431360534677543,0.3712155560577493,0.36901496281665813,0.36629631373546406,0.008736269986231542
0.16,4,100000,14876,88.0,13.09088,13.011346570973402,0.0,2.5787850585558862,14876,0.48728049617549984,0.900133392340006,1.426370183868095,0.41360678699088005,0.4118801627282125,0.408972274808442,0.009912860805012398
0.2,4,100000,18151,88.0,15.97288,15.951693729137599,0.0,2.7122151172008957,18151,0.4825502431714787,0.9181073509430753,1.5029164813308178,0.4535467946569894,0.45163859698557457,0.44967351129936894,0.010759405957308779
0.24,4,100000,21351,88.0,18.78888,18.776748226143305,0.0,2.9079992007557,21351,0.47405253197168556,0.9340020374444714,1.5716437271649053,0.49234685403407963,0.4899947116406809,0.48794746613280826,0.011304108511099012
0.28,4,100000,24397,88.0,21.46936,21.491030751896158,0.0,3.205447527877798,24397,0.46473540357191134,0.9497292110448541,1.6345050536893686,0.5291699529741186,0.5270619613380606,0.5251641342011376,0.013739022840155197
0.32,4,100000,27312,88.0,24.034560000000003,24.0988847375152,0.0,3.081961392409089,27312,0.4544429503966245,0.9618601213727958,1.6990169397175654,0.5662591414185769,0.5640949022812345,0.5605961169218596,0.012784814969478515
0.36,4,100000,30080,88.0,26.4704,26.60448330574927,0.0,3.521850354079131,30080,0.43853136644894286,0.9738723698845928,1.7553407390127516,0.6017802531965588,0.5982992964906574,0.5942394024666938,0.014496422009860342
0.4,4,100000,32913,88.0,28.963440000000002,29.01183594886374,0.0,3.959316108699015,32913,0.4084505852791852,0.978627518712295,1.8057500061187601,0.6335259193112552,0.628887835801701,0.6272277213675327,0.01655576866514592
0.44,4,100000,35659,88.0,31.379920000000002,31.324794944683568,0.0,3.995732513979506,35659,0.3917730120350716,0.9817722123000965,1.8585810546467878,0.6661397956459228,0.6601006251145964,0.6590836467443895,0.016487288262217726
0.48,4,100000,37992,88.0,33.43296,33.547061521059604,0.0,4.270000824919144,37992,0.3692665191636724,0.9756963343942766,1.9114398258568808,0.6993142177906226,0.6903349548721055,0.6873379630705927,0.017781782684121155
0.52,4,100000,40410,88.0,35.5608,35.68219177862291,0.0,4.639033641294758,40410,0.3522485125925327,0.9689053407989818,1.961575676306306,0.730915288482712,0.719868920507645,0.7181069364258393,0.019050446175775854
0.56,4,100000,42806,88.0,37.66928,37.733602381304294,0.0,5.460741958112917,42806,0.3228052422514667,0.9586176080762849,2.007714276566149,0.7594620468028785,0.7463351128952574,0.7444592453603093,0.02239218614078424
0.6,4,100000,44906,88.0,39.51728,39.70457602372568,0.0,5.620823707074115,44906,0.2996132805148505,0.9428302985019084,2.0487077556418067,0.7868753856779686,0.7724889444714846,0.7700967076282258,0.022907307059866037
0.64,4,100000,46999,88.0,41.359120000000004,41.59826668421173,0.0,6.40159845332565,46999,0.27133386689598576,0.9205021615037658,2.0876308306685276,0.8141346622445138,0.7966684716478696,0.7951648061309486,0.02604947933362558
0.68,4,100000,49053,88.0,43.16664,43.41770467182812,0.0,7.526749654212193,49053,0.23795482702540843,0.8884184024740447,2.1382265893010204,0.8362465306434883,0.823312564105156,0.8209458261055393,0.03112520115889435
0.72,4,100000,51051,88.0,44.92488,45.165801475522485,0.0,7.6367665642268205,51051,0.2224485915297201,0.8265762762064167,2.1802861778998217,0.8609569216766817,0.85001669652853,0.8477594260777637,0.031092845952314055
0.76,4,100000,52990,88.0,46.6312,46.845354423127986,0.0,8.766390940376318,52990,0.20372115244586836,0.7352280552107562,2.218270578285186,0.8821609877097886,0.8736039210966043,0.8720379289376275,0.03514462350960735
0.8,4,100000,54819,88.0,48.24072,48.4590511576845,0.0,9.395851373680387,54819,0.18764387322917828,0.5926630751627378,2.254643568960695,0.9039861220478714,0.8957055076682718,0.8912788217180055,0.038144502249994175
0.84,4,100000,56454,88.0,49.679520000000004,50.00947393824099,0.0,10.378713006817234,56454,0.17213969190104597,0.4633769535862738,2.294344360554927,0.9257572923299148,0.9214519668685857,0.9135694567910833,0.04191425902136433
0.88,4,100000,58150,88.0,51.172000000000004,51.499103772020845,0.0,10.497267848530585,58150,0.16622409023306223,0.3855509026830396,2.3294998595250207,0.9469547485033428,0.9452100547805152,0.9362467585042592,0.04180264697624094
0.92,4,100000,59668,88.0,52.50784,52.93032438456276,0.0,11.22925219379707,59668,0.15650258090699384,0.33841376203301976,2.369109711334831,0.9712922917868816,0.967845559049782,0.9570340114435024,0.04569529671278634
0.96,4,100000,61269,88.0,53.916720000000005,54.30542603419015,0.0,12.255974585717302,61269,0.147778282298126,0.3070892756325855,2.401575272385942,0.9963812175972513,0.9909771789579412,0.9791137689551459,0.05002535380595971
1.0,4,100000,62624,88.0,55.109120000000004,55.62660917691308,0.0,12.669428444104753,62624,0.14017832086464063,0.2825744912857982,2.432161803198644,1.017111559232383,1.0117262395290898,0.9990123970921752,0.052455968419344655
1.04,4,100000,64129,88.0,56.43352,56.89598798762734,0.0,13.280905169584747,64129,0.13342359803785592,0.2609356784938698,2.4635299457825983,1.0402088148481563,1.0331342469998308,1.0191225148250866,0.05536405579081035
1.08,4,100000,65505,88.0,57.644400000000005,58.115593743245356,0.0,13.612795805000223,65505,0.12834184549121352,0.24695869266309456,2.492630564323065,1.0647240634951665,1.0559918157729815,1.0432169267191078,0.05763098308895322
1.12,4,100000,66818,88.0,58.79984,59.287378073172526,0.0,13.648425539431079,66818,0.12850194284173885,0.24481122450574838,2.5262697442104387,1.0874545138787424,1.079727143904654,1.0693854761553154,0.05695794198908585
1.16,4,100000,68118,88.0,59.94384,60.413216082330734,0.0,14.09331390836522,68118,0.12516632731810995,0.23514939147896186,2.5542583616041856,1.1118036616106894,1.1028006843004632,1.0898659621851505,0.05939677145668958
1.2,4,100000,69390,88.0,61.0632,61.494909351726214,0.0,14.053982822907694,69390,0.12446626756893071,0.23057073567920727,2.5838454832177784,1.1323610687154948,1.1246940799351854,1.1102739357674858,0.05892987743912
1.24,4,100000,70726,88.0,62.23888,62.53418882136354,0.0,14.773399860728343,70726,0.12013383432191233,0.21976080011775656,2.6088719708782206,1.1516220623808648,1.141076516661905,1.1346947617752021,0.0631001892949211
1.28,4,100000,71892,88.0,63.26496,63.53271756011891,0.0,14.537126333434104,71892,0.11823457346379751,0.21492406477505716,2.63883542723829,1.176162226866946,1.1646449190498689,1.1544851802303022,0.062225982925582735
1.32,4,100000,72984,88.0,64.22592,64.49209342700517,0.0,14.43712635765098,72984,0.12166457845052267,0.22127768677516352,2.6597968375597634,1.1980942222801567,1.1872004335776094,1.1789057504031897,0.06032841565799101
1.36,4,100000,73995,88.0,65.1156,65.41385162808709,0.0,14.621407332824056,73995,0.11804126330439424,0.21331054060417726,2.6858426929822024,1.219669995115367,1.211688800306286,1.1983780086058622,0.06107036186661054
1.4000000000000001,4,100000,75026,88.0,66.02288,66.29946717313864,0.0,15.307368934209816,75031,0.1156041313147471,0.20641474087359005,2.7079389504909335,1.2394294751790667,1.2324323767127083,1.220577446744028,0.06461292135337014
1.44,4,100000,76011,88.0,66.88968,67.15035723597329,0.0,14.668557749026697,76011,0.11718927793267685,0.20843442747610452,2.7371146361601766,1.2608597203580627,1.2547389675668794,1.245008136325319,0.06119302371853418
1.48,4,100000,76801,88.0,67.58488,67.96788342222447,0.0,14.843150689793815,76801,0.11914996970807987,0.21329780425594685,2.7587664446713775,1.2837055621695992,1.277275883042333,1.2629379872170607,0.061675654167190966
1.52,4,100000,77686,88.0,68.36368,68.7533539482051,0.0,16.044463797870847,77686,0.11274331829613524,0.1997027778791965,2.7797309066483566,1.3052504970727896,1.2981795895168435,1.283209132913951,0.06804269668680168
1.56,4,100000,78628,88.0,69.19264,69.5080257343327,0.0,15.177106721466739,78628,0.11326280951962935,0.1990921657804448,2.8052498576183322,1.328150249865037,1.3200225417995337,1.306255741269809,0.06402447805871225
1.6,4,100000,79508,88.0,69.96704,70.23310641647033,0.0,15.601046128894708,79508,0.11239051196597882,0.19735699229022463,2.8228869362891995,1.3482108870276384,1.340075798825516,1.324660346936977,0.06515414582672548
1.6400000000000001,4,100000,80442,88.0,70.78896,70.92975627840151,0.0,15.282147177875007,80442,0.11471304372415396,0.2010454799703987,2.8402161743662226,1.3685578569152987,1.3560724133632756,1.3424971932089915,0.06327595782106052
1.68,4,100000,81194,88.0,71.45072,71.59909010853193,0.0,15.382415806787643,81194,0.11258529449286869,0.19661604644840844,2.870268672105451,1.3887815244600237,1.380614703464266,1.3606510231678086,0.06433474273123768
1.72,4,100000,82027,88.0,72.18376,72.24217898378859,0.0,15.609521189722853,82027,0.11269810279197766,0.1961237987961707,2.8847145659931837,1.4065110131455947,1.4013216430673423,1.3805792491480735,0.06491211175165444
1.76,4,100000,82760,88.0,72.8288,72.86005198357155,0.0,15.438600118576852,82760,0.11200080878309301,0.19617150514546758,2.898414092356414,1.4252903714623821,1.4196385160881575,1.402338945872008,0.0636855689603712
1.8,4,100000,83313,88.0,73.31544000000001,73.45369783650038,0.0,15.935712887472144,83313,0.11072410976982948,0.1927255352209562,2.9164094903561,1.444604726289839,1.438323729429157,1.4223428276856098,0.06652845877645601
1.84,4,100000,83868,88.0,73.80384000000001,74.02406650259098,0.0,16.194309189752445,83868,0.10964558918107123,0.19027109006354573,2.9445516463229637,1.4623932375419975,1.4562297162627538,1.4426654520274393,0.0669416041947806
1.8800000000000001,4,100000,84478,88.0,74.34064000000001,74.57207069339422,0.0,16.445434406377494,84483,0.10737543146535211,0.18519158086844376,2.962015571051916,1.4812315960690237,1.4772313823313712,1.4616355994468038,0.06945636564018914
1.92,4,100000,85113,88.0,74.89944,75.09858733252918,0.0,16.35881116314146,85113,0.10736816980601499,0.1854814852496593,2.978780779790112,1.5039568780558958,1.4904639433140052,1.483746586760501,0.06847376365819292
1.96,4,100000,85762,88.0,75.47056,75.60445895894803,0.0,16.65192223046942,85762,0.1072231366236676,0.1843224925779745,2.999163893186355,1.5271323534725327,1.5100900573248979,1.4964621854879798,0.07007907408784232
2.0,4,100000,86363,88.0,75.99944,76.09049507517808,0.0,16.05372245776008,86377,0.10739138778057242,0.18422203415348315,3.0124748882837085,1.5422393213046084,1.534046874409472,1.5103708885499667,0.06729873353533408
