t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,3,100000,0,72.0,0.0,0.0,0.0,0.0,0,0.4508455691247339,0.6920330668129492,0.969107138882004,0.20370957365238934,0.20260821723514064,0.20051318902126392,0.0
0.04,3,100000,3849,72.0,2.77128,2.8231603810327313,0.0,1.0898249704952991,3849,0.5051700813208599,0.7946683174036328,1.1306321709974334,0.27427203367094904,0.27283417709391034,0.2719018440565678,0.0037788173967672365
0.08,3,100000,7627,72.0,5.491440000000001,5.535623060162226,0.0,1.613613701586063,7627,0.5258415617716731,0.859731431178067,1.2575348676043456,0.33299999675886366,0.3316576437850361,0.33003031308344705,0.006115172585572078
0.12,3,100000,11168,72.0,8.04096,8.141728556364662,0.0,1.6139971928348382,11168,0.5360140275278906,0.9068491805150112,1.364438832245018,0.3863637900780149,0.3857404040481032,0.384118253574504,0.006344364615984703
0.16,3,100000,14572,72.0,10.49184,10.645647194432783,0.0,1.815737227524402,14572,0.5519660351089847,0.946969057966378,1.456431686066954,0.43784382694136686,0.4352755958505974,0.43368973075962647,0.007552602410849033
0.2,3,100000,17943,72.0,12.91896,13.05138577838531,0.0,1.8920227891814103,17943,0.560136098579078,0.9839674791314578,1.542911317379831,0.4890263360956777,0.4835817692557899,0.48298991932727836,0.007368736106572735
0.24,3,100000,21180,72.0,15.249600000000001,15.362794003208158,0.0,1.8819226155484725,21180,0.5658094891954549,1.0199170359920808,1.6189017674194377,0.5365558766702664,0.5312760369866767,0.5287368318786366,0.007665642021756641
0.28,3,100000,24350,72.0,17.532,17.583570615187767,0.0,1.8906998468347902,24350,0.5780751108764215,1.0536432413619974,1.6967378493402836,0.5856660115410767,0.5792026245071582,0.5760293418838314,0.007490170097332683
0.32,3,100000,27309,72.0,19.662480000000002,19.71726933069425,0.0,1.8776519732952175,27309,0.5855910681464429,1.0856002161961698,1.766283959006895,0.6361326433247445,0.6247461964763313,0.6234642029426005,0.008178106293012062
0.36,3,100000,30130,72.0,21.6936,21.767304522885766,0.0,1.7874972625515733,30130,0.6000120352938162,1.1206312344022198,1.8346371224709794,0.6849960279015359,0.674531425010829,0.6720678027611952,0.007614202097041305
