t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.0,2,20000,0,10.0,0.0,0.0,0.0,0.0,0,0.450726147558072,0.6930325576187868,0.9673695839797244,0.20569626628729284,0.20140364820663229,0.19768905509279477,0.0
0.04,2,20000,716,10.0,0.358,0.39210560847676823,0.0,0.12512467259290033,716,0.5315870697935149,0.8173453397617427,1.1419280320886054,0.2858278404982404,0.28350591461377617,0.27570086131781896,0.00027294928418588
0.08,2,20000,1455,10.0,0.7275,0.7688365361336424,0.0,0.16275348264592523,1455,0.595334513559514,0.9191525698911617,1.287115356896734,0.36140553148510934,0.3584902859295632,0.35186554626341665,0.00036819910476776146
0.12,2,20000,2128,10.0,1.064,1.1307956328284252,0.0,0.16235149213379146,2128,0.6557410099919514,1.0096572669345827,1.419137505407399,0.4391478319011493,0.4344146743964247,0.42952380671021456,0.00039662261424477566
0.16,2,20000,2805,10.0,1.4025,1.4785621103378865,0.0,0.17085607612340514,2805,0.7075523108662959,1.0919382916525087,1.546154743527428,0.5189081223388085,0.5098558521852327,0.504908373895104,0.0004129594610159671
0.2,2,20000,3477,10.0,1.7385,1.8126924692201818,0.0,0.15681962180001754,3477,0.755372730554737,1.173532897836469,1.6531430546416475,0.5931331575361789,0.5863846787980351,0.5800585010573984,0.0003787503174726117
0.24,2,20000,4111,10.0,2.0555,2.1337213893344664,0.0,0.1396699702994217,4111,0.8015714441367132,1.2408404186759663,1.7524609705973762,0.6714707780909595,0.6625054867275957,0.6555880499158291,0.0003481228600217109
0.28,2,20000,4748,10.0,2.374,2.4421625854427456,0.0,0.13665410069780407,4748,0.84987034050601,1.3228285502864336,1.8560598018728711,0.7509936828213396,0.7380778916168861,0.7340980184353605,0.0003474479841133705
0.32,2,20000,5287,10.0,2.6435,2.7385096292630906,0.0,0.12013979557478043,5287,0.8915550481631401,1.3881657968729395,1.9517004699236344,0.8278661647096967,0.8165752504741408,0.80856180223325,0.00031548296516239663
0.36,2,20000,5887,10.0,2.9435000000000002,3.0232367392896897,0.0,0.11499132698664438,5887,0.9317955199017062,1.446815379989217,2.0402455971133846,0.9085160551208439,0.8927378967831925,0.8801880999746403,0.0003031367534773989
