t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
0.0,0,80000,0,240.0,0.0,0.0,0.0,0.0,0,2.8259352642269273,3.6719962790032614,0.219,0.0005324850957119687,0.0,0.3832256190210773,0.6269855488673234,1.0006670627463308,1.000002550219092,0.999584606714425,0.3833355903087083,0.6264326083426804,0.9992695511929819,-1.0002397327658379,-1.0009744911899272,0.38612790887667015,0.6262979243708269,-0.9977949044023022,0.9991704898016263,-0.9994125398625631,0.3846036286150891,0.622793082986196,-0.9986066507528379,-1.0013901094193294,1.0024252999638072
0.04,0,80000,3247,240.0,9.741,9.410534603442438,0.0,3.4023570998907164,3247,2.820104963725141,2.42868537879788,3.117,0.0016085498089614095,0.0,0.5824610099154168,0.9428677442890606,0.9955893574618129,0.9991441535589454,1.0000611729107076,0.5826811874732369,0.946109635125176,0.9962807706740033,-1.002744089114712,-1.0015828614263542,0.578704198367346,0.9407020521135971,-0.9948696042454754,0.9973334433767569,-0.9977030397818112,0.5774750855175591,0.9456481292330178,-1.000780706097819,-1.0007443023424942,1.006665191884312
0.08,0,80000,6222,240.0,18.666,18.452076867207417,0.0,2.623346990823921,6222,2.8177326263340317,1.9466251749623074,6.699,0.0013316878853791706,0.0,0.7262525918243252,1.1770155650586431,0.9939748463843499,1.0008496860188147,0.9981869563251529,0.7248779557554952,1.1789249175235916,0.9977914867278539,-1.002013536860309,-0.9964831909100056,0.7212436506860449,1.1798311450124037,-0.9955005463374054,1.0013906754785689,-0.9972088747300045,0.7217558163196652,1.1813733879409039,-0.9992159009414481,-1.0001952470507423,1.003579905724676
0.12,0,80000,9170,240.0,27.51,27.139095187882205,0.0,2.2449157221764566,9170,2.8160480040858507,1.6694316617268234,9.441,0.0017062013017006617,0.0,0.8430243712859418,1.3734686396830278,0.9919884670047088,0.9982681659455599,0.9978972155947172,0.8491133051292719,1.3807775124227302,0.9986576475203126,-1.004258668236094,-0.9972110661716682,0.8438059846047525,1.3753561480424603,-0.9976691657876584,1.001241085472265,-0.9949349467652908,0.8408552984286402,1.378511177411556,-0.9976888895828626,-0.9997826957559992,1.0030988558876999
0.16,0,80000,11866,240.0,35.598,35.48549064810928,0.0,1.8343741571657575,11866,2.8179776229115743,1.4792926896164775,11.448,0.002261604348320314,0.0,0.9523995913755943,1.5343715075191704,0.9924001519222259,0.9980758401258845,0.9969889547516226,0.9492876165118589,1.5467795062065,1.00234627287883,-1.0029608203605935,-0.9941629223549153,0.9525497419724702,1.5488880807582845,-1.0003069066969745,1.0046047752462686,-0.995515457982707,0.9463263871010625,1.537979527510515,-1.0009678382180107,-0.9973875902278335,1.0061435289158336
0.2,0,80000,14697,240.0,44.091,43.50461926128436,0.0,1.5814257301394317,14697,2.8158676035275967,1.3471954514467337,12.708,0.0025199006137655465,0.0,1.0434738146357008,1.6961562970110842,0.990710777655976,0.9966887935433926,0.9939031498154121,1.0446423181850988,1.7032291931188308,1.0011789338806834,-1.0044304100575063,-0.9920983790624573,1.0439315142560135,1.6994371320090866,-1.00101112872151,1.0028132747542875,-0.999415388576999,1.0466962497775048,1.6986582634127125,-1.0000728142294903,-0.9947299300678178,1.0058412454151195
0.24,0,80000,17265,240.0,51.795,51.209313344027194,0.0,1.430821044226045,17265,2.8165949519734377,1.2439552622742087,13.437000000000001,0.002101290800672815,0.0,1.1262497448660358,1.829904004833832,0.9944752921252977,0.9968997132069104,0.9937096396478582,1.1350679241867963,1.8409125658475978,0.9991075384716614,-1.0043303354445587,-0.9882752135108337,1.1340653652111214,1.8433380698264892,-0.9981628791352213,1.0012958404620633,-1.0014063836497762,1.1370943551625685,1.834234670026311,-1.0014338024714577,-0.9943983678542896,1.0083865808992432
0.28,0,80000,19804,240.0,59.412,58.611902050625886,0.0,1.3165059145495923,19804,2.817641956052603,1.1613195795933433,13.857000000000001,0.001739598593681968,0.0,1.2083388596255054,1.961587752733276,0.9974624190161698,0.9964710218134449,0.9953678564523525,1.21390301429097,1.9768158211185658,1.0001171538767153,-1.0041718771625217,-0.9887004729324493,1.2180324422246236,1.9750946290060665,-0.9975943102760958,1.0008664843008033,-0.9994183830285959,1.217974252829343,1.9634493221575773,-0.9985260601142834,-0.9932490670703382,1.0072313096628678
0.32,0,80000,22176,240.0,66.528,65.72423110231418,0.0,1.2095384857451663,22176,2.8215434883596773,1.0918135501206812,14.229000000000001,0.0014961270549678771,0.0,1.2898519659397332,2.0861691529815247,0.9979410395856876,1.001878605775226,0.9973675228072905,1.291124567029596,2.1037286052898265,1.0010689216756488,-1.0065882108589772,-0.9892236968766701,1.29167329559126,2.1009779332924166,-0.9989144371630561,1.0010021353192613,-0.999701918140099,1.2944203102632914,2.0984077506686925,-0.9963935207699706,-0.9940178091918668,1.008978672509424
0.36,0,80000,24343,240.0,73.029,72.55768174295255,0.0,1.1422218567298676,24343,2.82048528667416,1.0360994317250014,14.184000000000001,0.00141151979992771,0.0,1.3609884966346213,2.203546682345603,0.9956155924187131,1.0039351453058476,0.9977806197638781,1.36161321818882,2.222548391543376,1.0016760523756094,-1.0051140807571892,-0.9864274250631313,1.3614217500713508,2.2084891407275573,-0.9977770156451982,0.999753465572037,-1.0005913414177474,1.3612263799610886,2.2104268054498335,-0.9960596647007964,-0.9931271458288178,1.0082270474459278
