t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
0.0,0,40000,0,320.0,0.0,0.0,0.0,0.0,0,2.825705656153199,3.686397060680494,0.296,0.0006360319684984113,0.0,0.38290397748444344,0.6246844901939136,1.001980441462205,1.0006146149490345,1.0004227238898222,0.38300836608458033,0.6280436297770564,0.9993536840304555,-1.0006095145108524,-1.0012535104609723,0.38375058972815,0.6243756379333838,-1.00036749725726,0.9985346418301351,-1.0002756123344199,0.3827717380732901,0.6285224013121584,-1.0010934003567762,-0.9990141073618117,0.9983266299545654
0.04,0,40000,1531,320.0,12.248000000000001,12.547379471256583,0.0,6.7391197827897775,1531,2.812923561275078,3.181901402782347,2.816,0.002452545686435056,0.02412485944880643,0.41953018499149697,0.8829943537701832,0.9981651845134376,0.9971750243952506,1.007407645434495,0.44395906302360616,0.8910406471716915,0.9917906765675779,-0.9975623511404708,-1.0056052510308335,0.42716238322954925,0.866831573837574,-0.9923123726617398,0.9963775075479377,-0.9967796321267608,0.44510107858157644,0.8749400930721506,-1.0002962835463878,-0.9910698619835427,1.0029345881471965
0.08,0,40000,3057,320.0,24.456,24.60276915627656,0.0,11.717836922808162,3057,2.7823475791943864,4.143725736428372,3.84,0.005478168035492202,0.043056265183328134,0.32461393098279745,1.0077029996831421,0.993066363557368,0.9881243359241729,1.0162605117096124,0.31758330378053756,1.0444318994189123,0.9695062952912012,-0.9806683938091911,-0.9950469363579817,0.29440495646017084,0.991349272425115,-0.974613753720555,1.009772478761585,-0.9943994187320664,0.35233709423873416,1.0353533956107708,-0.9855194239427503,-1.0001459800102674,0.9925540805888966
0.12,0,40000,4442,320.0,35.536,36.18546025050961,0.0,15.713711213511537,4442,2.7451332734761187,5.6689934500755825,3.464,0.008238044069390374,0.062170612339140174,0.2162701948898839,1.1021766786282101,0.9837263617619918,0.9847483755392048,0.9954529168656787,0.236574359581665,1.1436187566819478,0.9797663689323102,-0.9686047274858529,-0.9762769824981481,0.18932197654784427,1.0754121140491526,-0.9473495892394181,1.0244428130526817,-0.9878283350629813,0.2476620922067065,1.1247749212454723,-0.9426632391642231,-0.9915852711879305,0.9831854401246174
0.16,0,40000,5833,320.0,46.664,47.31398753081237,0.0,17.38111285258269,5833,2.7418633887858177,7.296744014911556,2.968,0.01244195681919835,0.0712079560473654,0.17341545473631537,1.1139342734438165,0.9825348138439143,0.9745836813074398,0.9912897798182057,0.16547836787975628,1.1780278581795847,0.9950810888465949,-0.9518520611665444,-0.9687640171246992,0.1562266715390638,1.1099649333424624,-0.9409046864402244,1.053558337344679,-0.9840338384138212,0.20325452455935467,1.166527254877496,-0.9319975211902118,-0.9973492549492837,0.9811367185181572
0.2,0,40000,7191,320.0,57.528,58.00615901504582,0.0,19.845350041747622,7191,2.7157552920053165,8.62035475729537,2.64,0.013487255877620601,0.08175156962744896,0.1603582136885445,1.133997778706522,0.9781007408672533,0.9635604734952956,0.986110166109345,0.15130584271807757,1.2112175050352392,1.0091475257597784,-0.9758297867550194,-0.9709244019967684,0.1576790961214958,1.1048415683508197,-0.9382560712620496,1.0569599473518734,-0.9722547543755748,0.15456281088413498,1.2029928792746662,-0.9209844990317269,-0.9775803622260275,0.9582836760712654
0.24,0,40000,8504,320.0,68.032,68.27908445870293,0.0,20.138642324220278,8504,2.745602079066685,9.177807804103074,2.176,0.010771806797921491,0.07990255749485642,0.14664023342589982,1.1018962672563613,0.9921237688048574,0.9642906323185159,0.9815461595241235,0.14395406691152646,1.206868252926805,1.0044217349441498,-0.9654439974924482,-0.9955641822362855,0.15322021229172628,1.0632156900769358,-0.9395814754274863,1.0786028162751435,-0.9753110881095806,0.15098344065672414,1.2066301139654485,-0.9529543892525245,-0.9732288103331816,0.9496064511650744
0.28,0,40000,9682,320.0,77.456,78.14920273416786,0.0,19.80628547435941,9682,2.732942823929932,9.450805438658044,2.024,0.012668977661103099,0.08167565642521968,0.1459676352708558,1.029034931965927,0.9893341541333456,0.9901663405478658,0.986573315663847,0.14059421143651324,1.1893437370121498,1.004131446657028,-0.9737841053425909,-0.9790215933149362,0.14593637730524667,1.0126672902011522,-0.94700961065129,1.0675533404426494,-0.9976513704667811,0.14785750698451647,1.220552834002648,-0.9392621698544135,-1.0072402420491535,0.9421963581651562
0.32,0,40000,10933,320.0,87.464,87.6323081364189,0.0,22.383469325158803,10933,2.742296515145179,9.938947165056225,1.736,0.012727096123614418,0.09101201051830098,0.14149202474555866,0.910089105431423,0.9708439276896454,1.0071093703903102,0.9758271162042949,0.13305851972212773,1.1432425287291708,1.0140129929631563,-0.9932081304443567,-0.9861294337478945,0.13389649158828942,0.9297345355236354,-0.9366670294870971,1.0694545192061726,-0.9933618558466835,0.1386282626010964,1.1804868963384891,-0.9627500254694734,-0.9959391383011802,0.9607273410220252
0.36,0,40000,12099,320.0,96.792,96.74357565727007,0.0,21.96839054502037,12099,2.7006320450258663,9.809542142220751,1.488,0.018366583908710588,0.09331509123082872,0.13812640559138073,0.44997986100303283,0.9607433725169265,0.9925187354782281,0.9692223949019159,0.1274457462583386,1.091336409893085,1.0246586316955515,-1.0017112576458622,-0.9679355065476409,0.1347947936722695,0.5431305107125788,-0.9043607519331793,1.0767781926702673,-0.9821105832065102,0.14570744036781702,1.1534427731181154,-0.966783234956516,-1.0166732416847788,0.9712967869358957
