t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
0.0,0,40000,0,80.0,0.0,0.0,0.0,0.0,0,2.825705656153199,3.686397060680494,0.074,0.0006360319684984113,0.0,0.38290397748444344,0.6246844901939136,1.001980441462205,1.0006146149490345,1.0004227238898222,0.38300836608458033,0.6280436297770564,0.9993536840304555,-1.0006095145108524,-1.0012535104609723,0.38375058972815,0.6243756379333838,-1.00036749725726,0.9985346418301351,-1.0002756123344199,0.3827717380732901,0.6285224013121584,-1.0010934003567762,-0.9990141073618117,0.9983266299545654
0.04,0,40000,1531,80.0,3.0620000000000003,3.136844867814146,0.0,1.0903140612759514,1531,2.826538310736913,2.437426938363538,1.036,0.0007159903725216477,0.0,0.5815947870383779,0.9473947831933323,1.0011987164156118,0.9997951361157416,1.0026110446545484,0.5795569215352597,0.9490041945669824,0.9985658079645345,-1.000156747948651,-0.9999734525315551,0.5793773822683401,0.9402711964994124,-1.0027000283796363,0.9959028032421484,-0.9995960334915317,0.578861222673431,0.9420580586971712,-1.0013027291447543,-1.001556893054257,1.002322309670423
0.08,0,40000,3057,80.0,6.114,6.15069228906914,0.0,1.0162736533184051,3057,2.822603721791537,1.9553218177680545,2.172,0.0016308134381285361,0.0,0.7227975054606065,1.1771058186180792,1.0030782625132204,1.0008362466111267,1.002802922413247,0.7197242204565479,1.1881268488612036,0.9943517026631863,-1.00189198582052,-0.9990059056326217,0.7233378202424936,1.1789290718016832,-1.003458201553495,0.992059077356517,-1.0015582653911732,0.723191877849173,1.1832891642518442,-1.0015154935031116,-1.0032897139764163,1.0030867889579707
0.12,0,40000,4442,80.0,8.884,9.046365062627402,0.0,0.7764129280369875,4442,2.820218129835068,1.6668201616157465,3.04,0.002505753969387423,0.0,0.8425562807181957,1.3772136293941022,1.0050564244620652,1.004027227161262,1.0029406830064094,0.8428403924087831,1.3790430343411975,0.9912742179367982,-1.0041205095342534,-0.9988893069961842,0.8462951426370804,1.3692105863512634,-1.0012754601999738,0.9917191671532599,-0.9991441939058516,0.8516188570554339,1.370211107175351,-1.0007452738409999,-1.0085818245838585,1.0033197975620194
0.16,0,40000,5833,80.0,11.666,11.828496882703092,0.0,0.7046000285583354,5833,2.8240634786571506,1.4782897675745013,3.8080000000000003,0.002263537639416212,0.0,0.9454292512624715,1.5481599789180795,1.0058627789637429,1.0064848442903065,1.0011088766553522,0.9525027267024992,1.549910454291703,0.9936563072667495,-1.008892499322915,-0.9999618687271878,0.9480589283321398,1.5429191036050902,-0.9964420114080497,0.9948146545385104,-0.9990371755832728,0.9589813177768933,1.540563142181768,-0.9972354668086973,-1.007651229844213,1.0053020038870857
0.2,0,40000,7191,80.0,14.382,14.501539753761454,0.0,0.6000531906442306,7191,2.8227766996899217,1.3504948398091825,4.198,0.002296310039718685,0.0,1.0491843128488352,1.6852757565936827,1.0080285206527844,1.002961914796387,1.0013567047020278,1.0442132806628937,1.7006796906363135,0.9952015225266067,-1.0099770106998935,-1.000957119172325,1.044033074408643,1.6835496398530558,-0.9923893341980294,0.9944058847117638,-1.001259043224576,1.0472486875355187,1.7115907508587052,-0.9977309440614102,-1.007250613732885,1.0005576965644067
0.24,0,40000,8504,80.0,17.008,17.06977111467573,0.0,0.5505459205298766,8504,2.8196717558084985,1.2407364767618134,4.398,0.0026083873886178083,0.0,1.1285053095858835,1.8374168397310324,1.0056502554611964,0.9996502376084013,1.003916239949465,1.1405485248065466,1.8372837697933222,0.993159651057244,-1.0074301624760444,-1.0062374866412682,1.132030551104507,1.8381288379065899,-0.9877108829331913,0.9992287821920698,-1.001696797697992,1.1377441086257374,1.8492324079592768,-0.9958491754845076,-1.0100453494307526,1.0034066048722758
0.28,0,40000,9682,80.0,19.364,19.537300683541964,0.0,0.5002223105964799,9682,2.816784026977656,1.1553724673946788,4.68,0.0029221982364261586,0.0,1.2043350179067551,1.9623370362933275,1.0054696948917297,1.0019540374939684,1.0045825294602517,1.219803566265747,1.9634570735058758,0.9962481035997754,-1.0037988623366303,-1.0012339085387651,1.2181842744254865,1.9720739698057754,-0.987506608866699,0.9959445544031702,-1.005204123815429,1.21007484651575,1.975622756071329,-0.9920017743892124,-1.0115224666794926,1.006580628747848
0.32,0,40000,10933,80.0,21.866,21.908077034104725,0.0,0.4945500988291,10933,2.8150293827729347,1.0874518153239772,4.69,0.003532092664457191,0.0,1.284730987374533,2.0873334412206956,1.0064552586091562,1.0003081147738113,1.0059228465696393,1.2958291307164487,2.0898832360361683,0.9922752492561449,-1.0043845360651362,-0.9995940123405873,1.292818332191388,2.1099262533161824,-0.9868037412320279,0.9975202430222607,-1.0033397766583292,1.2885662144133798,2.0989814295205997,-0.9870043821856402,-1.013842881805184,1.0084740151590896
0.36,0,40000,12099,80.0,24.198,24.185893914317518,0.0,0.46967489201374785,12099,2.8198582043999405,1.0307719423391455,4.712,0.0035035756931453377,0.0,1.3563039770730918,2.221015454475649,1.0081176757810333,1.001350021145866,1.007326845447766,1.3706978980703604,2.2005458452145152,0.9943754768599113,-1.0026223811958754,-1.0037828203526482,1.3649782380114925,2.231664179247248,-0.99080014882614,1.0000437100214477,-1.0063431312672684,1.3658866701895125,2.22736674088106,-0.9867861939775526,-1.0153895261982493,1.0077541257054525
