step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,20000,5,31.41592653589793,31.41592653589793,0.0004308475087704266,-8.1606508870843e-05,0.41486609808825015,0.08297321961765003,0.011948969950259555,0.10931134410599641,0.09070379061509105,0.13828869936275004,0.16591277052554618,0.23335709056682952,10000,16000,18000,1.0931694712229363,824.7007082736369,426.6210147433958,114.7173016100369,114.7173016100369,0.00015,1.0664124389341614,0,0
4,4e-06,20000,5,31.41592653589793,31.41592653589793,0.0003969029028237717,-8.867089105882178e-05,0.39750643641790784,0.07950128728358156,0.011000027340153599,0.10488101515600237,0.08519614423065455,0.13250214547263595,0.16044532573054282,0.23070858111291204,10000,16000,18000,1.071632260830688,943.4777907610782,425.9878674399976,121.34244048685105,121.34244048685105,0.00055,1.1049528256731587,0,0
8,8e-06,20000,5,31.41592653589793,31.41592653589793,0.0003642523730701261,-7.819293813480564e-05,0.3788701438345318,0.07577402876690637,0.010077783559947881,0.1003881644415709,0.0798343113902369,0.12629004794484394,0.1551437525062629,0.22826679542456693,10000,16000,18000,1.0535840932494251,1086.2479200252917,424.42262400739526,128.96262403942222,128.96262403942222,0.00105,1.1468381571913537,0,0
12,1.2e-05,20000,5,31.41592653589793,31.41592653589793,0.0003184911805381356,-0.00011841761169084918,0.35999646562984106,0.07199929312596821,0.009184426513300453,0.09583541367000224,0.07459923023546464,0.11999882187661369,0.14907884303617194,0.22453400365883172,10000,16000,18000,1.0361105921546707,1256.0305383450723,424.44470987537534,137.6636705565441,137.6636705565441,0.00185,1.1943635846107947,0,0
16,1.6e-05,20000,5,31.41592653589793,31.41592653589793,0.0002824622589317421,-0.00010387177713051213,0.3408668517728805,0.0681733703545761,0.008324335780437463,0.09123779798108601,0.06909463025133537,0.11362228392429351,0.14281551771709608,0.22135992521674464,10000,16000,18000,1.013513486159885,1463.3212489599582,425.0364575794485,147.7249850289313,147.7249850289313,0.00335,1.2397214818673439,0,0
20,1.9999999999999998e-05,20000,5,31.41592653589793,31.41592653589793,0.00023247103694964708,-0.00012229580077848174,0.3197748898812427,0.06395497797624854,0.007488489344615012,0.08653605806029653,0.0638383301073193,0.10659162996041423,0.13616422661720687,0.21668151365802638,10000,16000,18000,0.9981760939864204,1722.4993422038167,425.09944199788225,159.5383140711074,159.5383140711074,0.007,1.294467714053868,0,0
24,2.4e-05,20000,5,31.41592653589793,31.41592653589793,0.00015441616947419948,-0.00014903573843843846,0.29903054271409213,0.059806108542818426,0.006696920698514058,0.08183471572941435,0.058706932328353736,0.09967684757136405,0.12921089423900647,0.21234534453672682,10000,16000,18000,0.981621004254478,2039.166741173044,423.07691821189286,173.08890068422386,173.08890068422386,0.01275,1.3489978892235408,0,0
28,2.8e-05,20000,5,31.41592653589793,31.414355739571135,1.6175507389423645e-05,-0.00015239194474469397,0.27807467262028085,0.05561493452405617,0.0059505720428979164,0.07713995101695305,0.05370166025566543,0.09269155754009362,0.12201934153137385,0.20888665051477714,10000,16000,18000,0.9655978329424598,2435.7466660143427,418.7577809284157,188.8709112445878,188.8709112445878,0.022101105055252764,1.4050324275485069,0,0
32,3.2e-05,20000,5,31.41592653589793,31.414355739571135,-7.252128814644299e-05,-0.00012083243020246562,0.2572383697911501,0.05144767395823002,0.005257529156010697,0.07250882122894219,0.04882969166245831,0.0857461232637167,0.11449053060340744,0.20361913471991386,10000,16000,18000,0.9491136898065162,2930.2597250570657,416.8859652157448,207.03925035300125,207.03925035300125,0.03750187509375469,1.4566589701844685,0,0
36,3.6e-05,20000,5,31.41592653589793,31.414355739571135,-0.0001778438470771223,-0.00011499817778831211,0.2355231440164252,0.047104628803285045,0.004623451441859732,0.0679959663646288,0.04411741144513008,0.07850771467214174,0.10657850346082495,0.2004937609223248,10000,16000,18000,0.9365833584926448,3556.496730183594,420.9956549274841,227.91536591928218,227.91536591928218,0.06105305265263263,1.5208528107112937,0,0
40,3.9999999999999996e-05,20000,5,31.41592653589793,31.414355739571135,-0.0003556982012930152,-0.0001585831276506258,0.21530866122066622,0.04306173224413325,0.004054454579301332,0.06367459916875277,0.04005414390544847,0.07176955374022208,0.09877095149366741,0.19705724389477972,10000,16000,18000,0.9301563550292491,4342.465046155704,430.5293970307162,251.97043614283305,251.97043614283305,0.09495474773738687,1.5829126758065653,0,0
44,4.4e-05,20000,5,31.41592653589793,31.414355739571135,-0.0005362402082718915,-0.00020423031646239057,0.19500560122311392,0.03900112024462278,0.003549782777830148,0.05958005352322326,0.03607563991200779,0.0650018670743713,0.09071581752291906,0.19290880676292274,10000,16000,18000,0.9249898383875694,5369.665538711435,436.37814323506814,280.17818055069256,280.17818055069256,0.14425721286064302,1.6464521619595684,0,0
