step,t,N,K,M_u,M_v,xc_x,xc_y,L,h_eff,S_u,R2,R_0.5,R_0.8,R_0.9,R_0.99,N_0.5,N_0.8,N_0.9,R50_over_heff,peak_PK_u,peak_PK_v,S_L2_u,S_L2,outside_v_frac,drift_cfl,n_birth,n_death
0,0.0,80000,10,31.41592653589793,31.41592653589793,0.00014152332180111126,-0.00017593831783516123,0.41597041424542475,0.04159704142454247,0.011948212486302031,0.10930787934225981,0.0908995602605841,0.13865680474847492,0.16596292863192985,0.23500810496462557,40000,64000,72000,2.185240996657827,823.1287083812697,431.96927910397284,114.7851760753669,114.7851760753669,0.000225,0.7770262968457324,0,0
16,4e-06,80000,10,31.41592653589793,31.415533836816234,0.00018486356906948412,-0.00012297549371541737,0.3928108099944855,0.03928108099944855,0.010657685254530942,0.10323606566762868,0.08310260364068416,0.1309369366648285,0.15911262177744878,0.23203844577586247,40000,64000,72000,2.1155885104549643,1100.7257207468137,433.0216790964987,125.0562259828229,125.0562259828229,0.0005500068750859386,0.7820682389020728,0,0
32,8e-06,80000,10,31.41592653589793,31.415533836816234,0.00019876045456738788,-6.478724589027098e-05,0.3687998846339015,0.03687998846339015,0.009448830083502236,0.0972050928887074,0.07522886593063173,0.12293329487796717,0.15200529170116742,0.22853278011742567,40000,64000,72000,2.039828890003845,1477.2237460179633,433.20973602955286,137.70817377173097,137.70817377173097,0.0015125189064863311,0.7960870440947189,0,0
48,1.2e-05,80000,10,31.41592653589793,31.415533836816234,0.00018360052851206478,1.9777762757913587e-05,0.3443321914681023,0.03443321914681023,0.00833425865321146,0.09129216096254629,0.06760462250531568,0.11477739715603409,0.14452591381224933,0.2253531754350035,40000,64000,72000,1.963354695855625,1980.2535514011506,435.65950143700314,153.20257328886404,153.20257328886404,0.003350041875523444,0.8016466648800238,0,0
64,1.6e-05,80000,10,31.41592653589793,31.415533836816234,0.00014858839957997838,0.00011808295672887573,0.3193096904833931,0.03193096904833931,0.007311782183648359,0.08550895966884615,0.06048125098572331,0.10643656349446436,0.1366087288330307,0.2212863139930726,40000,64000,72000,1.8941251326936746,2666.0697684443276,436.88440451178974,172.14662770223748,172.14662770223748,0.0072250903136289206,0.8074116995642665,0,0
80,1.9999999999999998e-05,80000,10,31.41592653589793,31.415533836816234,4.4488515866525215e-05,0.00025169856381674754,0.294291603396814,0.029429160339681397,0.006383821752821332,0.07989882197392732,0.05371848246863931,0.09809720113227133,0.12843532885081532,0.21704336401431326,40000,64000,72000,1.825348798559058,3576.1585487021066,439.1519632854937,195.09229143511243,195.09229143511243,0.014262678283478544,0.8371945148562053,0,0
96,2.4e-05,80000,10,31.41592653589793,31.415533836816234,-8.456833697027599e-05,0.0004161059123319124,0.2692905989657116,0.026929059896571163,0.005548458158559097,0.07448797324776059,0.04751479726075797,0.08976353298857054,0.12033527056765453,0.21277218405822598,40000,64000,72000,1.764443223909497,4837.890327068628,437.7830142250187,223.41538940523594,223.41538940523594,0.027537844223052787,0.8642141876110315,0,0
112,2.8e-05,80000,10,31.41592653589793,31.415533836816234,-0.00023834395416546836,0.0006311749689749814,0.24421813118640007,0.024421813118640008,0.004807537066112127,0.0693364050561617,0.04203864358849674,0.08140604372880002,0.11211769717212618,0.20871154343668863,40000,64000,72000,1.7213563704003059,6464.820079163547,435.3869729818224,257.08332966611,257.08332966611,0.05127564094551182,0.8997406120087161,0,0
128,3.2e-05,80000,10,31.41592653589793,31.41592653589793,-0.0004288619006929742,0.0008477992716159232,0.21966421590215615,0.021966421590215616,0.004162395391081146,0.06451662879507225,0.03693209792087923,0.07322140530071872,0.10378020559315704,0.20386963994913618,40000,64000,72000,1.6812978740847666,8629.718286246258,435.69626949512275,297.9557862126669,297.9557862126669,0.0877625,0.9848180534675902,0,0
144,3.6e-05,80000,10,31.41592653589793,31.41592653589793,-0.0006472908063346111,0.0010176691028977016,0.1965221065870293,0.01965221065870293,0.0036029814062423456,0.060024839910176736,0.03190394259320224,0.0655073688623431,0.09550368346733279,0.19938592838586872,40000,64000,72000,1.623427671689122,12342.451226595937,448.93487510392646,356.1297978446533,356.1297978446533,0.1398,1.0382461650242134,0,0
