seed,method,m,amplitude,local_eff,E_m
0,weighted,0,1.0956708580912724,13.054549193177449,0.2371649217867917
0,weighted,1,1.176776695296637,12.731543471041826,0.07535331730207595
0,weighted,2,1.2309698831278217,8.437682117042355,0.22240448740490867
0,weighted,3,1.25,9.566533796689995,0.17683163673397712
0,weighted,4,1.2309698831278217,8.276462791276007,0.4004698928052463
0,weighted,5,1.176776695296637,16.177294699970986,0.13942962167242262
0,weighted,6,1.0956708580912724,14.878744065939534,0.35528450523453353
0,weighted,7,1.0,13.350483825631537,0.17710488984145253
0,weighted,8,0.9043291419087276,20.968054932985456,0.01938953429623117
0,weighted,9,0.8232233047033631,25.088899195297586,0.125620030201097
0,weighted,10,0.7690301168721784,22.79477420734172,0.0558363038443349
0,weighted,11,0.75,18.42900051671423,0.23174455160125862
0,weighted,12,0.7690301168721784,30.783700181697057,0.020712164954236598
0,weighted,13,0.823223304703363,19.540157976353512,0.03684005844202678
0,weighted,14,0.9043291419087274,19.784120161021995,0.12515203491118854
0,weighted,15,0.9999999999999999,14.001213748596768,0.3327718105749799
0,weighted_ess_resample,0,1.0956708580912724,954.0984534743233,0.0009130774764919627
0,weighted_ess_resample,1,1.176776695296637,1739.6855996172296,0.12036621274874061
0,weighted_ess_resample,2,1.2309698831278217,1316.703047995629,0.3887599159959269
0,weighted_ess_resample,3,1.25,2223.603773254628,0.07857209402700101
0,weighted_ess_resample,4,1.2309698831278217,1771.856343339335,0.18661341622408828
0,weighted_ess_resample,5,1.176776695296637,1499.392031219575,0.04200528059953524
0,weighted_ess_resample,6,1.0956708580912724,969.9795017421718,0.01556874531896467
0,weighted_ess_resample,7,1.0,367.88533063844113,0.3463273133432667
0,weighted_ess_resample,8,0.9043291419087276,302.6757496833935,0.06671129044826839
0,weighted_ess_resample,9,0.8232233047033631,202.81747753664965,0.021012268989307713
0,weighted_ess_resample,10,0.7690301168721784,132.30429039771286,0.13952264162103517
0,weighted_ess_resample,11,0.75,147.95953932601512,0.12873015414923664
0,weighted_ess_resample,12,0.7690301168721784,148.46186563375684,0.0043895338293956036
0,weighted_ess_resample,13,0.823223304703363,216.61224626267244,0.057312757290228944
0,weighted_ess_resample,14,0.9043291419087274,348.8076648655826,0.09836384185180101
0,weighted_ess_resample,15,0.9999999999999999,612.8710578915344,0.11923280716734845
0,minvar_branch,0,1.0956708580912724,63465.0,0.15516099989013032
0,minvar_branch,1,1.176776695296637,182993.0,0.2688630967455159
0,minvar_branch,2,1.2309698831278217,164185.0,0.2657890246731847
0,minvar_branch,3,1.25,326624.0,0.25148368241254354
0,minvar_branch,4,1.2309698831278217,149744.0,0.33036703542139456
0,minvar_branch,5,1.176776695296637,141080.0,0.021759271180619454
0,minvar_branch,6,1.0956708580912724,65375.0,0.12973529296176
0,minvar_branch,7,1.0,22913.0,0.34638385548580547
0,minvar_branch,8,0.9043291419087276,12208.0,0.2603002424804515
0,minvar_branch,9,0.8232233047033631,10510.0,0.19663214163976328
0,minvar_branch,10,0.7690301168721784,4959.0,0.14327307108259096
0,minvar_branch,11,0.75,5304.0,0.059841636482721
0,minvar_branch,12,0.7690301168721784,6878.0,0.18825727305784876
0,minvar_branch,13,0.823223304703363,9622.0,0.09552754204181198
0,minvar_branch,14,0.9043291419087274,15588.0,0.05550132534280538
0,minvar_branch,15,0.9999999999999999,36984.0,0.055005433103979144
