step,t,M_u,M_v,M_v_exact,rel_err,n_birth,n_death,N_u,N_v
0,0.0,1.0,0.3,0.30000000000000004,1.850371707708594e-16,0,0,30000,9000
25,0.05,1.0,0.3343,0.3341394028495003,0.0004806291898834898,62,24,30000,10029
50,0.1,1.0,0.367,0.3666138073748284,0.0010534044746894726,57,22,30000,11010
75,0.15,1.0,0.3979666666666667,0.3975044165024596,0.001162880574445717,66,26,30000,11939
100,0.2,1.0,0.42533333333333334,0.42688847284541276,0.0036429644064026375,67,24,30000,12760
125,0.25,1.0,0.45563333333333333,0.4548394518500166,0.001745410342237636,71,25,30000,13669
150,0.3,1.0,0.48213333333333336,0.4814272455227975,0.0014666552778273255,55,26,30000,14464
175,0.35000000000000003,1.0,0.5057333333333334,0.5067183371969006,0.0019438883325521032,55,31,30000,15172
200,0.4,1.0,0.5292,0.5307759677750525,0.0029691769611551863,65,33,30000,15876
225,0.45,1.0,0.5524333333333333,0.5536602938647587,0.002216089080292715,49,29,30000,16573
250,0.5,1.0,0.5729,0.5754285382011566,0.004394182827742716,64,38,30000,17187
275,0.55,1.0,0.5953666666666667,0.5961351327336594,0.0012890803188678889,63,33,30000,17861
300,0.6,1.0,0.6148333333333333,0.6158318547341816,0.0016214188875942784,64,31,30000,18445
325,0.65,1.0,0.6316,0.6345679562672888,0.004677129120649446,64,44,30000,18948
350,0.7000000000000001,1.0,0.6508,0.6523902873460135,0.0024376318545189417,65,40,30000,19524
375,0.75,1.0,0.666,0.6693434130812898,0.004995063843085384,54,35,30000,19980
400,0.8,1.0,0.6820333333333334,0.6854697251179449,0.005013192645408585,66,34,30000,20461
425,0.85,1.0,0.6974333333333333,0.7008095476358913,0.00481759176076764,64,42,30000,20923
450,0.9,1.0,0.7149333333333333,0.7154012381815806,0.0006540453430534359,47,56,30000,21448
475,0.9500000000000001,1.0,0.7259666666666666,0.7292812835818492,0.00454504590999904,72,49,30000,21779
500,1.0,1.0,0.7391666666666666,0.7424843911799903,0.004468409777680313,55,47,30000,22175
525,1.05,1.0,0.7488333333333334,0.7550435756221913,0.008225011760070117,37,60,30000,22465
550,1.1,1.0,0.7604333333333333,0.7669902414113443,0.008548880707980848,63,31,30000,22813
575,1.1500000000000001,1.0,0.7715666666666666,0.7783542614346628,0.008720444024402562,57,45,30000,23147
600,1.2,1.0,0.7820666666666667,0.7891640516614585,0.008993548274087545,65,59,30000,23462
625,1.25,1.0,0.7920333333333334,0.799446642197867,0.009273050224030821,61,39,30000,23761
650,1.3,1.0,0.7984,0.8092277448761912,0.013380343104582762,68,45,30000,23952
675,1.35,1.0,0.8102666666666667,0.818531817547876,0.010097531585234732,61,49,30000,24308
700,1.4000000000000001,1.0,0.8192333333333334,0.8273821252408755,0.009848885610345746,60,50,30000,24577
725,1.45,1.0,0.8283,0.8358007983343416,0.00897438522347651,50,41,30000,24849
750,1.5,1.0,0.8368666666666666,0.8438088878960992,0.008227243548882093,65,48,30000,25106
775,1.55,1.0,0.8456333333333333,0.8514264183212799,0.006803976084473017,54,56,30000,25369
800,1.6,1.0,0.8525333333333334,0.8586724374037412,0.007149529672770075,76,48,30000,25576
825,1.6500000000000001,1.0,0.8651333333333333,0.8655650639654722,0.0004987847246987342,49,43,30000,25954
850,1.7,1.0,0.8686666666666667,0.8721215331630857,0.003961450744013406,52,69,30000,26060
875,1.75,1.0,0.8733666666666666,0.8783582395846884,0.00568284407553565,59,57,30000,26201
900,1.8,1.0,0.8805666666666667,0.8842907782448894,0.004211410624019187,60,51,30000,26417
925,1.85,1.0,0.8839333333333333,0.8899339835804607,0.006742803801002212,65,60,30000,26518
950,1.9000000000000001,1.0,0.8865333333333333,0.8953019665441555,0.009794051100623554,55,70,30000,26596
975,1.95,1.0,0.8925333333333333,0.9004081498894405,0.008745829940648757,52,52,30000,26776
1000,2.0,1.0,0.8972333333333333,0.9052653017343711,0.008872502221889652,61,51,30000,26917
