experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
localized,weighted,0,8,,global,0.18335684623785264,0.14801004932019615,0.10943078405341587,,,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,8,,B,0.15225240443357146,0.13169297643985453,0.07810336896337171,,,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,8,,global,0.11175660747593569,0.02281836946631286,0.10943078405341587,,,nan,132914.0,132914,18758197
localized,minvar,0,8,,B,0.07854723267493191,0.021362033358569076,0.07810336896337171,,,nan,110884.0,132914,18758197
localized,weighted,0,12,,global,0.23020043691041273,0.22997539691169633,0.010456618159426154,,,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,12,,B,0.22044705923960345,0.22053999424462056,0.007266497418481156,,,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,12,,global,0.028175679630018196,0.02616491762560996,0.010456618159426154,,,nan,132914.0,132914,18758197
localized,minvar,0,12,,B,0.02610938256583523,0.024918865715044335,0.007266497418481156,,,nan,110884.0,132914,18758197
localized,weighted,0,16,,global,0.2866029883829151,0.28660240943004234,0.0006012965921897929,,,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,16,,B,0.27731093315917815,0.2773172398864795,0.00039434588388417505,,,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,16,,global,0.030351681737354308,0.03034573050099279,0.0006012965921897929,,,nan,132914.0,132914,18758197
localized,minvar,0,16,,B,0.02871981293631969,0.028703279847700696,0.00039434588388417505,,,nan,110884.0,132914,18758197
localized,weighted,0,24,,global,0.3917223724053934,0.39172237240493885,6.473460628899175e-07,,,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,24,,B,0.3795502219862526,0.37955019230148535,3.9818383080307337e-07,,,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,24,,global,0.03705154510731262,0.03705154510166367,6.473460628899175e-07,,,nan,132914.0,132914,18758197
localized,minvar,0,24,,B,0.035376717689624845,0.035376713006608475,3.9818383080307337e-07,,,nan,110884.0,132914,18758197
localized,weighted,1,8,,global,0.20774942796039061,0.17765892781763476,0.10943078405341587,,,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,8,,B,0.13222479366342652,0.14831929412332223,0.07810336896337171,,,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,8,,global,0.11319751145819759,0.029133209431677014,0.10943078405341587,,,nan,134439.0,134439,18966219
localized,minvar,1,8,,B,0.0808192351706087,0.02791561477181199,0.07810336896337171,,,nan,111891.0,134439,18966219
localized,weighted,1,12,,global,0.2817722849303231,0.2815935898947249,0.010456618159426154,,,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,12,,B,0.26796863256287495,0.2691335946472829,0.007266497418481156,,,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,12,,global,0.03424581045199636,0.032612129028353046,0.010456618159426154,,,nan,134439.0,134439,18966219
localized,minvar,1,12,,B,0.032202573109147155,0.031461364946593504,0.007266497418481156,,,nan,111891.0,134439,18966219
localized,weighted,1,16,,global,0.35013326295173447,0.3501328099336868,0.0006012965921897929,,,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,16,,B,0.339430955418151,0.3394462965260686,0.00039434588388417505,,,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,16,,global,0.03469286561564404,0.03468766066011746,0.0006012965921897929,,,nan,134439.0,134439,18966219
localized,minvar,1,16,,B,0.03352282868228082,0.03350228099520422,0.00039434588388417505,,,nan,111891.0,134439,18966219
localized,weighted,1,24,,global,0.4540096234052717,0.4540096234049026,6.473460628899175e-07,,,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,24,,B,0.44525021497134293,0.44525020816079447,3.9818383080307337e-07,,,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,24,,global,0.03876010845096588,0.03876010844556544,6.473460628899175e-07,,,nan,134439.0,134439,18966219
localized,minvar,1,24,,B,0.036773006709896916,0.03677302253949453,3.9818383080307337e-07,,,nan,111891.0,134439,18966219
localized,weighted,2,8,,global,0.13720066720433297,0.08325825604501268,0.10943078405341587,,,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,8,,B,0.11242519291799238,0.07316507635997652,0.07810336896337171,,,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,8,,global,0.12070087268230513,0.0512351370277362,0.10943078405341587,,,nan,125976.0,125976,18138167
localized,minvar,2,8,,B,0.09590928507340772,0.05091872886527564,0.07810336896337171,,,nan,104492.0,125976,18138167
localized,weighted,2,12,,global,0.13703894655212906,0.13664689408194436,0.010456618159426154,,,0.020318838740796444,0.020318838740796444,20000,10000000
