experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
localized,weighted,0,,0.1,global,,,,0.17718942622551706,0.092268067742019,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,,0.1,B,,,,0.17704724501066232,0.0903042647973183,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,,0.1,global,,,,0.02318746181336395,0.092268067742019,nan,132914.0,132914,18758197
localized,minvar,0,,0.1,B,,,,0.022491366559017383,0.0903042647973183,nan,110884.0,132914,18758197
localized,weighted,0,,0.15,global,,,,0.12355367545575191,0.1841038409633594,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,,0.15,B,,,,0.12341179420901231,0.17915038561720067,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,,0.15,global,,,,0.02026243064296771,0.1841038409633594,nan,132914.0,132914,18758197
localized,minvar,0,,0.15,B,,,,0.01954546121106938,0.17915038561720067,nan,110884.0,132914,18758197
localized,weighted,0,,0.2,global,,,,0.09326930718588922,0.2833169608890613,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,,0.2,B,,,,0.09251493568970627,0.2739790085650492,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,,0.2,global,,,,0.01850701783559733,0.2833169608890613,nan,132914.0,132914,18758197
localized,minvar,0,,0.2,B,,,,0.017700165341117947,0.2739790085650492,nan,110884.0,132914,18758197
localized,weighted,0,,0.25,global,,,,0.07411479699785117,0.3784755954146811,0.021233773744429744,0.021233773744429744,20000,10000000
localized,weighted,0,,0.25,B,,,,0.07201352512591022,0.36409643381827866,0.021233773744429744,0.42572693460149763,20000,10000000
localized,minvar,0,,0.25,global,,,,0.017199071159081054,0.3784755954146811,nan,132914.0,132914,18758197
localized,minvar,0,,0.25,B,,,,0.0163165425496755,0.36409643381827866,nan,110884.0,132914,18758197
localized,weighted,1,,0.1,global,,,,0.21515412134686437,0.092268067742019,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,,0.1,B,,,,0.21423178018845862,0.0903042647973183,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,,0.1,global,,,,0.029448798097627852,0.092268067742019,nan,134439.0,134439,18966219
localized,minvar,1,,0.1,B,,,,0.02877409071641373,0.0903042647973183,nan,111891.0,134439,18966219
localized,weighted,1,,0.15,global,,,,0.14488875998428302,0.1841038409633594,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,,0.15,B,,,,0.14322939740890567,0.17915038561720067,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,,0.15,global,,,,0.027412200953869526,0.1841038409633594,nan,134439.0,134439,18966219
localized,minvar,1,,0.15,B,,,,0.026785145029409086,0.17915038561720067,nan,111891.0,134439,18966219
localized,weighted,1,,0.2,global,,,,0.100743957018255,0.2833169608890613,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,,0.2,B,,,,0.09729015037115007,0.2739790085650492,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,,0.2,global,,,,0.02627369974694037,0.2833169608890613,nan,134439.0,134439,18966219
localized,minvar,1,,0.2,B,,,,0.025646735690988024,0.2739790085650492,nan,111891.0,134439,18966219
localized,weighted,1,,0.25,global,,,,0.07207900795505204,0.3784755954146811,0.01944717217696148,0.01944717217696148,20000,10000000
localized,weighted,1,,0.25,B,,,,0.06691065807838795,0.36409643381827866,0.01944717217696148,0.397563354434462,20000,10000000
localized,minvar,1,,0.25,global,,,,0.025567040317926892,0.3784755954146811,nan,134439.0,134439,18966219
localized,minvar,1,,0.25,B,,,,0.02493356264451409,0.36409643381827866,nan,111891.0,134439,18966219
localized,weighted,2,,0.1,global,,,,0.11875620886740175,0.092268067742019,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,,0.1,B,,,,0.11495355019933075,0.0903042647973183,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,,0.1,global,,,,0.05161193004670946,0.092268067742019,nan,125976.0,125976,18138167
localized,minvar,2,,0.1,B,,,,0.05164738799116966,0.0903042647973183,nan,104492.0,125976,18138167
localized,weighted,2,,0.15,global,,,,0.07752500255227111,0.1841038409633594,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,,0.15,B,,,,0.07380643247425422,0.17915038561720067,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,,0.15,global,,,,0.050207621988122,0.1841038409633594,nan,125976.0,125976,18138167
localized,minvar,2,,0.15,B,,,,0.05037223645289185,0.17915038561720067,nan,104492.0,125976,18138167
localized,weighted,2,,0.2,global,,,,0.06234123276999161,0.2833169608890613,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,,0.2,B,,,,0.05962313459851597,0.2739790085650492,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,,0.2,global,,,,0.049119765069011966,0.2833169608890613,nan,125976.0,125976,18138167
localized,minvar,2,,0.2,B,,,,0.04937449139859511,0.2739790085650492,nan,104492.0,125976,18138167
localized,weighted,2,,0.25,global,,,,0.05420987933863631,0.3784755954146811,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,,0.25,B,,,,0.05244228917769803,0.36409643381827866,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,,0.25,global,,,,0.048216062453863784,0.3784755954146811,nan,125976.0,125976,18138167
localized,minvar,2,,0.25,B,,,,0.048552022827768576,0.36409643381827866,nan,104492.0,125976,18138167
