experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
switching,weighted,0,32,,global,0.6111243671155829,0.6111243547152507,0.00015553437510788028,,,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,32,,B_A,0.5979248853135288,0.5979231055760502,3.1238374697964735e-05,,,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,32,,B_B,0.5070666712785779,0.5070519918570017,0.0001210758423355382,,,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,32,,global,0.20622283933934896,0.20622278318126774,0.00015553437510788028,,,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,32,,B_A,0.10972580248501987,0.10972942052833466,3.1238374697964735e-05,,,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,32,,B_B,0.21895242478293764,0.21896855604207546,0.0001210758423355382,,,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,32,,global,0.1669031762433453,0.1669031057921127,0.00015553437510788028,,,nan,43597.0,43597,34075191
switching,minvar,0,32,,B_A,0.09991278706781712,0.09991497469774334,3.1238374697964735e-05,,,nan,7565.0,43597,34075191
switching,minvar,0,32,,B_B,0.17741757503260533,0.17741791606641746,0.0001210758423355382,,,nan,10669.0,43597,34075191
switching,weighted,0,48,,global,0.9076248521414473,0.9076248521414326,9.943525597669863e-08,,,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,48,,B_A,1.0358290995512982,1.0358290998558388,2.1454765400600653e-08,,,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,48,,B_B,0.7044663573097434,0.704466355126437,7.221595572545295e-08,,,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,48,,global,0.25496359551234826,0.25496359551232645,9.943525597669863e-08,,,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,48,,B_A,0.1325462954459963,0.13254629412536945,2.1454765400600653e-08,,,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,48,,B_B,0.2602750189027054,0.260275018701924,7.221595572545295e-08,,,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,48,,global,0.1890544340234508,0.18905443402342317,9.943525597669863e-08,,,nan,43597.0,43597,34075191
switching,minvar,0,48,,B_A,0.1239561346532946,0.12395613193227382,2.1454765400600653e-08,,,nan,7565.0,43597,34075191
switching,minvar,0,48,,B_B,0.18215037689778865,0.18215037744198637,7.221595572545295e-08,,,nan,10669.0,43597,34075191
switching,weighted,0,64,,global,1.2386813669526378,1.2386813669526195,2.2473231968135687e-11,,,0.03251261162790135,0.03251261162790135,20000,24000000
switching,weighted,0,64,,B_A,1.3652534956675937,1.365253495667652,5.080812368342903e-12,,,0.03251261162790135,0.4048396926889349,20000,24000000
switching,weighted,0,64,,B_B,0.9880773730742092,0.9880773730746624,1.5821814070466095e-11,,,0.03251261162790135,0.5409385070084034,20000,24000000
switching,weighted_ess,0,64,,global,0.3309587502506824,0.33095875025067706,2.2473231968135687e-11,,,0.6029744160278271,0.6029744160278271,20000,24000000
switching,weighted_ess,0,64,,B_A,0.16428297389475924,0.16428297389493435,5.080812368342903e-12,,,0.6029744160278271,0.9999999999999998,20000,24000000
switching,weighted_ess,0,64,,B_B,0.33503566001727,0.3350356600171611,1.5821814070466095e-11,,,0.6029744160278271,0.9252930832325024,20000,24000000
switching,minvar,0,64,,global,0.22022146819008614,0.2202214681900831,2.2473231968135687e-11,,,nan,43597.0,43597,34075191
switching,minvar,0,64,,B_A,0.15266000447758052,0.15266000447748473,5.080812368342903e-12,,,nan,7565.0,43597,34075191
switching,minvar,0,64,,B_B,0.19625677174196715,0.1962567717419182,1.5821814070466095e-11,,,nan,10669.0,43597,34075191
switching,weighted,1,32,,global,0.5570103403326194,0.5570103253549282,0.00015553437510788028,,,0.032243511948947604,0.032243511948947604,20000,24000000
