m,amplitude,M_ref,A_count,B_global_low,B_global_high,C_local_window,E_ht_residual,Em_A_count,Em_B_global_low,Em_B_global_high,Em_C_local_window,Em_E_ht_residual
0,1.0956708580912724,149.2553443785756,124.66775313826719,24.502920389570058,125.43952487834022,125.56001853687305,124.66775313826719,0.16473508096262013,0.8358322076064484,0.15956426618686584,0.15875696739944553,0.16473508096262013
1,1.176776695296637,286.4052521712729,361.1924136139673,157.34421687242562,363.54427521737296,363.3977249291681,361.1924136139673,0.2611235683554121,0.4506238426859142,0.269335225039694,0.2688235364896626,0.2611235683554121
2,1.2309698831278217,443.9636143439519,322.61028034754816,139.56258673552074,324.0496098050029,324.35946641284363,322.61028034754816,0.27334071999510234,0.6856440883297309,0.27009872130207513,0.26940078886385355,0.27334071999510234
3,1.25,518.1021906676132,645.6421490388606,322.2685206485088,648.9826961921667,648.9451586486676,645.6421490388606,0.24616757209017526,0.3779827098718848,0.2526152328286902,0.2525427808217788,0.24616757209017526
4,1.2309698831278217,443.96361434395,296.56700040211547,145.01613874087502,298.0916427034455,297.8443524129745,296.56700040211547,0.3320015631453135,0.6733603068909892,0.32856740265992557,0.32912440842004037,0.3320015631453135
5,1.176776695296637,286.4052521712668,280.4106470991525,129.25663959857042,281.56171855561314,281.81702673543884,280.4106470991525,0.02093049979589609,0.5486931939318049,0.016911469251818335,0.016020046423884184,0.02093049979589609
6,1.0956708580912724,149.25534437856973,125.30693546590966,42.980992934433424,125.97149699946,125.92386990986289,125.30693546590966,0.1604526056495342,0.7120304595229978,0.15600009149456529,0.15631918954626597,0.1604526056495342
7,1.0,69.69614508886568,46.27952044611359,-11.259608779340729,46.65701897120904,46.66022701222072,46.27952044611359,0.3359816330285535,1.1615528199584673,0.33056528575978955,0.33051925680069016,0.3359816330285535
8,0.9043291419087276,32.83701820502586,24.207330706459647,2.656198416478449,24.28923569743644,24.35776119111752,24.207330706459647,0.2628036274391504,0.9191096341362717,0.2603093391190174,0.25822250245031547,0.2628036274391504
9,0.8232233047033631,17.48780775137733,21.59620289992018,-4.228950334902766,21.832536300745296,21.692829816821757,21.59620289992018,0.23492911215353887,1.2418227827653068,0.24844329324387615,0.2404544997993384,0.23492911215353887
10,0.7690301168721784,11.531452336578091,9.506137170682749,-6.122023663479406,9.508680136709838,9.537945266159644,9.506137170682749,0.1756340057419295,1.530897885608058,0.17541348139227553,0.17287562851862004,0.1756340057419295
11,0.75,9.972047415146369,11.070093929807951,-12.785472141624318,11.105047973861394,11.176144200357028,11.070093929807951,0.11011244421018086,2.2821311020046586,0.11361764656214235,0.1207471981512821,0.11011244421018086
12,0.7690301168721784,11.531452336578838,13.490827000453915,-4.691125084196643,13.554528548787879,13.60145768030761,13.490827000453915,0.169915688560734,1.4068112972479587,0.1754398451434999,0.1795095087166534,0.169915688560734
13,0.823223304703363,17.487807751379375,18.944276221403534,-8.322050728177286,19.051279501984375,19.077198115480044,18.944276221403534,0.08328479422523834,1.4758772995729479,0.08940353032424428,0.09088562652887719,0.08328479422523834
14,0.9043291419087274,32.83701820503055,29.674379551401657,4.220054178029558,29.91941170540708,29.973582962156154,29.674379551401657,0.09631321071486289,0.8714848543287327,0.08885113993622308,0.08720143908912312,0.09631321071486289
15,0.9999999999999999,69.69614508886936,72.3228003915463,20.382840765100248,72.99153083380973,72.93668810104411,72.3228003915463,0.03768723936349272,0.7075470854362154,0.04728218096909719,0.046495297667363766,0.03768723936349272
