seed,method,m,group,is_late,amplitude,local_eff,E_m,local_L2
0,minvar_branch,0,0,0,1.0,907.0,0.20467798130884718,0.35826241309168516
0,minvar_branch,1,1,0,1.0,1205.0,0.28326973381300646,0.365234370911492
0,minvar_branch,2,0,0,1.0,658.0,0.12604397827869754,0.26744223359175173
0,minvar_branch,3,1,0,1.0,870.0,0.07348990172836874,0.2343515054414238
0,minvar_branch,4,2,0,1.0,2299.0,0.2739357057245165,0.3393280191472434
0,minvar_branch,5,3,1,1.0,2061.0,0.04227483578997853,0.22008914579256195
0,minvar_branch,6,2,0,1.0,1711.0,0.051890390389453006,0.14392337275258274
0,minvar_branch,7,3,1,1.0,2294.0,0.1601060035430425,0.25500219880084085
0,minvar_branch,8,0,0,1.0,681.0,0.09549536353767951,0.26929773794021217
0,minvar_branch,9,1,0,1.0,856.0,0.08839925963158998,0.24064147328979552
0,minvar_branch,10,0,0,1.0,781.0,0.03732470055370415,0.2533004371991192
0,minvar_branch,11,1,0,1.0,986.0,0.050044778041182514,0.2249640210125819
0,minvar_branch,12,2,0,1.0,1669.0,0.07516368296902225,0.15836125995127934
0,minvar_branch,13,3,1,1.0,2839.0,0.4357196791886184,0.5172182074883505
0,minvar_branch,14,2,0,1.0,1937.0,0.07334208872918155,0.23917190649562375
0,minvar_branch,15,3,1,1.0,2027.0,0.025080588135022855,0.21349083900286603
0,weighted,0,0,0,1.0,30.117196613954032,0.02204859541353494,1.1000244561305341
0,weighted,1,1,0,1.0,27.14605678845946,0.019203064932467196,1.0349125990564456
0,weighted,2,0,0,1.0,24.382747728781187,0.06068655066856893,1.328118180774535
0,weighted,3,1,0,1.0,27.38999768216044,0.0013583439519881371,1.2030567922155426
0,weighted,4,2,0,1.0,31.645636253985277,0.1347105095078908,1.1737051062841766
0,weighted,5,3,1,1.0,27.197258999299706,0.3589826087515554,0.8401370062869957
0,weighted,6,2,0,1.0,30.50444105078243,0.21437317782562926,1.2820729757314437
0,weighted,7,3,1,1.0,36.912049806798024,0.2414331103129357,1.2164159450993366
0,weighted,8,0,0,1.0,32.8076590726149,0.22614916641885557,1.2391343775096468
0,weighted,9,1,0,1.0,22.228482723777773,0.2525451079461868,1.0323004499831594
0,weighted,10,0,0,1.0,23.857121681958144,0.06834505296918085,1.3798312702521236
0,weighted,11,1,0,1.0,31.289115175367026,0.17297629421111166,1.5032962170194293
0,weighted,12,2,0,1.0,29.92751758401086,0.1314373597443304,1.0660712285254137
0,weighted,13,3,1,1.0,31.911289686292502,0.07672521659841212,0.7746078731368834
0,weighted,14,2,0,1.0,24.74681097362761,0.07242403066594394,1.3620461051758754
0,weighted,15,3,1,1.0,25.2289705913578,0.2934005061101165,0.8552848444676758
0,weighted_ess_resample,0,0,0,1.0,308.99999999999994,0.07353251493612918,0.28031969016131936
0,weighted_ess_resample,1,1,0,1.0,458.00000000000017,0.10104330313360578,0.360465082231775
0,weighted_ess_resample,2,0,0,1.0,377.9999999999999,0.1333485739616282,0.4084740333408222
0,weighted_ess_resample,3,1,0,1.0,366.99999999999994,0.11772294268551702,0.31180026771229313
0,weighted_ess_resample,4,2,0,1.0,745.9999999999841,0.06684091428364904,0.26453297994940844
0,weighted_ess_resample,5,3,1,1.0,258.83314460079936,0.1467251366724364,0.4236645013164425
0,weighted_ess_resample,6,2,0,1.0,596.9999999999873,0.25322255447473657,0.3489851940472768
0,weighted_ess_resample,7,3,1,1.0,297.9442946827317,0.10276454640204727,0.6013906093762118
0,weighted_ess_resample,8,0,0,1.0,353.99999999999983,0.06138993434501672,0.40196290677632535
0,weighted_ess_resample,9,1,0,1.0,300.9999999999999,0.2763885715213639,0.3984294909827323
0,weighted_ess_resample,10,0,0,1.0,361.9999999999999,0.08537614755055414,0.3819314262471993
0,weighted_ess_resample,11,1,0,1.0,486.00000000000017,0.1683559941548746,0.38989531906414837
0,weighted_ess_resample,12,2,0,1.0,954.9999999999818,0.19459374673916557,0.284933269766101
0,weighted_ess_resample,13,3,1,1.0,306.3203574309727,0.02199000443653059,0.4904520608174939
0,weighted_ess_resample,14,2,0,1.0,770.9999999999839,0.035568831756862124,0.29432463574296186
0,weighted_ess_resample,15,3,1,1.0,220.1600959333489,0.21244303812344162,0.4267968895205463
0,weighted_ess_resample_costmatched,0,0,0,1.0,562.9999999999995,0.03964239865554565,0.27729982949976567
0,weighted_ess_resample_costmatched,1,1,0,1.0,652.0,0.034637548651512584,0.21958468511114662
0,weighted_ess_resample_costmatched,2,0,0,1.0,566.9999999999995,0.047028845537645345,0.28889757247349523
0,weighted_ess_resample_costmatched,3,1,0,1.0,497.99999999999983,0.26265260617860936,0.33008919492514327
0,weighted_ess_resample_costmatched,4,2,0,1.0,1242.9999999999661,0.04238284266136706,0.20568174430252953
0,weighted_ess_resample_costmatched,5,3,1,1.0,524.5739286894899,0.17004861219811393,0.38148739622610345
0,weighted_ess_resample_costmatched,6,2,0,1.0,1404.9999999999645,0.08242327701366194,0.19840680441533362
0,weighted_ess_resample_costmatched,7,3,1,1.0,378.7659804134554,0.18900039654566664,0.3879000995694647
0,weighted_ess_resample_costmatched,8,0,0,1.0,618.9999999999995,0.14305265500494244,0.3455227580139912
0,weighted_ess_resample_costmatched,9,1,0,1.0,657.0,0.027234462368164892,0.2676993050374676
0,weighted_ess_resample_costmatched,10,0,0,1.0,573.9999999999994,0.059955127581320086,0.3082740344158269
0,weighted_ess_resample_costmatched,11,1,0,1.0,694.9999999999999,0.02902899338527456,0.23574044347778916
0,weighted_ess_resample_costmatched,12,2,0,1.0,1643.999999999956,0.26655077564382657,0.3419647487715421
0,weighted_ess_resample_costmatched,13,3,1,1.0,334.6492941303855,0.32941129692544074,0.5976722599046839
0,weighted_ess_resample_costmatched,14,2,0,1.0,1330.9999999999657,0.025413060456370883,0.16982212758426926
0,weighted_ess_resample_costmatched,15,3,1,1.0,439.96242858193915,0.041392704821183714,0.3758445630825194
1,minvar_branch,0,0,0,1.0,813.0,0.0798271210629469,0.23333034431995037
1,minvar_branch,1,1,0,1.0,988.0,0.052174686313070935,0.20566677684310833
1,minvar_branch,2,0,0,1.0,595.0,0.20972061865626904,0.2923640207717106
1,minvar_branch,3,1,0,1.0,976.0,0.03939523668173816,0.21839581580269074
1,minvar_branch,4,2,0,1.0,1713.0,0.050782138361854356,0.1777745910956412
1,minvar_branch,5,3,1,1.0,1959.0,0.009307907174882071,0.21905408850510147
1,minvar_branch,6,2,0,1.0,2008.0,0.11268503570892946,0.2248337837561071
1,minvar_branch,7,3,1,1.0,1341.0,0.32183864396197903,0.44099316873986905
1,minvar_branch,8,0,0,1.0,622.0,0.17385920135159572,0.29086560483062335
1,minvar_branch,9,1,0,1.0,953.0,0.014901291555017251,0.22036793634778942
1,minvar_branch,10,0,0,1.0,665.0,0.11674657379230062,0.2514891629940599
1,minvar_branch,11,1,0,1.0,868.0,0.0756198100002572,0.2544429808169715
1,minvar_branch,12,2,0,1.0,2042.0,0.1315253201781046,0.22301051681247966
1,minvar_branch,13,3,1,1.0,1847.0,0.06594778180296651,0.24881668092909542
1,minvar_branch,14,2,0,1.0,1881.0,0.04231103195642261,0.20220877000125173
1,minvar_branch,15,3,1,1.0,1663.0,0.1589990044062442,0.24424437394320989
1,weighted,0,0,0,1.0,30.387843257255035,0.18201865416940796,1.313876974837532
1,weighted,1,1,0,1.0,28.730110854285307,0.18869153680800418,1.3951105367358942
1,weighted,2,0,0,1.0,26.10561666448403,0.3138138394891704,1.8345567278153434
1,weighted,3,1,0,1.0,34.49474878412808,0.45153112035469606,1.6211400458325098
1,weighted,4,2,0,1.0,25.211670264440595,0.0251584535108964,1.3516238167157089
1,weighted,5,3,1,1.0,25.43920430322371,0.3034098252804348,0.9104424085451228
1,weighted,6,2,0,1.0,29.061339326276094,0.1073790470615365,1.0279115167851776
1,weighted,7,3,1,1.0,34.76258576139748,0.24136344744552474,1.1692996228499348
1,weighted,8,0,0,1.0,25.54527043680041,0.20539157898349072,1.04285455089705
1,weighted,9,1,0,1.0,25.881934338265125,0.08252221309831967,1.1079231092515496
1,weighted,10,0,0,1.0,25.040604101794266,0.33384263191589914,1.2573383307625166
1,weighted,11,1,0,1.0,27.004435328635648,0.11544668889073667,1.2434833139135992
1,weighted,12,2,0,1.0,26.966333876827154,0.15583410495851005,1.34901193800749
