seed,method,t,distinct_anc_BB,N_BB,distinct_anc_BA,N_BA,global_distinct_anc,N_active
0,weighted,0.599,131,131,141,141,20000,20000
0,weighted_ess,0.599,91,91,230,5948,12906,20000
0,weighted_always,0.599,100,100,243,5858,12922,20000
0,poisson,0.599,124,134,249,8290,18856,29286
0,minvar,0.599,146,153,256,10058,18878,31003
1,weighted,0.599,125,125,136,136,20000,20000
1,weighted_ess,0.599,90,90,244,5788,12905,20000
1,weighted_always,0.599,77,79,251,6926,11727,20000
1,poisson,0.599,137,157,260,9581,18957,30801
1,minvar,0.599,114,125,261,9568,18891,30699
2,weighted,0.599,131,131,132,132,20000,20000
2,weighted_ess,0.599,76,76,227,5700,13090,20000
2,weighted_always,0.599,68,70,229,5587,13292,20000
2,poisson,0.599,115,127,255,9269,18905,30479
2,minvar,0.599,116,124,259,8178,18942,29119
3,weighted,0.599,116,116,150,150,20000,20000
3,weighted_ess,0.599,77,77,264,5883,12730,20000
3,weighted_always,0.599,88,88,275,7139,11539,20000
3,poisson,0.599,118,126,290,11225,18915,32779
3,minvar,0.599,120,129,284,13774,18891,35509
4,weighted,0.599,136,136,141,141,20000,20000
4,weighted_ess,0.599,92,92,236,5983,12815,20000
4,weighted_always,0.599,82,84,258,7159,11385,20000
4,poisson,0.599,131,145,280,10357,18923,31809
4,minvar,0.599,117,126,286,9207,18898,30421
5,weighted,0.599,134,134,142,142,20000,20000
5,weighted_ess,0.599,129,129,225,1327,18126,20000
5,weighted_always,0.599,112,114,242,5863,12958,20000
5,poisson,0.599,123,133,255,7842,18873,28681
5,minvar,0.599,117,128,257,10053,18923,31347
6,weighted,0.599,164,164,153,153,20000,20000
6,weighted_ess,0.599,97,97,250,5964,12740,20000
6,weighted_always,0.599,138,140,244,5008,13880,20000
6,poisson,0.599,143,155,292,11196,18907,32382
6,minvar,0.599,136,141,268,9243,18939,30513
7,weighted,0.599,119,119,143,143,20000,20000
7,weighted_ess,0.599,83,83,242,5968,12818,20000
7,weighted_always,0.599,109,111,255,5345,13570,20000
7,poisson,0.599,135,144,260,11423,18915,32930
7,minvar,0.599,121,128,262,9724,18934,30696
